,author_id,count,sum,prop,person__id,screen_name,party,person__surname,person__first_name,person__in_parlperiod,parltype,region,Name
0,4121053541,234,11,0.04700854700854701,80772,Marc_Jongen,afd,Jongen,Marc,[19],Bund,Baden-Württemberg,Marc Jongen
1,3105025175,976,18,0.018442622950819672,80759,Nicole_Hoechst,afd,Höchst,Nicole,[19],Bund,Rheinland-Pfalz,Nicole Höchst
2,728990858,427,7,0.01639344262295082,80579,JanaSchimke,cducsu,Schimke,Jana,"[18, 19]",Bund,Brandenburg,Jana Schimke
3,940532615177752576,397,6,0.015113350125944584,80809,Frank_Magnitz,afd,Magnitz,Frank,[19],Bund,Bremen,Frank Magnitz
4,805308596,2881,42,0.014578271433530025,80894,Beatrix_vStorch,afd,Storch,Beatrix,[19],Bund,Berlin,Beatrix Storch
5,17363943,1623,23,0.014171287738755391,80576,ulle_schauws,gruene,Schauws,Ulle,"[18, 19]",Bund,North Rhine-Westphalia,Ulle Schauws
6,20840049,1519,18,0.01184990125082291,80200,W_SK,gruene,Strengmann-Kuhn,Wolfgang,"[16, 17, 18, 19]",Bund,Hesse,Wolfgang Strengmann-Kuhn
7,3408940048,435,5,0.011494252873563218,80838,Jan_Nolte_AfD,afd,Nolte,Jan Ralf,[19],Bund,Hesse,Jan Ralf Nolte
8,569257486,610,7,0.011475409836065573,80432,MaikBeermann,cducsu,Beermann,Maik,"[18, 19]",Bund,Lower Saxony,Maik Beermann
9,2496104640,1401,16,0.011420413990007138,80846,TobiasMPeterka,afd,Peterka,Tobias Matthias,[19],Bund,Bavaria,Tobias Matthias Peterka
10,21618829,272,3,0.011029411764705883,80840,josephineortleb,spd,Ortleb,Josephine,[19],Bund,Saarland,Josephine Ortleb
11,809895794,7059,75,0.010624734381640459,80728,GtzFrmming,afd,Frömming,Götz,[19],Bund,Berlin,Götz Frömming
12,960974630709284864,390,4,0.010256410256410256,80791,JoernKoenigAfD,afd,König,Jörn,[19],Bund,Lower Saxony,Jörn König
13,4130621842,603,6,0.009950248756218905,80727,Frohnmaier_AfD,afd,Frohnmaier,Markus,[19],Bund,Baden-Württemberg,Markus Frohnmaier
14,2618890032,1265,12,0.009486166007905139,80825,mrosek1958,afd,Mrosek,Andreas,[19],Bund,Saxony-Anhalt,Andreas Mrosek
15,741532130,1742,15,0.008610792192881744,80560,FlorianPost,spd,Post,Florian,"[18, 19]",Bund,Bavaria,Florian Post
16,146376562,720,6,0.008333333333333333,80110,JensKoeppen,cducsu,Koeppen,Jens,"[16, 17, 18, 19]",Bund,Brandenburg,Jens Koeppen
17,403735368,1453,12,0.008258774948382657,80257,hahnflo,cducsu,Hahn,Florian,"[17, 18, 19]",Bund,Bavaria,Florian Hahn
18,719975730784956416,1467,12,0.0081799591002045,80872,Schneider_AfD,afd,Schneider,Jörg,[19],Bund,North Rhine-Westphalia,Jörg Schneider
19,4819478705,1479,12,0.008113590263691683,80663,DorisAchelwilm,linke,Achelwilm,Doris,[19],Bund,Bremen,Doris Achelwilm
20,17561226,1374,11,0.008005822416302766,80752,torstenherbst,fdp,Herbst,Torsten,[19],Bund,Saxony,Torsten Herbst
21,1490376331,2632,19,0.007218844984802432,80843,Frank_Pasemann,afd,Pasemann,Frank,[19],Bund,Saxony-Anhalt,Frank Pasemann
22,917756296555892736,4592,33,0.007186411149825784,80690,JuergenBraunAfD,afd,Braun,Jürgen,[19],Bund,Baden-Württemberg,Jürgen Braun
23,193629792,843,6,0.0071174377224199285,80040,BaerbelKofler,spd,Kofler,Bärbel,"[15, 16, 17, 18, 19]",Bund,Bavaria,Bärbel Kofler
24,3242322815,286,2,0.006993006993006993,80714,Thomas_Ehrhorn,afd,Ehrhorn,Thomas,[19],Bund,Lower Saxony,Thomas Ehrhorn
25,810537151729373184,2678,18,0.006721433905899925,80888,DirkSpaniel,afd,Spaniel,Dirk,[19],Bund,Baden-Württemberg,Dirk Spaniel
26,4875914470,161,1,0.006211180124223602,80807,MdB_Lucassen,afd,Lucassen,Rüdiger,[19],Bund,North Rhine-Westphalia,Rüdiger Lucassen
27,925703909825548288,650,4,0.006153846153846154,80724,MdB_Freihold,linke,Freihold,Brigitte,[19],Bund,Rheinland-Pfalz,Brigitte Freihold
28,910878654535749632,1801,11,0.006107717934480844,80684,andreasbleckmdb,afd,Bleck,Andreas,[19],Bund,Rheinland-Pfalz,Andreas Bleck
29,2545743991,4212,25,0.005935422602089269,80855,M_Reichardt_AfD,afd,Reichardt,Martin,[19],Bund,Saxony-Anhalt,Martin Reichardt
30,110368456,4287,25,0.005831583858175881,80077,KaiGehring,gruene,Gehring,Kai,"[16, 17, 18, 19]",Bund,North Rhine-Westphalia,Kai Gehring
31,17960911,580,3,0.005172413793103448,79962,smuellermdb,cducsu,Müller,Stefan,"[15, 16, 17, 18, 19]",Bund,Bavaria,Stefan Müller
32,881480498043916288,392,2,0.00510204081632653,80699,Buettner_MdB,afd,Büttner,Matthias,[19],Bund,Saxony-Anhalt,Matthias Büttner
33,781747720897892352,199,1,0.005025125628140704,80790,EnricoKomning,afd,Komning,Enrico,[19],Bund,Mecklenburg-Vorpommern,Enrico Komning
34,916324637046435840,1477,7,0.004739336492890996,80726,DrFriesenMdB,afd,Friesen,Anton,[19],Bund,Thuringia,Anton Friesen
35,862747349277450240,215,1,0.004651162790697674,80662,mvabercron,cducsu,Abercron,Michael,[19],Bund,Schleswig-Holstein,Michael Abercron
36,2596171296,1974,9,0.004559270516717325,80320,Conni_Moehring,linke,Möhring,Cornelia,"[17, 18, 19]",Bund,Schleswig-Holstein,Cornelia Möhring
37,4097559143,2291,10,0.004364906154517678,80429,katarinabarley,spd,Barley,Katarina,"[18, 19]",Bund,Rheinland-Pfalz,Katarina Barley
38,1158585210,10790,46,0.004263206672845227,80474,MatthiasHauer,cducsu,Hauer,Matthias,"[18, 19]",Bund,North Rhine-Westphalia,Matthias Hauer
39,37642893,1414,6,0.004243281471004243,80202,ChristianHirte,cducsu,Hirte,Christian,"[16, 17, 18, 19]",Bund,Thuringia,Christian Hirte
40,569832889,490,2,0.004081632653061225,80076,sigmargabriel,spd,Gabriel,Sigmar,"[16, 17, 18, 19]",Bund,Lower Saxony,Sigmar Gabriel
41,1475734592,2509,10,0.0039856516540454365,80610,julia_verlinden,gruene,Verlinden,Julia,"[18, 19]",Bund,Lower Saxony,Julia Verlinden
42,41548943,507,2,0.0039447731755424065,79858,KerstinAndreae,gruene,Andreae,Kerstin,"[15, 16, 17, 18, 19]",Bund,Baden-Württemberg,Kerstin Andreae
43,176104376,1294,5,0.0038639876352395673,80670,SBarrientosK,linke,Barrientos,Simone,[19],Bund,Bavaria,Simone Barrientos
44,2527808433,1382,5,0.00361794500723589,80835,ZaklinNastic,linke,Nastic,Zaklin,[19],Bund,Hamburg,Zaklin Nastic
45,2546790747,3041,11,0.0036172311739559354,80776,uwe_kamann,afd,Kamann,Uwe,[19],Bund,North Rhine-Westphalia,Uwe Kamann
46,2758602415,280,1,0.0035714285714285713,80880,cdu_schweiger,cducsu,Schweiger,Torsten,[19],Bund,Saxony-Anhalt,Torsten Schweiger
47,1114675538,7385,26,0.0035206499661475966,79796,MiRo_SPD,spd,Roth,Michael,"[14, 15, 16, 17, 18, 19]",Bund,Hesse,Michael Roth
48,866425075,1995,7,0.0035087719298245615,80250,NicoleGohlke,linke,Gohlke,Nicole,"[17, 18, 19]",Bund,Bavaria,Nicole Gohlke
49,1082464339,291,1,0.003436426116838488,80551,SylviaPantel,cducsu,Pantel,Sylvia,"[18, 19]",Bund,North Rhine-Westphalia,Sylvia Pantel
50,930725836482928640,596,2,0.003355704697986577,80869,Schmidt_MdB,gruene,Schmidt,Stefan,[19],Bund,Bavaria,Stefan Schmidt
51,833398209053605888,1790,6,0.0033519553072625698,80914,Alice_Weidel,afd,Weidel,Alice,[19],Bund,Baden-Württemberg,Alice Weidel
52,23248102,2102,7,0.003330161750713606,80509,CanselK,spd,Kiziltepe,Cansel,"[18, 19]",Bund,Berlin,Cansel Kiziltepe
53,454981027,625,2,0.0032,80804,helgelindh,spd,Lindh,Helge,[19],Bund,North Rhine-Westphalia,Helge Lindh
54,738731811380076544,316,1,0.0031645569620253164,80103,josip_juratovic,spd,Juratovic,Josip,"[16, 17, 18, 19]",Bund,Baden-Württemberg,Josip Juratovic
55,3635730797,2250,7,0.003111111111111111,80520,DerLenzMdB,cducsu,Lenz,Andreas,"[18, 19]",Bund,Bavaria,Andreas Lenz
56,805823950253150208,1332,4,0.003003003003003003,80679,MarcBernhardAfD,afd,Bernhard,Marc,[19],Bund,Baden-Württemberg,Marc Bernhard
57,133770069,341,1,0.002932551319648094,80621,anjaweisgerber,cducsu,Weisgerber,Anja,"[18, 19]",Bund,Bavaria,Anja Weisgerber
58,916639458409242624,1732,5,0.002886836027713626,80810,JensMaierAfD,afd,Maier,Jens,[19],Bund,Saxony,Jens Maier
59,713361366858481664,14979,42,0.0028039254956939716,80688,StBrandner,afd,Brandner,Stephan,[19],Bund,Thuringia,Stephan Brandner
60,2357675876,358,1,0.002793296089385475,80766,OWvonHoltz,gruene,Holtz,Ottmar,[19],Bund,Lower Saxony,Ottmar Holtz
61,804064797977444352,753,2,0.0026560424966799467,80795,Dr_Rainer_Kraft,afd,Kraft,Rainer,[19],Bund,Bavaria,Rainer Kraft
62,1530171613,1511,4,0.0026472534745201853,80923,GydeJ,fdp,Jensen,Gyde,[19],Bund,Schleswig-Holstein,Gyde Jensen
63,866924100,1516,4,0.002638522427440633,80865,ulschzi,afd,Schielke-Ziesing,Ulrike,[19],Bund,Mecklenburg-Vorpommern,Ulrike Schielke-Ziesing
64,47049428,398,1,0.002512562814070352,80414,BeateWaRo,gruene,Walter-Rosenheimer,Beate,"[17, 18, 19]",Bund,Bavaria,Beate Walter-Rosenheimer
