hashtag,GRUENE,FDP,SPD,CDUCSU,LINKE,AFD
#08märz,0,0,0,0,1,0
#2021bundestagswahlen,0,0,0,0,0,1
#20juli,0,0,0,0,0,1
#219a,0,0,0,0,1,0
#219amussweg,1,0,0,0,0,0
#30jahreeinheit,0,0,0,0,1,0
#4genderstudies,5,0,0,0,3,0
#5g,0,0,0,0,0,1
#8maerz,1,0,0,0,0,0
#8märz,0,0,0,0,2,0
#aas,0,0,0,0,0,1
#abstraktebilder,0,0,0,0,0,1
#absurdistan,0,0,0,1,0,0
#abwrackprämie,0,0,1,0,0,0
#adabsurdum,0,0,0,0,0,1
#afd,3,0,1,0,1,72
#afdbpt21,0,0,0,0,0,1
#afdimbundestag,0,0,0,0,0,11
#afdwirkt,0,0,0,0,0,12
#afdwählen,0,0,0,0,0,3
#afghanistan,0,0,0,0,0,1
#akk,0,0,0,0,0,2
#allesistdrin,1,0,0,0,0,0
#allgemeinverbindlichkeit,1,0,0,0,0,0
#altenburgerland,0,0,0,0,0,4
#altersarmut,0,0,0,0,3,0
#alterweissermann,0,0,0,0,0,1
#alterweißermann,1,0,0,0,0,0
#altparteien,0,0,0,0,0,1
#amen,0,0,0,0,0,4
#amenandawoman,0,0,0,0,0,4
#aminext,0,0,0,0,1,0
#amtseid,0,0,0,0,0,1
#amtskirchen,0,0,0,0,0,1
#anglizismus,1,0,0,1,0,0
#anglizismus2018,2,0,0,0,0,0
#anihrentatensollenwirsiemessen,1,0,0,0,0,0
#annewill,2,0,0,1,0,3
#anstandleben,0,0,1,0,0,0
#antidiskriminierung,0,0,0,0,0,1
#antifa,0,0,0,0,0,4
#antirassisten,0,0,0,0,0,1
#antisexismus,0,0,0,0,0,1
#arbeit,0,0,0,0,1,0
#arbeitnehmer,0,0,0,0,0,1
#arbeitsplätze,0,0,0,0,0,1
#artenverlust,1,0,0,0,0,0
#asselborn,0,0,0,0,0,1
#asta,0,0,0,0,0,1
#asyl,0,0,0,0,0,1
#audi,0,0,0,0,0,1
#aufaugenhöhe,0,0,0,0,1,0
#aus,0,0,0,0,0,1
#ausmeinerpost,0,0,1,0,0,0
#automobilindustrie,0,0,0,0,0,1
#außen,0,0,0,0,0,1
#babos,0,0,1,0,0,0
#baer,0,0,0,0,0,1
#baerbock,1,1,0,0,0,7
#baerbockin,0,0,0,0,0,1
#baerbocklügt,0,0,0,0,0,1
#baerbocks,0,0,0,1,0,0
#bafög,2,0,0,0,0,0
#barley,0,0,0,1,0,0
#barnim,0,0,0,1,0,0
#bartträgerinnen,0,0,0,0,0,1
#basis,0,0,1,0,0,0
#bauen,1,0,0,0,0,0
#bawü,1,0,0,0,0,0
#bayern,0,0,1,0,1,2
#bayertrend,0,0,0,0,0,1
#bcgender18,1,0,0,0,0,0
#bedfordstrohm,0,0,0,0,0,1
#befangenheit,0,0,0,0,0,1
#belarus,0,0,1,0,0,0
#beratergate,0,0,0,0,0,1
#berlin,0,1,0,0,0,11
#berlinale,0,0,0,0,1,1
#bernhard,0,0,0,0,0,2
#beschäftigungsmaßnahmen,0,0,0,0,0,1
#bessermenschen,0,0,0,0,0,1
#betd2019,1,0,0,0,0,0
#betriebe,0,0,1,0,0,0
#bgh,0,0,0,0,0,1
#bild,0,0,0,0,1,0
#bildung,0,1,0,1,1,0
#bildungsgerechtigkeit,0,0,0,0,1,0
#bildungsverlierer,0,0,0,0,0,1
#binneni,1,0,0,0,0,0
#blacklivesmatter,0,0,0,0,0,1
#blm,0,0,0,0,0,1
#bmfsfj,0,0,0,1,0,0
#bmw,0,0,0,0,0,1
#bonn,1,1,0,0,0,0
#bpt18,0,1,0,0,0,0
#br,0,0,1,0,0,0
#brandenburg,0,0,0,0,0,1
#brandner,0,0,0,0,0,8
#brandnerfragt,0,0,0,0,0,1
#breakthesilence,0,0,1,0,0,0
#breg,0,0,0,0,2,0
#breitband,0,0,0,0,0,1
#bremen,0,0,0,0,1,0
#brexit,0,0,0,0,0,1
#brussels,0,0,2,0,0,0
#brühl,0,0,1,0,0,0
#btadavaeo,0,0,0,0,1,0
#btw2021,0,0,1,0,0,0
#btw21,1,0,0,0,0,1
#bulgarien,0,0,1,0,0,0
#bullshi,0,0,0,0,0,1
#bullshit,0,0,0,0,0,1
#bundeshaushalt,0,0,1,0,0,0
#bundeshaushalts,0,0,0,0,1,0
#bundespolizei,0,0,0,0,0,1
#bundesregierung,2,0,0,0,1,2
#bundestag,4,0,1,0,8,19
#bundestagswahl2021,0,0,0,0,0,1
#bundesverfassungsgericht,0,0,0,0,1,1
#bundeswehr,0,0,0,2,0,8
#bunt,0,0,0,0,0,1
#bunteswehr,0,0,0,0,0,1
#buntewelt,0,0,0,0,0,1
#burkhardt,0,0,0,0,0,1
#bverfg,0,0,0,0,0,2
#bürger,0,0,0,0,0,1
#bürgerfern,0,0,0,1,0,0
#bürgerfonds,1,0,0,0,0,0
#bürgerversicherung,1,0,0,0,0,0
#bürokratie,0,1,0,0,0,0
#calltoaction,0,0,0,0,1,0
#cancelculture,0,0,0,0,3,0
#capetown,0,0,0,0,1,0
#carriegracie,1,0,0,0,0,0
#cartoon,0,0,0,0,0,1
#cda,0,0,0,1,0,0
#cdu,3,0,0,2,3,7
#cdugoesafd,0,0,1,0,0,0
#cdugoesmerz,1,0,0,0,0,0
#cdurausausderregierung,0,0,0,0,3,0
#ceu,1,0,0,0,0,0
#chancengleichheit,0,0,0,1,1,0
#clauskleber,0,0,0,1,0,0
#climate,0,0,3,0,0,0
#climatejustice,4,0,0,0,0,0
#congress,0,0,0,0,0,3
#connewitz,1,0,0,0,0,0
#cop13,1,0,0,0,0,0
#copyright,0,0,1,0,0,0
#corona,1,1,0,1,3,5
#coronagipfel,0,0,0,0,1,0
#coronakrise,0,0,0,0,0,1
#coronavirusdeutschland,0,0,0,0,1,0
#couragezeigen,0,0,1,0,0,0
#covid19,0,0,1,0,1,1
#covid2019de,0,0,0,0,1,1
#crowdfunding,1,0,0,0,0,0
#csu,0,1,0,0,0,4
#culturalappropiation,0,0,0,0,0,1
#cumexfiles,1,0,0,0,0,0
#dankespd,0,0,0,0,0,1
#dayofthegirl,0,1,0,0,0,0
#debatte,0,0,1,0,0,0
#deepfakes,1,0,0,0,0,0
