hashtag,GRUENE,LINKE,CDUCSU,SPD,AFD,FDP
#20juli,0,0,0,0,1,0
#8märz,0,1,0,0,0,0
#afd,0,0,0,0,22,0
#afdbpt21,0,0,0,0,1,0
#afdimbundestag,0,0,0,0,1,0
#afdwirkt,0,0,0,0,1,0
#afghanistan,0,0,0,0,1,0
#allesistdrin,1,0,0,0,0,0
#altenburgerland,0,0,0,0,4,0
#altersarmut,0,1,0,0,0,0
#alterweissermann,0,0,0,0,1,0
#alterweißermann,1,0,0,0,0,0
#amen,0,0,0,0,4,0
#amenandawoman,0,0,0,0,4,0
#annewill,0,0,0,0,1,0
#audi,0,0,0,0,1,0
#baer,0,0,0,0,1,0
#baerbock,0,0,0,0,5,1
#baerbockin,0,0,0,0,1,0
#baerbocklügt,0,0,0,0,1,0
#baerbocks,0,0,1,0,0,0
#barnim,0,0,1,0,0,0
#bartträgerinnen,0,0,0,0,1,0
#basis,0,0,0,1,0,0
#bauen,1,0,0,0,0,0
#bawü,1,0,0,0,0,0
#bayern,0,0,0,1,0,0
#bayertrend,0,0,0,0,1,0
#bedfordstrohm,0,0,0,0,1,0
#befangenheit,0,0,0,0,1,0
#belarus,0,0,0,1,0,0
#berlin,0,0,0,0,6,0
#bernhard,0,0,0,0,1,0
#bildung,0,0,1,0,0,0
#bmw,0,0,0,0,1,0
#br,0,0,0,1,0,0
#brandner,0,0,0,0,6,0
#breg,0,1,0,0,0,0
#btw2021,0,0,0,1,0,0
#btw21,1,0,0,0,1,0
#bundesregierung,0,0,0,0,1,0
#bundestag,2,2,0,1,12,0
#bundestagswahl2021,0,0,0,0,1,0
#bundesverfassungsgericht,0,0,0,0,1,0
#bundeswehr,0,0,0,0,1,0
#bverfg,0,0,0,0,1,0
#bürgerfern,0,0,1,0,0,0
#bürokratie,0,0,0,0,0,1
#cancelculture,0,3,0,0,0,0
#cdu,2,1,1,0,1,0
#cdugoesafd,0,0,0,1,0,0
#cdugoesmerz,1,0,0,0,0,0
#cdurausausderregierung,0,3,0,0,0,0
#chancengleichheit,0,1,1,0,0,0
#congress,0,0,0,0,3,0
#copyright,0,0,0,1,0,0
#corona,0,2,0,0,3,0
#coronagipfel,0,1,0,0,0,0
#csu,0,0,0,0,1,1
#culturalappropiation,0,0,0,0,1,0
#debatte,0,0,0,1,0,0
#deepfakes,1,0,0,0,0,0
#democrat,0,0,0,0,1,0
#democrats,0,0,0,0,1,0
#demokratie,0,1,0,0,0,0
#deutsche,0,0,0,1,0,0
#deutschesprache,0,0,2,1,1,0
#deutschland,0,0,1,0,2,0
#deutschlandabernormal,0,0,0,0,6,0
#diegruenen,0,0,0,0,0,1
#dieseltechnologie,0,0,0,0,1,0
#digitalisierung,0,0,0,1,0,0
#digitaltour,1,0,0,0,0,0
#diskriminierung,1,0,0,0,0,0
#diversity,0,0,0,1,0,0
#duden,1,0,1,0,3,0
#econtwitter,1,0,0,0,0,0
