,Gender,Geschlecht,tweet_genders,Feminismus,Frauen,Männer,party
2017-10-24,,,,,,,AFD
2017-10-25,,,,,,,AFD
2017-10-26,,,,,,,AFD
2017-10-27,,,,,,,AFD
2017-10-28,,,,,,,AFD
2017-10-29,,,,,,,AFD
2017-10-30,,,,,,,AFD
2017-10-31,,,,,,,AFD
2017-11-01,,,,,,,AFD
2017-11-02,,,,,,,AFD
2017-11-03,,,,,,,AFD
2017-11-04,,,,,,,AFD
2017-11-05,,,,,,,AFD
2017-11-06,,,,,,,AFD
2017-11-07,,,,,,,AFD
2017-11-08,,,,,,,AFD
2017-11-09,,,,,,,AFD
2017-11-10,,,,,,,AFD
2017-11-11,,,,,,,AFD
2017-11-12,,,,,,,AFD
2017-11-13,,,,,,,AFD
2017-11-14,,,,,,,AFD
2017-11-15,,,,,,,AFD
2017-11-16,,,,,,,AFD
2017-11-17,,,,,,,AFD
2017-11-18,,,,,,,AFD
2017-11-19,,,,,,,AFD
2017-11-20,,,,,,,AFD
2017-11-21,,,,,,,AFD
2017-11-22,,,,,,,AFD
2017-11-23,,,,,,,AFD
2017-11-24,,,,,,,AFD
2017-11-25,,,,,,,AFD
2017-11-26,,,,,,,AFD
2017-11-27,,,,,,,AFD
2017-11-28,,,,,,,AFD
2017-11-29,,,,,,,AFD
2017-11-30,,,,,,,AFD
2017-12-01,,,,,,,AFD
2017-12-02,,,,,,,AFD
2017-12-03,,,,,,,AFD
2017-12-04,,,,,,,AFD
2017-12-05,,,,,,,AFD
2017-12-06,,,,,,,AFD
2017-12-07,,,,,,,AFD
2017-12-08,,,,,,,AFD
2017-12-09,,,,,,,AFD
2017-12-10,,,,,,,AFD
2017-12-11,,,,,,,AFD
2017-12-12,,,,,,,AFD
2017-12-13,,,,,,,AFD
2017-12-14,,,,,,,AFD
2017-12-15,,,,,,,AFD
2017-12-16,,,,,,,AFD
2017-12-17,,,,,,,AFD
2017-12-18,,,,,,,AFD
2017-12-19,,,,,,,AFD
2017-12-20,,,,,,,AFD
2017-12-21,,,,,,,AFD
2017-12-22,15.0,9.0,4.0,0.0,23.0,9.0,AFD
2017-12-23,16.0,9.0,4.0,0.0,23.0,10.0,AFD
2017-12-24,16.0,9.0,4.0,0.0,23.0,10.0,AFD
2017-12-25,16.0,9.0,4.0,0.0,22.0,9.0,AFD
2017-12-26,16.0,9.0,4.0,0.0,22.0,9.0,AFD
2017-12-27,15.0,9.0,4.0,0.0,24.0,9.0,AFD
2017-12-28,15.0,9.0,4.0,0.0,25.0,10.0,AFD
2017-12-29,15.0,10.0,4.0,0.0,27.0,10.0,AFD
2017-12-30,15.0,12.0,4.0,0.0,37.0,11.0,AFD
2017-12-31,15.0,13.0,4.0,0.0,39.0,11.0,AFD
2018-01-01,15.0,13.0,4.0,0.0,40.0,12.0,AFD
