hashtag,total,LINKE,AFD,GRUENE,SPD,FDP,CDUCSU,OTHER
#abgeordnetenhauswahl,1,0,0.0,1,0,0,0.0,0.0
#adlershof,1,0,0.0,1,0,0,0.0,0.0
#berlinurbantech,1,0,0.0,1,0,0,0.0,0.0
#corona,1,0,0.0,1,0,0,0.0,0.0
#dorkypark,1,0,0.0,1,0,0,0.0,0.0
#eurovision,1,1,0.0,0,0,0,0.0,0.0
#flyingsteps,1,0,0.0,1,0,0,0.0,0.0
#ganzberlin,1,0,0.0,1,0,0,0.0,0.0
#grünenklimakonferenz,1,0,0.0,1,0,0,0.0,0.0
#kreuzberg,1,0,0.0,0,0,1,0.0,0.0
#linkebpt,1,1,0.0,0,0,0,0.0,0.0
#stadtquartiere,1,0,0.0,1,0,0,0.0,0.0
#urban,1,0,0.0,0,0,1,0.0,0.0
#zukunftsorte,1,0,0.0,1,0,0,0.0,0.0
