hashtag,total,LINKE,AFD,GRUENE,SPD,FDP,CDUCSU,OTHER
#berlin,23,15,3,2,3,0,0,0
#agh,21,16,0,2,1,2,0,0
#corona,21,2,1,17,0,0,1,0
#r2g,17,16,1,0,0,0,0,0
#pflege,12,4,0,2,6,0,0,0
#klimaschutz,8,2,0,6,0,0,0,0
#plenum,7,6,0,1,0,0,0,0
#mpk,6,0,0,6,0,0,0,0
#grundeinkommen,6,3,1,2,0,0,0,0
#allesistdrin,6,0,0,6,0,0,0,0
#schnelltests,5,0,0,5,0,0,0,0
#homeoffice,5,2,0,3,0,0,0,0
#arbeitsschutz,5,1,4,0,0,0,0,0
#armut,4,4,0,0,0,0,0,0
#equalpayday,4,0,0,3,1,0,0,0
#grüne,4,0,3,1,0,0,0,0
#grundsicherung,4,1,1,2,0,0,0,0
#lockdown,4,2,0,2,0,0,0,0
#hartziv,4,4,0,0,0,0,0,0
#mindestlohn,4,3,0,0,0,0,1,0
#machtbüroszu,4,0,0,4,0,0,0,0
#recht,3,3,0,0,0,0,0,0
#rassismus,3,2,0,1,0,0,0,0
#klargehtdas,3,0,0,3,0,0,0,0
#mobilitätswende,3,0,0,3,0,0,0,0
#solidarität,3,2,0,1,0,0,0,0
#fragestunde,3,3,0,0,0,0,0,0
#lichtenberg,3,2,0,1,0,0,0,0
#digitalisierung,3,1,0,0,2,0,0,0
#dbdk21,3,0,0,3,0,0,0,0
#linkebpt,3,3,0,0,0,0,0,0
#cdurausausderregierung,3,3,0,0,0,0,0,0
#krankenhausbewegung,3,2,0,1,0,0,0,0
#wirtschaft,3,0,1,2,0,0,0,0
#wissa,3,3,0,0,0,0,0,0
#agh21,3,3,0,0,0,0,0,0
#selbsttesten,2,0,0,2,0,0,0,0
#rente,2,0,2,0,0,0,0,0
#rotradikalrealistisch,2,2,0,0,0,0,0,0
#sage,2,0,0,2,0,0,0,0
#giffey,2,1,0,1,0,0,0,0
#gewerkschaften,2,0,0,2,0,0,0,0
