,all_tweets,AFD,CDUCSU,FDP,GRUENE,LINKE,OTHER,SPD,AFD - norm,CDUCSU - norm,FDP - norm,GRUENE - norm,LINKE - norm,OTHER - norm,SPD - norm
2021-01-01,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2021-01-02,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2021-01-03,88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2021-01-04,92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2021-01-05,138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2021-01-06,226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2021-01-07,187,2.5714285714285716,2.4285714285714284,1.4285714285714286,8.0,2.5714285714285716,0.0,0.2857142857142857,0.1097195853345739,0.19383394383394384,0.09084037655466226,0.18397661431019866,0.05627906334947773,0.0,0.024489795918367346
2021-01-08,171,2.875,3.125,1.25,7.625,2.5,0.125,0.625,0.12441372807684307,0.2410332722832723,0.07948532948532948,0.1833009660928524,0.052920651019028306,0.125,0.042261904761904764
2021-01-09,153,2.6666666666666665,2.7777777777777777,1.1111111111111112,7.333333333333333,2.5555555555555554,0.1111111111111111,0.5555555555555556,0.11521961014237903,0.2142517975851309,0.07065362620918175,0.17717920632754972,0.05173541436433189,0.1111111111111111,0.03756613756613757
2021-01-10,111,3.1,2.7,1.1,7.0,3.1,0.1,0.5,0.13869764912814114,0.22615995115995116,0.08858826358826358,0.17325438914307062,0.06607406804984992,0.1,0.03380952380952381
2021-01-11,162,3.0,2.909090909090909,1.1818181818181819,6.636363636363637,3.0,0.09090909090909091,0.45454545454545453,0.13336149920740104,0.27053502053502054,0.08879924789015697,0.16468102362288717,0.06320213082901717,0.09090909090909091,0.030735930735930738
2021-01-12,212,3.0,2.8333333333333335,1.4166666666666667,6.583333333333333,3.3333333333333335,0.08333333333333333,0.4166666666666667,0.13787304094011762,0.27576821326821327,0.09991782908449576,0.15889411292415448,0.06388766754564669,0.08333333333333333,0.028174603174603175
2021-01-13,194,3.076923076923077,2.769230769230769,1.4615384615384615,6.6923076923076925,3.6153846153846154,0.07692307692307693,0.46153846153846156,0.1426520377908778,0.268541287772057,0.10406616175846944,0.15692789910947594,0.06689178361679603,0.07692307692307693,0.029503829503829508
2021-01-14,224,3.357142857142857,2.642857142857143,1.5714285714285714,6.714285714285714,4.285714285714286,0.07142857142857142,0.9285714285714286,0.14496260652010082,0.2850740529311958,0.10853762639476926,0.15853927627931189,0.07220696677460252,0.07142857142857142,0.04254792826221398
2021-01-15,181,3.6,2.6666666666666665,1.5333333333333334,6.933333333333334,4.066666666666666,0.06666666666666667,1.0,0.15258238336937804,0.2860691160691161,0.10963511796845131,0.15987475309878632,0.06846843780683333,0.06666666666666667,0.047118807118807116
2021-01-16,408,3.375,2.5625,1.4375,6.6875,4.8125,0.0625,0.9375,0.1430459844087919,0.27600229631479634,0.1027829230954231,0.15295635152191545,0.06759052098812393,0.0625,0.04417388167388167
2021-01-17,105,3.235294117647059,2.411764705882353,1.3529411764705883,6.294117647058823,4.588235294117647,0.058823529411764705,0.9411764705882353,0.1385530833651375,0.25976686711980834,0.09673686879569232,0.14395891907944983,0.06504932821837776,0.058823529411764705,0.04745777098718275
