hashtag,total,LINKE,AFD,GRUENE,SPD,FDP,CDUCSU,OTHER
#corona,699,218,113,295,14,6,52,1
#berlin,264,155,36,35,14,0,24,0
#agh,207,169,7,8,2,6,9,6
#lockdown,139,12,62,36,5,0,20,4
#covid19,128,21,56,28,23,0,0,0
#plenum,90,82,0,8,0,0,0,0
#astrazeneca,62,6,6,30,11,3,6,0
#recht,57,57,0,0,0,0,0,0
#impfen,57,7,2,37,11,0,0,0
#afd,47,7,33,1,1,0,0,5
#mpk,47,1,0,38,0,0,8,0
#r2g,43,26,2,4,1,0,10,0
#pandemie,40,13,0,17,3,0,7,0
#schnelltests,39,0,2,36,1,0,0,0
#impfung,38,6,14,5,6,0,7,0
#impfstoff,27,5,4,5,4,0,9,0
#merkel,27,0,21,4,0,0,2,0
#coronavirus,26,3,19,3,1,0,0,0
#aktuellestunde,23,21,0,2,0,0,0,0
#querdenker,23,0,11,6,5,1,0,0
#selbsttests,21,1,1,18,1,0,0,0
#spd,20,5,6,1,4,0,4,0
#cdu,19,8,7,1,1,0,2,0
#testen,19,2,0,17,0,0,0,0
#fragestunde,19,19,0,0,0,0,0,0
#mahe,18,16,0,2,0,0,0,0
#biontech,18,2,3,2,8,0,3,0
#schnelltest,18,4,1,13,0,0,0,0
#homeoffice,18,3,0,14,0,0,1,0
#linkelpt,16,16,0,0,0,0,0,0
#covid_19,15,3,7,1,4,0,0,0
#marzahn,14,6,8,0,0,0,0,0
#spahn,13,2,6,1,2,0,2,0
#wissa,13,11,0,2,0,0,0,0
#servicetweet,12,1,0,9,0,0,2,0
#covid,12,3,1,8,0,0,0,0
#regierungserklärung,12,11,0,1,0,0,0,0
#delta,11,2,4,4,1,0,0,0
#priorität,11,11,0,0,0,0,0,0
#ciz,11,0,0,0,11,0,0,0
#masken,10,4,3,2,1,0,0,0
#maske,10,0,2,4,3,0,1,0
#noafd,10,7,0,3,0,0,0,0
#impfpflicht,10,1,9,0,0,0,0,0
#moderna,9,2,4,2,1,0,0,0
#selbsttesten,9,0,0,9,0,0,0,0
#testpflicht,9,0,3,6,0,0,0,0
#maskenpflicht,9,1,5,3,0,0,0,0
#inzidenz,8,0,5,0,3,0,0,0
#söder,8,0,6,1,1,0,0,0
#selbsttest,8,0,0,8,0,0,0,0
#schule,8,2,0,5,0,0,1,0
#lockerungen,8,0,5,1,2,0,0,0
#nocovid,8,6,1,1,0,0,0,0
#ffp2,8,3,1,4,0,0,0,0
#berlinfueralle,8,8,0,0,0,0,0,0
#fdp,7,7,0,0,0,0,0,0
#fightcorona,7,0,0,7,0,0,0,0
#ausgangssperren,7,0,5,2,0,0,0,0
#ausgangssperre,7,3,3,1,0,0,0,0
#abstand,7,0,0,3,4,0,0,0
#bvg,7,1,5,1,0,0,0,0
#allesdichtmachen,7,3,0,3,0,0,1,0
#lockdownverlaengerung,7,0,5,1,0,1,0,0
#kinder,7,0,0,6,0,0,1,0
#klimakrise,7,1,1,5,0,0,0,0
#coronavirusde,7,1,2,4,0,0,0,0
#hellersdorf,7,7,0,0,0,0,0,0
#freiheit,6,2,3,1,0,0,0,0
#ktdat,6,3,0,3,0,0,0,0
#3k21,6,0,0,0,0,6,0,0
#aktuelleviertelstunde,6,6,0,0,0,0,0,0
#öpnv,6,3,3,0,0,0,0,0
#klimaschutz,6,2,0,4,0,0,0,0
#lichtenberg,6,6,0,0,0,0,0,0
#deutschland,6,0,5,0,1,0,0,0
#drittewelle,6,1,1,1,3,0,0,0
#youtube,6,5,1,0,0,0,0,0
#impfungen,6,1,0,2,2,0,1,0
#covid19notbremsejetzt,6,0,0,0,6,0,0,0
#covidー19,6,2,3,1,0,0,0,0
#digitalisierung,6,0,0,5,1,0,0,0
#lauterbach,6,0,6,0,0,0,0,0
#luca,5,0,0,5,0,0,0,0
#longcovid,5,4,1,0,0,0,0,0
#teststrategie,5,1,0,4,0,0,0,0
#ostern,5,1,3,0,1,0,0,0
#europa,5,0,0,3,1,0,1,0
#stayhome,5,0,0,5,0,0,0,0
#stayathomesavelives,5,0,0,5,0,0,0,0
#sputnikv,5,5,0,0,0,0,0,0
#astrazeneka,5,1,0,2,1,0,1,0
#2g,5,1,0,4,0,0,0,0
#ema,5,0,0,4,1,0,0,0
#clubhouse,5,0,1,2,1,1,0,0
#kalayci,5,0,1,0,0,0,4,0
#b117,5,0,0,3,0,0,2,0
#impfzentrum,5,2,0,1,0,0,2,0
#csu,5,1,2,2,0,0,0,0
#polizei,5,3,1,0,1,0,0,0
#schulen,5,0,3,1,0,0,1,0
#grüne,5,1,3,0,0,0,1,0
#bewegungsradius,5,0,1,4,0,0,0,0
#wissenschaft,5,1,0,4,0,0,0,0
#politik,5,0,1,4,0,0,0,0
#senat,5,2,0,0,1,0,2,0
#müller,5,0,4,0,0,0,1,0
#gebtdiepatentefrei,5,5,0,0,0,0,0,0
#demokratie,4,1,0,2,1,0,0,0
#thread,4,3,0,1,0,0,0,0
#cdurausausderregierung,4,4,0,0,0,0,0,0
#coronaimpfung,4,3,0,0,1,0,0,0
#datenschutz,4,3,0,1,0,0,0,0
#klima,4,0,3,1,0,0,0,0
#syrien,4,0,4,0,0,0,0,0
#stiko,4,0,0,3,1,0,0,0
#mittelstand,4,0,4,0,0,0,0,0
#mutation,4,0,0,2,1,0,1,0
#mahlsdorf,4,2,0,2,0,0,0,0
#machtbüroszu,4,0,0,4,0,0,0,0
#luftfilter,4,2,0,0,0,1,1,0
#lucaapp,4,2,0,0,0,0,2,0
#linkebpt,4,4,0,0,0,0,0,0
#linke,4,4,0,0,0,0,0,0
#laschet,4,0,2,1,1,0,0,0
#kinderschutz,4,3,0,1,0,0,0,0
#kaulsdorf,4,3,0,1,0,0,0,0
#pilotprojekt,4,4,0,0,0,0,0,0
#impfzentren,4,0,0,1,3,0,0,0
#impfgipfel,4,0,0,3,0,0,1,0
#bundestagswahl,4,0,4,0,0,0,0,0
#homeschooling,4,2,0,1,0,0,1,0
#hierwirdgeimpft,4,0,0,0,4,0,0,0
#gemeinsamgegencorona,4,0,0,4,0,0,0,0
#facebook,4,3,1,0,0,0,0,0
#eurobundmedien,4,0,0,4,0,0,0,0
#eu,4,0,3,0,1,0,0,0
#unteilbar,4,4,0,0,0,0,0,0
#mit,4,0,0,0,4,0,0,0
#1mai,4,4,0,0,0,0,0,0
#baerbock,4,0,4,0,0,0,0,0
#bosnien,4,0,4,0,0,0,0,0
#wirhelfenberlin,4,0,0,0,0,0,4,0
#annewill,4,1,1,2,0,0,0,0
#aha,4,1,0,2,1,0,0,0
#bildung,4,3,0,0,0,0,1,0
#b0108,3,0,2,1,0,0,0,0
#damaskus,3,0,3,0,0,0,0,0
#giffey,3,0,0,0,3,0,0,0
#lookdown,3,0,3,0,0,0,0,0
#neukölln,3,1,1,1,0,0,0,0
#gmk,3,0,0,2,1,0,0,0
#schweden,3,0,3,0,0,0,0,0
#tina,3,1,0,2,0,0,0,0
#transparenz,3,3,0,0,0,0,0,0
#kabul,3,0,3,0,0,0,0,0
#grüneslicht,3,0,0,3,0,0,0,0
#coronatest,3,1,1,1,0,0,0,0
#machtbueroszu,3,0,0,3,0,0,0,0
#vielzutun,3,0,0,0,0,3,0,0
#grundrechte,3,2,1,0,0,0,0,0
#jugendschutz,3,2,0,1,0,0,0,0
#covidioten,3,0,2,0,1,0,0,0
#biesdorf,3,3,0,0,0,0,0,0
#sporta,3,0,0,0,0,3,0,0
#lockdown2021,3,1,2,0,0,0,0,0
#b1302,3,0,3,0,0,0,0,0
#coronagipfel,3,0,3,0,0,0,0,0
#stayathome,3,0,0,0,2,0,1,0
#osterlockdown,3,0,3,0,0,0,0,0
#zerocovid,3,2,1,0,0,0,0,0
#sprechstunde,3,2,0,1,0,0,0,0
#kreuzberg,3,0,0,3,0,0,0,0
#einzelhandel,3,0,1,2,0,0,0,0
#sormas,3,0,0,3,0,0,0,0
#frauen,3,0,0,3,0,0,0,0
#solidarität,3,1,0,0,2,0,0,0
#zukunft,3,0,0,2,0,0,1,0
#mitte,3,0,0,3,0,0,0,0
#solidaritaet,3,3,0,0,0,0,0,0
#aharegeln,3,0,0,0,3,0,0,0
#linkelvv,3,3,0,0,0,0,0,0
#gastronomie,3,0,2,1,0,0,0,0
#geimpfte,3,0,2,1,0,0,0,0
#livestream,3,2,0,1,0,0,0,0
#coronakrise,3,0,1,2,0,0,0,0
#maas,3,1,2,0,0,0,0,0
#china,3,0,3,0,0,0,0,0
#impffortschritt,3,0,0,0,3,0,0,0
#uefa,3,1,0,2,0,0,0,0
#impfzwang,3,0,3,0,0,0,0,0
#restart,3,0,0,3,0,0,0,0
#mietendeckel,3,1,1,1,0,0,0,0
#infektionsschutz,3,1,1,1,0,0,0,0
#capitol,3,0,3,0,0,0,0,0
#türkiye,3,3,0,0,0,0,0,0
#ifsg,3,1,0,2,0,0,0,0
#megalockdown,3,0,0,3,0,0,0,0
#rki,3,0,1,0,0,0,2,0
#impfenrettetleben,3,2,0,1,0,0,0,0
#bundesregierung,3,1,2,0,0,0,0,0
#brexit,3,0,0,3,0,0,0,0
#reinickendorf,3,2,0,0,0,0,1,0
#impfkampagne,2,0,0,1,1,0,0,0
#solidarisch,2,0,0,0,2,0,0,0
