,AFD,CDUCSU,FDP,GRUENE,LINKE,OTHER,SPD,AFD - norm,CDUCSU - norm,FDP - norm,GRUENE - norm,LINKE - norm,OTHER - norm,SPD - norm
2021-01-01,,,,,,,,,,,,,,
2021-01-02,,,,,,,,,,,,,,
2021-01-03,,,,,,,,,,,,,,
2021-01-04,,,,,,,,,,,,,,
2021-01-05,,,,,,,,,,,,,,
2021-01-06,,,,,,,,,,,,,,
2021-01-07,1.5714285714285714,0.42857142857142855,1.1428571428571428,2.142857142857143,2.857142857142857,,0.42857142857142855,0.06626489928835466,0.023809523809523808,0.14587198515769945,0.04664894620596976,0.09050947965393054,,0.07210884353741497
2021-01-08,1.625,0.375,1.125,2.0,4.0,,0.5,0.0693454232409467,0.020833333333333332,0.13388798701298701,0.04528211364450925,0.10125461822660099,,0.07003968253968254
2021-01-09,1.4444444444444444,0.3333333333333333,1.1111111111111112,2.3333333333333335,4.222222222222222,,0.5555555555555556,0.06164037621417484,0.018518518518518517,0.1329004329004329,0.05449578192902246,0.09939377645181434,,0.08077601410934744
2021-01-10,1.4,0.5,1.0,2.5,4.2,,0.5,0.06047633859275736,0.05,0.11961038961038961,0.06283930718439608,0.09921049636760851,,0.07269841269841269
2021-01-11,1.4545454545454546,0.45454545454545453,1.2727272727272727,2.3636363636363638,3.909090909090909,0.2857142857142857,0.45454545454545453,0.062251216902506686,0.045454545454545456,0.12526564344746163,0.05951898739251318,0.09175875845331181,0.047619047619047616,0.06608946608946609
2021-01-12,1.3333333333333333,0.4166666666666667,1.1666666666666667,2.5833333333333335,3.8333333333333335,,0.5,0.057063615493964465,0.041666666666666664,0.11482683982683983,0.06117282839022703,0.08666321565703243,,0.06815776815776815
2021-01-13,1.3846153846153846,0.46153846153846156,1.1538461538461537,2.769230769230769,3.8461538461538463,,0.6153846153846154,0.060366414302121044,0.045454545454545456,0.1119111657573196,0.06287748261661982,0.08452170133047338,,0.06990786990786992
2021-01-14,1.4285714285714286,0.42857142857142855,1.0714285714285714,2.7142857142857144,3.9285714285714284,,0.6428571428571429,0.05962595613768383,0.04220779220779221,0.1039175110603682,0.0620492375212935,0.08236642452736502,,0.06707895279323851
2021-01-15,1.4666666666666666,0.6,1.0,2.933333333333333,3.6666666666666665,,0.6666666666666666,0.060589164000109844,0.059393939393939395,0.09698967698967699,0.06505547882939774,0.07687532955887402,,0.0663107263107263
2021-01-16,1.4375,0.5625,0.9375,2.8125,3.6875,0.25,0.625,0.05881847028236104,0.05568181818181818,0.09092782217782218,0.06201410156649481,0.07292096159749882,0.041666666666666664,0.06216630591630592
2021-01-17,1.3529411764705883,0.5882352941176471,0.8823529411764706,2.8823529411764706,3.823529411764706,,0.6470588235294118,0.05535856026575157,0.0641711229946524,0.08557912675559734,0.067080810188945,0.0772398146455656,,0.0643918173329938
2021-01-18,1.3333333333333333,0.5555555555555556,0.8888888888888888,3.2222222222222223,3.6666666666666665,,0.6111111111111112,0.05506086247320982,0.0606060606060606,0.08587523587523588,0.07228266994035283,0.07390656823805333,,0.06081449414782748
2021-01-19,1.3157894736842106,0.5789473684210527,0.8947368421052632,3.1052631578947367,3.6315789473684212,,0.5789473684210527,0.05455526684064854,0.07057416267942583,0.08511488511488512,0.06982784655617771,0.07386783999959352,,0.057613731297941825
2021-01-20,1.35,0.55,0.85,3.3,3.45,,0.6,0.05476867996920435,0.06704545454545455,0.08085914085914085,0.07140891799648477,0.07017444799961385,,0.05785804473304473
2021-01-21,1.3333333333333333,0.5238095238095238,0.8095238095238095,3.857142857142857,3.380952380952381,,0.5714285714285714,0.0549617680378977,0.06385281385281386,0.07700870558013415,0.0797180952035218,0.06885915007055424,,0.05510289974575689
2021-01-22,1.3636363636363635,0.5,0.7727272727272727,4.136363636363637,3.272727272727273,,0.6363636363636364,0.05571025910111014,0.060950413223140494,0.07350830987194623,0.08120179771980707,0.0666204543008588,,0.058280040666404305
2021-01-23,1.3043478260869565,0.4782608695652174,0.7391304347826086,4.0,3.1739130434782608,,0.6521739130434783,0.053288073922801,0.05830039525691699,0.07031229639925292,0.07898880783212112,0.06496614883436183,,0.06009395194177803
2021-01-24,1.3333333333333333,0.5,0.7083333333333334,3.9166666666666665,3.0416666666666665,0.2222222222222222,0.625,0.05596969829366469,0.09753787878787878,0.06738261738261737,0.07890273571091094,0.062259225966263425,0.037037037037037035,0.05759003727753728
2021-01-25,1.32,0.52,0.76,3.84,3.2,,0.64,0.05547004079670071,0.09935064935064934,0.07040159840159839,0.07760709139875357,0.06231431147306744,,0.05836335886335887
2021-01-26,1.2692307692307692,0.5,0.7307692307692307,3.730769230769231,3.1153846153846154,0.2,0.6153846153846154,0.053336577689135294,0.09552947052947053,0.06769384461692153,0.07526322890905793,0.06070253654199969,0.03333333333333333,0.05611861429169122
2021-01-27,1.2222222222222223,0.48148148148148145,0.8518518518518519,3.6666666666666665,3.074074074074074,,0.5925925925925926,0.05136114888583399,0.09199134199134198,0.07753234419901087,0.07412179244740556,0.059403962064185835,,0.05404014709570265
2021-01-28,1.2142857142857142,0.5,0.8571428571428571,3.7142857142857144,3.4285714285714284,0.18181818181818182,0.6428571428571429,0.05051888563197483,0.09145318966747538,0.07801008515294229,0.07373498340430203,0.060336903268660404,0.0303030303030303,0.05535689508903795
2021-01-29,1.1724137931034482,0.6206896551724138,0.8620689655172413,4.0,3.3448275862068964,,0.6551724137931034,0.04877685509294122,0.09174790726514864,0.0787683580787029,0.0757900989190962,0.058960050165096464,,0.057279454262212884
2021-01-30,1.1666666666666667,0.6,0.9333333333333333,4.033333333333333,3.3333333333333335,0.25,0.6666666666666666,0.04900281177502837,0.08868964368964369,0.09280941280941281,0.07732880293886617,0.05903553148612386,0.06944444444444443,0.059536805786805785
2021-01-31,1.1612903225806452,0.5806451612903226,,3.903225806451613,3.3548387096774195,0.23076923076923078,0.6451612903225806,0.05011024795432852,0.08582868744159067,,0.07483432542470919,0.060278287748176514,0.0641025641025641,0.05761626366465076
2021-02-01,1.1875,0.59375,0.9354838709677419,3.78125,3.25,,0.625,0.05104430270575576,0.09095904095904096,0.09788007691233498,0.07249575275518703,0.058394591256046,,0.055815755425130426
2021-02-02,1.1818181818181819,0.6060606060606061,1.0,3.6666666666666665,3.3333333333333335,,0.6060606060606061,0.050940507097067635,0.08988620806802625,0.10334405178155179,0.07029891176260561,0.058192456306803225,,0.05412436889709617
2021-02-03,1.2058823529411764,0.5882352941176471,0.9696969696969697,3.588235294117647,3.2941176470588234,,0.5882352941176471,0.05189323728048721,0.08724249606602548,0.10021241384877749,0.06912256230791222,0.057612135193707205,,0.0525324756942404
2021-02-04,1.2,0.5714285714285714,0.9705882352941176,3.6,3.342857142857143,,0.6,0.05183914478675901,0.08474985332128189,0.1070689114806762,0.07007803488666052,0.058942264664363184,,0.0532293500150643
