hashtag,total,LINKE,AFD,GRUENE,SPD,FDP,CDUCSU,OTHER
#berlin,139,90,5,15,13,1,15,0
#agh,117,84,3,5,5,16,3,1
#corona,62,20,8,29,1,0,4,0
#r2g,60,34,1,15,1,5,4,0
#plenum,43,39,0,4,0,0,0,0
#cdu,33,17,3,6,1,0,6,0
#afd,26,5,19,0,0,0,1,1
#klimaschutz,24,4,0,19,0,0,1,0
#recht,22,22,0,0,0,0,0,0
#agh21,21,17,0,2,0,0,2,0
#linke,19,15,4,0,0,0,0,0
#spd,17,6,4,3,4,0,0,0
#mietendeckel,16,11,0,4,0,0,1,0
#mahe,15,11,0,4,0,0,0,0
#grüne,14,1,9,4,0,0,0,0
#lockdown,14,1,3,5,1,0,4,0
#mpk,12,0,0,9,2,0,1,0
#merkel,11,1,9,1,0,0,0,0
#ktdat,11,7,0,3,0,1,0,0
#astrazeneca,10,2,1,4,0,1,2,0
#lucaapp,10,9,0,1,0,0,0,0
#aktuellestunde,10,10,0,0,0,0,0,0
#baerbock,10,0,8,2,0,0,0,0
#afghanistan,10,3,2,5,0,0,0,0
#berlhg,9,4,0,4,1,0,0,0
#btw21,9,2,2,5,0,0,0,0
#schnelltests,9,0,0,9,0,0,0,0
#wissenschaft,9,0,0,9,0,0,0,0
#priorität,9,9,0,0,0,0,0,0
#lichtenberg,8,1,0,4,0,1,2,0
#klargehtdas,8,0,0,8,0,0,0,0
#bvg,7,3,1,1,0,0,2,0
#wissa,7,7,0,0,0,0,0,0
#homeoffice,7,1,0,4,0,1,1,0
#linkebpt,7,7,0,0,0,0,0,0
#berlinforfuture,7,0,0,7,0,0,0,0
#allesdichtmachen,6,0,3,2,0,0,1,0
#triell,6,0,0,6,0,0,0,0
#öpnv,6,3,0,2,0,0,1,0
#covid19,6,0,4,1,1,0,0,0
#marzahn,6,2,4,0,0,0,0,0
#noafd,6,3,0,3,0,0,0,0
#fragestunde,6,6,0,0,0,0,0,0
#bildung,6,4,0,1,0,0,1,0
#fdp,6,4,1,0,0,0,1,0
#a100stoppen,5,3,0,2,0,0,0,0
#a100,5,2,0,2,1,0,0,0
#krankenhausbewegung,5,3,0,2,0,0,0,0
#groko,5,0,0,5,0,0,0,0
#allesistdrin,5,0,0,5,0,0,0,0
#eurobundmedien,5,0,0,5,0,0,0,0
#ichbinhanna,5,2,0,3,0,0,0,0
#hellersdorf,5,4,0,1,0,0,0,0
#rassismus,5,5,0,0,0,0,0,0
#pandemie,5,2,0,3,0,0,0,0
#senat,5,3,1,0,0,0,1,0
#klimakrise,5,3,0,2,0,0,0,0
#neukölln,5,2,0,3,0,0,0,0
#laschet,5,1,0,4,0,0,0,0
#verfassungsschutz,4,1,3,0,0,0,0,0
#msm,4,0,4,0,0,0,0,0
#vonovia,4,1,0,3,0,0,0,0
#grueneslicht,4,0,0,4,0,0,0,0
#cdurausausderregierung,4,4,0,0,0,0,0,0
#klima,4,0,2,1,1,0,0,0
#grünen,4,2,2,0,0,0,0,0
#cduberlin,4,0,0,0,0,0,4,0
#linkelpt,4,4,0,0,0,0,0,0
#union,4,2,0,1,1,0,0,0
#gruene,4,0,1,3,0,0,0,0
#charlottenburg,4,0,0,0,4,0,0,0
#geisel,4,0,2,2,0,0,0,0
#ör,4,0,4,0,0,0,0,0
#2g,4,0,0,3,0,0,1,0
