hashtag,total,LINKE,AFD,GRUENE,SPD,FDP,CDUCSU,OTHER
#einfamilienhaus,3,1,2,0,0.0,0,0,0.0
#linke,2,1,1,0,0.0,0,0,0.0
#b1302,1,0,1,0,0.0,0,0,0.0
#kaulsdorf,1,1,0,0,0.0,0,0,0.0
#städtebau,1,1,0,0,0.0,0,0,0.0
#riexinger,1,0,1,0,0.0,0,0,0.0
#raumordnungspolitik,1,1,0,0,0.0,0,0,0.0
#mahlsdorf,1,1,0,0,0.0,0,0,0.0
#lockdown,1,0,1,0,0.0,0,0,0.0
#hartaberfair,1,0,1,0,0.0,0,0,0.0
#berlin,1,0,1,0,0.0,0,0,0.0
#grüne,1,0,1,0,0.0,0,0,0.0
#fdp,1,1,0,0,0.0,0,0,0.0
#einfamilienhaeuser,1,0,1,0,0.0,0,0,0.0
#covidioten,1,0,1,0,0.0,0,0,0.0
#biesdorf,1,1,0,0,0.0,0,0,0.0
#vaccine,1,0,1,0,0.0,0,0,0.0
