,AFD,CDUCSU,FDP,GRUENE,LINKE,OTHER,SPD,AFD - norm,CDUCSU - norm,FDP - norm,GRUENE - norm,LINKE - norm,OTHER - norm,SPD - norm
2021-01-01,,,,,,,,,,,,,,
2021-01-02,,,,,,,,,,,,,,
2021-01-03,,,,,,,,,,,,,,
2021-01-04,,,,,,,,,,,,,,
2021-01-05,,,,,,,,,,,,,,
2021-01-06,,,,,,,,,,,,,,
2021-01-07,,,,,,,,,,,,,,
2021-01-08,,,,,,,,,,,,,,
2021-01-09,,,,,,,,,,,,,,
2021-01-10,,,,,,,,,,,,,,
2021-01-11,,,,,,,,,,,,,,
2021-01-12,,,,,,,,,,,,,,
2021-01-13,,,,,,,,,,,,,,
2021-01-14,0.0,0.0,0.07142857142857142,0.35714285714285715,0.14285714285714285,,0.0,0.0,0.0,0.01020408163265306,0.0071474646946345045,0.0035134743552593453,,0.0
2021-01-15,0.0,0.07142857142857142,0.0,0.35714285714285715,0.07142857142857142,,0.0,0.0,0.0071428571428571435,0.0,0.0071474646946345045,0.001050420168067227,,0.0
2021-01-16,0.0,0.07142857142857142,0.0,0.35714285714285715,0.14285714285714285,,0.0,0.0,0.0071428571428571435,0.0,0.0071474646946345045,0.0012933744926542049,,0.0
2021-01-17,0.0,0.07142857142857142,0.0,0.35714285714285715,0.14285714285714285,,0.0,0.0,0.0071428571428571435,0.0,0.0071474646946345045,0.0012933744926542049,,0.0
2021-01-18,0.0,0.07142857142857142,0.0,0.42857142857142855,0.14285714285714285,,0.0,0.0,0.0071428571428571435,0.0,0.007714358118670785,0.0012933744926542049,,0.0
2021-01-19,0.0,0.07142857142857142,0.0,0.35714285714285715,0.21428571428571427,,0.0,0.0,0.0071428571428571435,0.0,0.006366649223792079,0.0030355347713998493,,0.0
2021-01-20,0.0,0.07142857142857142,0.0,0.21428571428571427,0.14285714285714285,,0.0,0.0,0.0071428571428571435,0.0,0.004382522239665095,0.001985114603332622,,0.0
2021-01-21,0.0,0.07142857142857142,0.0,0.21428571428571427,0.14285714285714285,,0.0,0.0,0.0071428571428571435,0.0,0.004382522239665095,0.001985114603332622,,0.0
2021-01-22,0.0,0.07142857142857142,0.0,0.21428571428571427,0.14285714285714285,,0.0,0.0,0.0071428571428571435,0.0,0.004382522239665095,0.001985114603332622,,0.0
2021-01-23,0.0,0.07142857142857142,0.0,0.21428571428571427,0.14285714285714285,,0.0,0.0,0.0071428571428571435,0.0,0.004382522239665095,0.001985114603332622,,0.0
2021-01-24,0.0,0.07142857142857142,0.0,0.21428571428571427,0.14285714285714285,,0.0,0.0,0.0071428571428571435,0.0,0.004382522239665095,0.001985114603332622,,0.0
2021-01-25,0.0,0.07142857142857142,0.0,0.2857142857142857,0.14285714285714285,,0.0,0.0,0.0071428571428571435,0.0,0.006043651807771408,0.001985114603332622,,0.0
2021-01-26,0.0,0.07142857142857142,0.0,0.35714285714285715,0.14285714285714285,,0.0,0.0,0.0071428571428571435,0.0,0.007234127998247597,0.001985114603332622,,0.0
2021-01-27,0.0,0.07142857142857142,0.0,0.35714285714285715,0.14285714285714285,,0.0,0.0,0.0071428571428571435,0.0,0.007234127998247597,0.001985114603332622,,0.0
2021-01-28,0.0,0.07142857142857142,0.0,0.2857142857142857,0.14285714285714285,,0.0,0.0,0.0071428571428571435,0.0,0.005402626166745765,0.001985114603332622,,0.0
2021-01-29,0.0,0.0,0.0,0.2857142857142857,0.14285714285714285,,0.0,0.0,0.0,0.0,0.005402626166745765,0.001985114603332622,,0.0
2021-01-30,0.0,0.0,0.07142857142857142,0.2857142857142857,0.21428571428571427,,0.0,0.0,0.0,0.011904761904761904,0.005402626166745765,0.004657612173789376,,0.0
2021-01-31,0.0,0.0,,0.2857142857142857,0.21428571428571427,,0.0,0.0,0.0,,0.005402626166745765,0.004657612173789376,,0.0
2021-02-01,0.07142857142857142,0.0,0.07142857142857142,0.14285714285714285,0.21428571428571427,,0.0,0.002857142857142857,0.0,0.011904761904761904,0.0028516057585825003,0.004657612173789376,,0.0
2021-02-02,0.07142857142857142,0.0,0.07142857142857142,0.14285714285714285,0.14285714285714285,,0.0,0.002857142857142857,0.0,0.011904761904761904,0.0028516057585825003,0.0029154518950437317,,0.0
2021-02-03,0.07142857142857142,0.0,0.07142857142857142,0.21428571428571427,0.14285714285714285,,0.0,0.002857142857142857,0.0,0.011904761904761904,0.005016107923084665,0.0029154518950437317,,0.0
2021-02-04,0.07142857142857142,0.0,0.07142857142857142,0.21428571428571427,0.14285714285714285,,0.0,0.002857142857142857,0.0,0.011904761904761904,0.005016107923084665,0.0029154518950437317,,0.0
2021-02-05,0.07142857142857142,0.0,0.07142857142857142,0.21428571428571427,0.14285714285714285,,0.07142857142857142,0.002857142857142857,0.0,0.011904761904761904,0.005016107923084665,0.0029154518950437317,,0.006493506493506494
2021-02-06,0.07142857142857142,0.0,0.07142857142857142,0.35714285714285715,0.21428571428571427,,0.07142857142857142,0.002857142857142857,0.0,0.011904761904761904,0.008055621600896215,0.0040675256277626255,,0.006493506493506494
2021-02-07,0.07142857142857142,0.0,0.07142857142857142,0.35714285714285715,0.2857142857142857,0.0,0.07142857142857142,0.002857142857142857,0.0,0.011904761904761904,0.008055621600896215,0.005768205899871469,0.0,0.006493506493506494
2021-02-08,0.07142857142857142,0.0,0.07142857142857142,0.42857142857142855,0.2857142857142857,,0.07142857142857142,0.002857142857142857,0.0,0.011904761904761904,0.011888997527295398,0.005768205899871469,,0.006493506493506494
2021-02-09,0.07142857142857142,0.0,,0.35714285714285715,0.2857142857142857,0.0,0.07142857142857142,0.002857142857142857,0.0,,0.010698521336819209,0.005768205899871469,0.0,0.006493506493506494
2021-02-10,0.07142857142857142,0.0,0.07142857142857142,0.42857142857142855,0.2857142857142857,,0.07142857142857142,0.002857142857142857,0.0,0.011904761904761904,0.011814592765390637,0.005768205899871469,,0.006493506493506494
2021-02-11,0.07142857142857142,0.0,0.07142857142857142,0.42857142857142855,0.35714285714285715,0.0,0.07142857142857142,0.002857142857142857,0.0,0.011904761904761904,0.011814592765390637,0.006282080514465508,0.0,0.006493506493506494
2021-02-12,0.07142857142857142,0.0,0.07142857142857142,0.42857142857142855,0.5,,0.07142857142857142,0.002857142857142857,0.0,0.011904761904761904,0.011814592765390637,0.00832289684099612,,0.006493506493506494
2021-02-13,0.07142857142857142,0.0,0.07142857142857142,0.42857142857142855,0.42857142857142855,,0.07142857142857142,0.002857142857142857,0.0,0.011904761904761904,0.011814592765390637,0.006578405133306019,,0.006493506493506494
2021-02-14,0.07142857142857142,0.0,,0.42857142857142855,0.42857142857142855,0.0,0.07142857142857142,0.002857142857142857,0.0,,0.011814592765390637,0.006578405133306019,0.0,0.006493506493506494
