hashtag,total,LINKE,AFD,GRUENE,SPD,FDP,CDUCSU,OTHER
#corona,4,0,0,4,0,0,0,0
#lichtenberg,3,1,0,2,0,0,0,0
#r2g,3,1,0,1,0,1,0,0
#mahlsdorf,2,0,0,2,0,0,0,0
#linke,2,2,0,0,0,0,0,0
#mietenwahnsinn,2,0,0,1,1,0,0,0
#mietenschutzschirm,2,0,0,1,1,0,0,0
#tierpark,2,0,0,2,0,0,0,0
#klargehtdas,2,0,0,2,0,0,0,0
#friedrichsfelde,2,1,0,1,0,0,0,0
#mahe,2,1,0,1,0,0,0,0
#linkebpt,2,2,0,0,0,0,0,0
#klimaschutz,2,1,0,1,0,0,0,0
#agh,2,2,0,0,0,0,0,0
#weitlingkiez,2,0,0,2,0,0,0,0
#allesistdrin,2,0,0,2,0,0,0,0
#berlin,2,2,0,0,0,0,0,0
#neustartlichtenberg,1,0,0,1,0,0,0,0
#popcorn,1,0,0,1,0,0,0,0
#papenburg,1,0,0,1,0,0,0,0
#mobilität,1,1,0,0,0,0,0,0
#linkelpt,1,1,0,0,0,0,0,0
#neukölln,1,0,0,1,0,0,0,0
#migrationshintergrund,1,0,1,0,0,0,0,0
#ramadan,1,0,1,0,0,0,0,0
#manuelneuer,1,0,1,0,0,0,0,0
#medtech,1,0,0,0,0,0,1,0
#adlershof,1,0,0,1,0,0,0,0
#recht,1,1,0,0,0,0,0,0
#trump,1,0,1,0,0,0,0,0
#wissensstadtberlin,1,0,0,1,0,0,0,0
#wissaus,1,0,0,1,0,0,0,0
#wasserstoff,1,0,0,0,0,1,0,0
#volksinitiative,1,1,0,0,0,0,0,0
#vivantes,1,1,0,0,0,0,0,0
#umwelt,1,1,0,0,0,0,0,0
#uk,1,0,0,1,0,0,0,0
#tischtennis,1,0,0,1,0,0,0,0
#rufbus,1,0,0,1,0,0,0,0
#steglitz,1,0,0,1,0,0,0,0
#stefaniefuchs,1,1,0,0,0,0,0,0
#spd,1,0,0,1,0,0,0,0
#solidarität,1,1,0,0,0,0,0,0
#socialinnovation,1,1,0,0,0,0,0,0
#smartcity,1,1,0,0,0,0,0,0
#selbsttesten,1,0,0,1,0,0,0,0
#schnelltests,1,0,0,1,0,0,0,0
#kultur,1,1,0,0,0,0,0,0
#laschetschreibtab,1,0,0,1,0,0,0,0
#breitscheidplatz,1,1,0,0,0,0,0,0
#comic,1,1,0,0,0,0,0,0
#charité,1,1,0,0,0,0,0,0
#cdu,1,0,1,0,0,0,0,0
#bvvlbg,1,1,0,0,0,0,0,0
#btw21,1,0,0,1,0,0,0,0
#bsf,1,1,0,0,0,0,0,0
#brinker,1,0,0,0,0,0,0,1
#braincityberlin,1,0,0,1,0,0,0,0
#köpenick,1,1,0,0,0,0,0,0
#bibliotheksentwicklungsplan,1,1,0,0,0,0,0,0
#berlinfueralle,1,1,0,0,0,0,0,0
#bereitweilihresseid,1,0,0,1,0,0,0,0
#ber,1,0,0,0,0,0,1,0
#belgienhalle,1,1,0,0,0,0,0,0
#ausgangssperre,1,1,0,0,0,0,0,0
#agh21,1,1,0,0,0,0,0,0
#csu,1,0,1,0,0,0,0,0
#dfb,1,0,1,0,0,0,0,0
#digitalhealth,1,0,0,0,0,0,1,0
#fairtradetown,1,0,0,1,0,0,0,0
#klimakrise,1,1,0,0,0,0,0,0
#klima,1,0,0,1,0,0,0,0
#katar2022,1,0,1,0,0,0,0,0
#jahnsportpark,1,0,0,1,0,0,0,0
#innsicho,1,0,0,1,0,0,0,0
#impfen,1,0,0,1,0,0,0,0
#ifg,1,0,0,1,0,0,0,0
#hohenzollern,1,0,0,1,0,0,0,0
#hmbtg,1,0,0,1,0,0,0,0
#h2,1,0,0,0,0,1,0,0
#goldnest,1,0,0,0,1,0,0,0
#gesundheit,1,0,0,1,0,0,0,0
#gemeinschaftsschulen,1,1,0,0,0,0,0,0
#fuchscast,1,1,0,0,0,0,0,0
#fiedrichsfelde,1,0,0,1,0,0,0,0
#zusammenleben,1,0,0,1,0,0,0,0
