hashtag,total,LINKE,AFD,GRUENE,SPD,FDP,CDUCSU,OTHER
#berlin,18,13,0,1,1,0,3,0
#agh,13,13,0,0,0,0,0,0
#recht,6,6,0,0,0,0,0,0
#r2g,6,5,0,1,0,0,0,0
#mahe,5,4,0,1,0,0,0,0
#aktuelleviertelstunde,4,4,0,0,0,0,0,0
#plenum,3,3,0,0,0,0,0,0
#mahlsdorf,3,3,0,0,0,0,0,0
#wissenschaft,2,0,0,2,0,0,0,0
#eurobundmediena,2,2,0,0,0,0,0,0
#priorität,2,2,0,0,0,0,0,0
#biden,2,0,0,2,0,0,0,0
#grüne,2,2,0,0,0,0,0,0
#cdu,2,1,0,0,0,0,1,0
#cdurausausderregierung,2,2,0,0,0,0,0,0
#hellersdorf,2,2,0,0,0,0,0,0
#racial,1,0,0,1,0,0,0,0
#radverkehr,1,1,0,0,0,0,0,0
#prävention,1,0,0,1,0,0,0,0
#pflege,1,0,0,0,1,0,0,0
#pride,1,0,0,0,0,0,1,0
#preußenpark,1,1,0,0,0,0,0,0
#regenbogenfahne,1,0,0,1,0,0,0,0
#pflege4,1,0,0,0,1,0,0,0
#orientierung,1,0,0,1,0,0,0,0
#paulahatzweimamas,1,0,0,1,0,0,0,0
#pariser,1,0,0,1,0,0,0,0
#paris,1,0,0,1,0,0,0,0
#scheinheilig,1,0,0,1,0,0,0,0
#opensource,1,0,0,1,0,0,0,0
#onebillionrising2021,1,0,0,1,0,0,0,0
#nocovid,1,1,0,0,0,0,0,0
#noally,1,0,0,1,0,0,0,0
#neukölln,1,0,0,1,0,0,0,0
#neubauer,1,0,1,0,0,0,0,0
#muslim,1,0,0,1,0,0,0,0
#mobilität,1,1,0,0,0,0,0,0
#mietendeckel,1,1,0,0,0,0,0,0
#marzahn,1,0,0,1,0,0,0,0
#mariendorf,1,0,0,0,1,0,0,0
#regierungsviertel,1,1,0,0,0,0,0,0
#5stimmengrün,1,0,0,1,0,0,0,0
#schnelltests,1,0,0,1,0,0,0,0
