hashtag,total,LINKE,AFD,GRUENE,SPD,FDP,CDUCSU,OTHER
#berlin,6,2,0,2,1,1,0,0.0
#hanau,6,2,0,4,0,0,0,0.0
#weremember,5,4,0,1,0,0,0,0.0
#niewieder,5,1,0,4,0,0,0,0.0
#60jahremauerbau,4,2,0,2,0,0,0,0.0
#keinvergessen,4,4,0,0,0,0,0,0.0
#gedenken,4,2,0,1,1,0,0,0.0
#niewiederfaschismus,3,3,0,0,0,0,0,0.0
#cdu,3,0,0,2,0,1,0,0.0
#steglitz,3,1,0,2,0,0,0,0.0
#freiheit,3,1,0,2,0,0,0,0.0
#sinti,3,3,0,0,0,0,0,0.0
#agh,3,3,0,0,0,0,0,0.0
#marzahn,3,3,0,0,0,0,0,0.0
#roma,3,3,0,0,0,0,0,0.0
#corona,3,1,0,2,0,0,0,0.0
#klargehtdas,2,0,0,2,0,0,0,0.0
#saytheirnames,2,1,0,1,0,0,0,0.0
#klimaschutz,2,0,0,2,0,0,0,0.0
#nonazis,2,2,0,0,0,0,0,0.0
#deutschland,2,2,0,0,0,0,0,0.0
#noafd,2,2,0,0,0,0,0,0.0
#tagderbefreiung,2,2,0,0,0,0,0,0.0
#holocaustgedenktag,2,2,0,0,0,0,0,0.0
#shoah,2,0,0,0,2,0,0,0.0
#lesbischesichtbarkeit,2,0,0,2,0,0,0,0.0
#biesdorf,2,2,0,0,0,0,0,0.0
#8mai,2,2,0,0,0,0,0,0.0
#wilmersdorf,2,0,0,0,2,0,0,0.0
#baerbock,2,0,1,0,1,0,0,0.0
#bereitweilihresseid,2,0,0,2,0,0,0,0.0
#holocaustmemorialday,2,2,0,0,0,0,0,0.0
#niemalsvergessen,2,2,0,0,0,0,0,0.0
#ns_opfer,1,0,0,1,0,0,0,0.0
#porajmus,1,1,0,0,0,0,0,0.0
#maueropfer,1,0,0,0,0,1,0,0.0
#rassismus,1,1,0,0,0,0,0,0.0
#r2g,1,0,0,0,0,1,0,0.0
#pride,1,0,0,1,0,0,0,0.0
#memorial,1,0,0,1,0,0,0,0.0
#pressefreiheit,1,0,0,0,0,0,1,0.0
#mietendemo21,1,0,0,1,0,0,0,0.0
#mölln,1,1,0,0,0,0,0,0.0
#plenum,1,0,0,1,0,0,0,0.0
#nichtmituns,1,0,1,0,0,0,0,0.0
#niewiederkrieg,1,1,0,0,0,0,0,0.0
#neutralitätsgesetz,1,1,0,0,0,0,0,0.0
#mieterhöhung,1,0,1,0,0,0,0,0.0
#plastikfrei,1,0,0,1,0,0,0,0.0
#opfer,1,0,0,1,0,0,0,0.0
#mietenschutzschirm,1,0,0,1,0,0,0,0.0
#1jahrnachhanau,1,0,0,1,0,0,0,0.0
#recht,1,1,0,0,0,0,0,0.0
#tagdessieges,1,1,0,0,0,0,0,0.0
#überfallaufdiesowjetunion,1,0,0,0,1,0,0,0.0
#zehlendorf,1,1,0,0,0,0,0,0.0
#wohnungsbaugesellschaft,1,0,1,0,0,0,0,0.0
#wk75,1,1,0,0,0,0,0,0.0
#weremeber,1,1,0,0,0,0,0,0.0
#welttagderhumanitärenhilfe,1,0,0,0,1,0,0,0.0
#wedding,1,0,0,1,0,0,0,0.0
#virchow,1,1,0,0,0,0,0,0.0
#vertanechance,1,0,0,1,0,0,0,0.0
#verkehrswende,1,0,0,1,0,0,0,0.0
#triell,1,0,0,0,1,0,0,0.0
#totgeschwiegen,1,0,0,1,0,0,0,0.0
#totgeschlagen,1,0,0,1,0,0,0,0.0
#süßmuth,1,0,0,1,0,0,0,0.0
#recognizeyazidigenocide,1,1,0,0,0,0,0,0.0
#supermarktlandschaften,1,1,0,0,0,0,0,0.0
#stolpersteine,1,0,0,1,0,0,0,0.0
#stephanstandfuss,1,0,0,0,0,0,1,0.0
#stadtentwicklung,1,1,0,0,0,0,0,0.0
#spd,1,0,0,0,1,0,0,0.0
#solingen,1,1,0,0,0,0,0,0.0
#shoppingmalls,1,1,0,0,0,0,0,0.0
#mauerbau,1,0,0,1,0,0,0,0.0
#schönebergernorden,1,0,0,1,0,0,0,0.0
#scholz,1,0,0,0,1,0,0,0.0
#sachsenhausen,1,0,0,1,0,0,0,0.0
#rosaluxemburg,1,1,0,0,0,0,0,0.0
#rosa150,1,1,0,0,0,0,0,0.0
#mauerfall,1,0,0,1,0,0,0,0.0
#lichtimfenster,1,0,0,1,0,0,0,0.0
#mauer,1,0,0,1,0,0,0,0.0
#danke,1,1,0,0,0,0,0,0.0
#gegendasvergessen,1,0,0,1,0,0,0,0.0
#gedenktag,1,0,0,0,1,0,0,0.0
#gedenkkugeljetzt,1,0,0,1,0,0,0,0.0
#frauenkampftag,1,0,0,1,0,0,0,0.0
#faschismus,1,1,0,0,0,0,0,0.0
#fackelmarsch,1,1,0,0,0,0,0,0.0
#euthanasie,1,1,0,0,0,0,0,0.0
#europatag,1,0,0,0,0,0,1,0.0
#engden,1,1,0,0,0,0,0,0.0
#em2021,1,1,0,0,0,0,0,0.0
#deutschkron,1,0,0,0,1,0,0,0.0
#demokratie,1,0,0,1,0,0,0,0.0
#danken,1,1,0,0,0,0,0,0.0
#csdberlin,1,0,0,1,0,0,0,0.0
#mahnmal,1,1,0,0,0,0,0,0.0
#clubhouse,1,0,0,1,0,0,0,0.0
#charlottenburg,1,0,0,0,1,0,0,0.0
#bverfg,1,0,0,0,0,1,0,0.0
#bouldern,1,0,0,1,0,0,0,0.0
#blumenstrauß,1,0,0,0,1,0,0,0.0
#befreiung,1,1,0,0,0,0,0,0.0
