hashtag,total,LINKE,AFD,GRUENE,SPD,FDP,CDUCSU,OTHER
#europa,45,12,5,21,5,1,1,0
#eu,33,5,21,1,5,1,0,0
#berlin,21,12,1,3,4,0,1,0
#agh,20,14,0,3,1,2,0,0
#corona,11,0,4,5,1,0,1,0
#plenum,10,9,0,0,1,0,0,0
#aktuellestunde,10,10,0,0,0,0,0,0
#verfassung,7,5,0,0,2,0,0,0
#eurobundmedien,6,2,0,4,0,0,0,0
#deutschland,5,1,4,0,0,0,0,0
#eurobundmed,4,0,0,3,0,1,0,0
#erdogan,4,2,2,0,0,0,0,0
#brexit,4,1,0,3,0,0,0,0
#afd,4,1,3,0,0,0,0,0
#merkel,3,0,3,0,0,0,0,0
#schuldenunion,3,0,3,0,0,0,0,0
#europatag,3,0,0,0,1,0,2,0
#afghanistan,3,1,2,0,0,0,0,0
#kabul,3,1,2,0,0,0,0,0
#bosnien,2,0,2,0,0,0,0,0
#türkei,2,0,2,0,0,0,0,0
#fcunion,2,0,0,2,0,0,0,0
#ungarn,2,0,2,0,0,0,0,0
#bundeswehr,2,0,2,0,0,0,0,0
#pandemie,2,0,0,1,0,0,1,0
#bundestag,2,1,1,0,0,0,0,0
#polen,2,0,2,0,0,0,0,0
#klimaschutz,2,0,0,2,0,0,0,0
#schnelltests,2,0,0,2,0,0,0,0
#covid,2,0,0,2,0,0,0,0
#blamegame,2,0,0,2,0,0,0,0
#lipa,2,0,1,1,0,0,0,0
#greendeal,2,1,0,1,0,0,0,0
#selbsttests,2,0,0,2,0,0,0,0
#impfstoff,2,0,1,1,0,0,0,0
#klargehtdas,2,0,0,2,0,0,0,0
#karatepe,2,1,0,1,0,0,0,0
#impfversagen,2,0,2,0,0,0,0,0
#eurobundmeda,2,0,0,1,0,1,0,0
#ratspräsidentschaft,1,0,0,1,0,0,0,0
#rassismus,1,1,0,0,0,0,0,0
#scholz,1,0,1,0,0,0,0,0
#refugeeswelcome,1,1,0,0,0,0,0,0
#rki,1,0,0,0,0,0,1,0
#rtltriell,1,0,1,0,0,0,0,0
#schnelltest,1,0,0,1,0,0,0,0
#schnelltesten,1,0,0,1,0,0,0,0
#scholzmussweg,1,0,1,0,0,0,0,0
#schottland,1,0,0,0,0,1,0,0
#schriftsteller,1,1,0,0,0,0,0,0
#portugal,1,0,0,1,0,0,0,0
#11juli,1,0,0,1,0,0,0,0
#politischen,1,1,0,0,0,0,0,0
#menschenrechte,1,0,0,1,0,0,0,0
#ldk,1,0,0,1,0,0,0,0
#lesvos,1,0,0,1,0,0,0,0
#lgbtiqfreedomzone,1,0,0,1,0,0,0,0
#ltwbw21,1,0,1,0,0,0,0,0
#ltwrp21,1,0,1,0,0,0,0,0
#maghreb,1,0,1,0,0,0,0,0
#mauer,1,0,0,1,0,0,0,0
#mauerbau,1,0,0,1,0,0,0,0
#mauerfall,1,0,0,1,0,0,0,0
#mit,1,0,0,0,1,0,0,0
#politik,1,0,1,0,0,0,0,0
#mitte,1,0,0,1,0,0,0,0
#moria,1,1,0,0,0,0,0,0
#neubauer,1,0,1,0,0,0,0,0
#niewiedercdu,1,1,0,0,0,0,0,0
#niewiederkrieg,1,1,0,0,0,0,0,0
#noafd,1,1,0,0,0,0,0,0
#noect,1,1,0,0,0,0,0,0
#nopushbacks,1,1,0,0,0,0,0,0
#podcast,1,1,0,0,0,0,0,0
#niewiederfaschismus,1,1,0,0,0,0,0,0
#slowik,1,0,1,0,0,0,0,0
#screening,1,0,0,1,0,0,0,0
#washingtondc,1,0,0,1,0,0,0,0
#usaelections2020,1,0,0,1,0,0,0,0
#vaccine4all,1,1,0,0,0,0,0,0
#vdl,1,0,1,0,0,0,0,0
#verfassungsgericht,1,0,1,0,0,0,0,0
#verhuellungsverbot,1,0,1,0,0,0,0,0
#verschwörungstheorien,1,0,1,0,0,0,0,0
#vertragsbruch,1,0,1,0,0,0,0,0
#volksentscheide,1,1,0,0,0,0,0,0
#volksinitiative,1,1,0,0,0,0,0,0
#wales,1,1,0,0,0,0,0,0
#wasserstoff,1,0,0,0,0,1,0,0
#selbsttest,1,0,0,1,0,0,0,0
#wegmitfrontex,1,1,0,0,0,0,0,0
#welt,1,0,1,0,0,0,0,0
#weltfrauentag2021,1,0,1,0,0,0,0,0
#wiederaufbaufonds,1,0,1,0,0,0,0,0
#wirtschaft,1,0,1,0,0,0,0,0
#wissa,1,0,0,1,0,0,0,0
#wohnraumschutz,1,1,0,0,0,0,0,0
#youtube,1,1,0,0,0,0,0,0
#öpnv,1,0,0,1,0,0,0,0
#überall,1,0,0,1,0,0,0,0
#usa,1,0,0,1,0,0,0,0
#ukraine,1,0,1,0,0,0,0,0
#ubahn,1,1,0,0,0,0,0,0
#trump,1,0,0,1,0,0,0,0
#selbsttesten,1,0,0,1,0,0,0,0
#sloweniens,1,0,0,1,0,0,0,0
#laschetkannsnicht,1,0,1,0,0,0,0,0
#solidarität,1,1,0,0,0,0,0,0
#spahn,1,0,0,0,0,0,1,0
#spd,1,1,0,0,0,0,0,0
#spotify,1,1,0,0,0,0,0,0
#sprechstunde,1,1,0,0,0,0,0,0
#srebrenica,1,0,0,1,0,0,0,0
#stadtvonunten,1,1,0,0,0,0,0,0
#steglitz,1,0,0,1,0,0,0,0
#stopclimatekillertreaty,1,1,0,0,0,0,0,0
#stromnetz,1,1,0,0,0,0,0,0
#tagderarbeit,1,0,0,1,0,0,0,0
#tagdessieges,1,1,0,0,0,0,0,0
#taliban,1,1,0,0,0,0,0,0
#tempelhof,1,1,0,0,0,0,0,0
#testpflicht,1,0,1,0,0,0,0,0
#thf100,1,1,0,0,0,0,0,0
#thxeurope,1,0,0,1,0,0,0,0
#triell,1,0,1,0,0,0,0,0
#laschetlasset,1,0,1,0,0,0,0,0
#industrie,1,0,1,0,0,0,0,0
#landesverfassung,1,1,0,0,0,0,0,0
#bundesverfassungsgericht,1,0,1,0,0,0,0,0
#bverfg,1,0,1,0,0,0,0,0
#capitol,1,0,0,1,0,0,0,0
#cdu,1,1,0,0,0,0,0,0
#cdunwaehlbar,1,1,0,0,0,0,0,0
#ciz,1,0,0,0,1,0,0,0
#covid19,1,0,1,0,0,0,0,0
#covidー19,1,0,1,0,0,0,0,0
#datenpolitik,1,1,0,0,0,0,0,0
#demokratie,1,0,0,1,0,0,0,0
#deutschlandabernormal,1,0,1,0,0,0,0,0
#deutschlandfunk,1,0,1,0,0,0,0,0
#dexit,1,0,1,0,0,0,0,0
#dielinke,1,1,0,0,0,0,0,0
#dldk12,1,0,0,1,0,0,0,0
#donbass,1,0,1,0,0,0,0,0
#dorkypark,1,0,0,1,0,0,0,0
#dsa,1,1,0,0,0,0,0,0
#ect,1,1,0,0,0,0,0,0
#efre,1,0,0,1,0,0,0,0
#energiewende,1,0,1,0,0,0,0,0
#erasmus,1,1,0,0,0,0,0,0
#burkaverbot,1,0,1,0,0,0,0,0
#bundesregierung,1,1,0,0,0,0,0,0
#käfighaltung,1,1,0,0,0,0,0,0
#btwahl2021,1,0,1,0,0,0,0,0
