hashtag,total,LINKE,AFD,GRUENE,SPD,FDP,CDUCSU,OTHER
europa,149,34,28,54,10,9,13,1
eu,134,20,68,20,12,13,1,0
ich,70,11,14,27,4,6,8,0
berlin,53,16,6,17,8,4,1,1
deutschland,35,3,19,5,1,4,3,0
und,26,6,9,6,1,2,2,0
agh,21,14,0,3,2,2,0,0
deutsch,19,1,10,1,1,1,5,0
mein,16,3,5,4,1,0,3,0
verfassung,14,5,1,3,4,1,0,0
jahr,12,3,3,2,2,1,1,0
heute,12,2,1,7,2,0,0,0
corona,11,0,4,5,1,0,1,0
mensch,11,3,2,4,0,0,2,0
impfstoff,10,2,2,2,1,1,2,0
aktuellestunde,10,10,0,0,0,0,0,0
thema,10,3,1,4,0,2,0,0
stadt,10,2,1,6,0,1,0,0
weg,10,1,2,5,0,1,0,1
brexit,10,1,2,5,0,2,0,0
europäische,10,3,1,2,1,0,3,0
ts,10,10,0,0,0,0,0,0
plenum,10,9,0,0,1,0,0,0
brauchen,9,1,4,2,1,0,1,0
kommission,9,1,6,1,1,0,0,0
leben,9,2,1,3,0,0,3,0
lassen,9,2,4,1,1,1,0,0
europäisch,9,4,1,2,1,1,0,0
wichtig,9,3,0,3,0,2,1,0
berliner,9,2,0,5,2,0,0,0
jetzt,9,2,2,2,1,2,0,0
million,9,2,5,0,1,0,1,0
land,8,1,1,1,1,3,1,0
werten,8,5,1,1,0,1,0,0
welt,8,3,3,1,0,0,1,0
stehen,8,2,2,2,0,2,0,0
reden,8,1,0,4,1,1,1,0
in,8,0,2,4,1,0,1,0
so,7,0,4,2,0,1,0,0
ungarn,7,0,5,1,0,1,0,0
im,7,0,2,3,2,0,0,0
klaren,7,1,2,2,0,2,0,0
grün,7,0,2,4,0,0,1,0
stark,7,0,1,5,0,1,0,0
groß,7,4,1,1,0,0,1,0
frage,7,0,0,4,0,1,2,0
botschafter,6,0,0,4,1,1,0,0
pol,6,0,2,2,0,2,0,0
zukunft,6,2,1,2,0,1,0,0
gedenken,6,3,0,2,0,0,1,0
identität,6,1,0,0,0,0,5,0
kriegen,6,1,3,2,0,0,0,0
deutsche,6,1,5,0,0,0,0,0
illegale,6,0,6,0,0,0,0,0
teilen,6,1,1,1,1,0,2,0
bekommen,6,3,1,1,1,0,0,0
aber,6,0,1,4,0,0,1,0
tausende,6,0,5,1,0,0,0,0
was,6,2,0,4,0,0,0,0
tagen,6,3,0,1,0,1,1,0
danken,6,2,0,3,0,1,0,0
bund,6,0,0,2,3,0,1,0
bosnien,6,0,5,1,0,0,0,0
kind,6,0,4,1,0,1,0,0
ausschuss,6,0,0,6,0,0,0,0
eurobundmedien,6,2,0,4,0,0,0,0
aufnehmen,6,2,1,2,1,0,0,0
ratspräsidentschaft,6,0,0,3,1,2,0,0
sein,6,0,3,1,0,1,1,0
für,6,2,1,3,0,0,0,0
mit,6,1,1,3,1,0,0,0
mann,6,0,4,2,0,0,0,0
the,5,0,0,1,0,4,0,0
am,5,0,1,2,0,0,2,0
ebene,5,2,1,1,1,0,0,0
zeigen,5,0,2,3,0,0,0,0
nato,5,2,3,0,0,0,0,0
sprechen,5,1,1,3,0,0,0,0
bleiben,5,2,2,0,0,1,0,0
antrag,5,2,0,2,1,0,0,0
grüne,5,1,1,2,1,0,0,0
stellen,5,0,0,4,0,0,1,0
finden,5,0,0,3,0,0,2,0
nehmen,5,1,2,0,2,0,0,0
schaffen,5,0,1,2,0,1,1,0
gt,5,1,2,2,0,0,0,0
bundesregierung,5,1,1,1,1,1,0,0
eigentlich,5,0,4,1,0,0,0,0
innen,5,3,0,2,0,0,0,0
pandemie,5,0,1,2,1,0,1,0
menschenrechte,5,1,0,4,0,0,0,0
debatte,5,1,0,3,0,1,0,0
regierung,5,1,3,0,0,1,0,0
afghanistan,5,1,3,0,0,1,0,0
friede,5,0,2,2,0,0,1,0
sozial,5,2,1,1,0,1,0,0
geld,5,0,3,2,0,0,0,0
mal,5,1,3,0,1,0,0,0
vertrauen,5,1,2,0,1,0,1,0
afd,5,1,4,0,0,0,0,0
cdu,5,2,2,0,1,0,0,0
enden,5,3,2,0,0,0,0,0
problem,4,1,2,0,0,1,0,0
initiative,4,1,1,1,0,1,0,0
verfassungsänderung,4,3,0,1,0,0,0,0
setzen,4,1,1,0,0,2,0,0
covid,4,1,0,2,0,0,1,0
deutlich,4,0,0,1,0,0,3,0
zielen,4,0,0,2,2,0,0,0
richtung,4,0,2,1,0,1,0,0
erinnern,4,1,0,1,1,1,0,0
bihac,4,0,4,0,0,0,0,0
landesverfassung,4,4,0,0,0,0,0,0
bekenntnis,4,1,0,1,2,0,0,0
verlassen,4,0,4,0,0,0,0,0
impfstoffbeschaffung,4,0,1,0,2,1,0,0
tor,4,0,4,0,0,0,0,0
dieses,4,0,2,1,0,0,0,1
auch,4,1,1,2,0,0,0,0
portugal,4,0,0,3,1,0,0,0
unterstützen,4,2,1,0,0,1,0,0
lang,4,0,1,1,1,1,0,0
ein,4,0,0,3,0,0,0,1
österreich,4,0,0,4,0,0,0,0
rot,4,0,0,2,2,0,0,0
auftrag,4,1,0,3,0,0,0,0
migranten,4,0,4,0,0,0,0,0
eurobundmed,4,0,0,3,0,1,0,0
demokratie,4,1,1,2,0,0,0,0
interesse,4,1,2,0,0,0,1,0
grenzen,4,1,2,1,0,0,0,0
staat,4,0,2,0,1,0,1,0
jed,4,1,1,0,0,1,1,0
staaten,4,0,1,2,0,1,0,0
afghane,4,0,4,0,0,0,0,0
fordern,4,1,3,0,0,0,0,0
türkei,4,1,3,0,0,0,0,0
krise,4,1,1,2,0,0,0,0
positiv,4,1,0,2,0,0,1,0
anhörung,4,2,0,2,0,0,0,0
erdogan,4,2,2,0,0,0,0,0
you,4,2,1,0,0,1,0,0
warten,4,0,3,0,1,0,0,0
also,4,2,1,1,0,0,0,0
schicksal,4,0,0,0,0,0,4,0
illegal,4,1,3,0,0,0,0,0
politik,4,0,1,2,1,0,0,0
hoch,4,1,2,1,0,0,0,0
deal,4,3,0,1,0,0,0,0
wenn,3,1,1,0,0,1,0,0
raum,3,0,3,0,0,0,0,0
komplett,3,0,2,1,0,0,0,0
bedingung,3,1,0,1,0,1,0,0
offen,3,1,0,0,1,0,1,0
volk,3,0,3,0,0,0,0,0
ausschließen,3,0,1,1,0,1,0,0
konferenz,3,0,0,2,0,1,0,0
of,3,0,0,0,0,3,0,0
organisieren,3,0,0,2,0,1,0,0
erfolgen,3,1,0,1,0,0,1,0
bedrohen,3,2,1,0,0,0,0,0
verwaltung,3,1,0,1,0,1,0,0
