,all_tweets,AFD,CDUCSU,FDP,GRUENE,LINKE,OTHER,SPD,AFD - norm,CDUCSU - norm,FDP - norm,GRUENE - norm,LINKE - norm,OTHER - norm,SPD - norm
2021-01-01,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2021-01-02,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2021-01-03,88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2021-01-04,92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2021-01-05,138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2021-01-06,226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2021-01-07,187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2021-01-08,171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2021-01-09,153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2021-01-10,111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2021-01-11,162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2021-01-12,212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2021-01-13,194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2021-01-14,224,0.6428571428571429,0.7857142857142857,0.5714285714285714,1.2142857142857142,0.7142857142857143,0.0,0.07142857142857142,0.026815575728619208,0.05747427175998605,0.04104638747495891,0.03222107457508908,0.01864209796178237,0.0,0.023809523809523808
2021-01-15,181,0.6428571428571429,0.7857142857142857,0.5714285714285714,1.0714285714285714,0.7142857142857143,0.0,0.07142857142857142,0.026815575728619208,0.05747427175998605,0.04104638747495891,0.025078217432231938,0.01864209796178237,0.0,0.023809523809523808
2021-01-16,408,0.6428571428571429,0.7857142857142857,0.5714285714285714,1.2857142857142858,0.7142857142857143,0.0,0.07142857142857142,0.026815575728619208,0.05747427175998605,0.04104638747495891,0.027211037773483195,0.012932671333988396,0.0,0.023809523809523808
2021-01-17,105,0.5714285714285714,0.7857142857142857,0.5714285714285714,1.2857142857142858,0.7142857142857143,0.0,0.0,0.02370998566650741,0.05747427175998605,0.04104638747495891,0.027211037773483195,0.012932671333988396,0.0,0.0
2021-01-18,157,0.5714285714285714,0.7857142857142857,0.5714285714285714,1.1428571428571428,0.7142857142857143,0.0,0.0,0.024175824175824177,0.05747427175998605,0.04104638747495891,0.02324278380522923,0.009699912713298741,0.0,0.0
2021-01-19,133,0.5714285714285714,0.7857142857142857,0.5714285714285714,1.1428571428571428,0.7142857142857143,0.0,0.0,0.024175824175824177,0.05747427175998605,0.03594434665863238,0.023726576741852357,0.009699912713298741,0.0,0.0
2021-01-20,201,0.42857142857142855,0.6428571428571429,0.5,1.2142857142857142,0.7142857142857143,0.0,0.0,0.019711538461538464,0.046485260770975055,0.033298844013129734,0.02484803981983717,0.009699912713298741,0.0,0.0
