hashtag,total,LINKE,AFD,GRUENE,SPD,FDP,CDUCSU,OTHER
kind,539,146,85,213,34,34,26,1
ich,249,80,9,101,17,24,17,1
eltern,140,60,4,39,10,12,15,0
kita,94,25,3,49,7,7,3,0
mein,93,41,27,18,2,3,2,0
berlin,76,11,8,32,11,3,11,0
schule,75,21,8,26,6,3,11,0
corona,59,7,8,34,3,0,7,0
jugendliche,59,12,1,38,4,3,1,0
schulen,56,25,0,21,3,5,2,0
innen,52,32,0,19,1,0,0,0
und,48,23,4,13,1,5,2,0
brauchen,43,17,1,20,2,3,0,0
aber,39,8,3,23,1,1,3,0
familie,36,8,1,22,1,3,1,0
mal,35,18,0,12,3,2,0,0
impfen,34,9,2,16,5,2,0,0
schüler,32,20,3,4,1,3,1,0
berliner,29,4,6,13,4,2,0,0
mensch,28,8,0,18,1,0,1,0
jahr,27,7,2,14,1,0,3,0
in,26,5,3,13,1,0,4,0
lassen,25,7,2,10,2,2,2,0
für,24,5,3,11,1,2,2,0
woche,24,11,2,8,1,1,1,0
kinder,24,8,1,13,0,0,2,0
heute,23,10,3,5,3,1,1,0
sich,23,12,3,5,1,0,2,0
wenn,22,12,0,4,1,3,2,0
testen,22,6,2,13,0,0,1,0
zeit,21,7,0,7,2,4,1,0
frau,21,5,4,10,2,0,0,0
wie,21,5,5,6,2,2,1,0
frage,20,9,2,6,1,2,0,0
bekommen,20,5,2,10,1,2,0,0
schnelltests,20,0,0,16,2,1,1,0
so,20,6,1,10,1,0,2,0
gut,19,5,0,11,1,1,1,0
stehen,19,6,0,5,2,5,1,0
deutschland,19,2,13,2,0,2,0,0
hausen,19,9,0,5,1,4,0,0
finden,19,5,1,6,1,5,1,0
was,19,4,3,8,1,2,1,0
versuchskaninchen,18,0,18,0,0,0,0,0
lockdown,18,1,3,7,1,1,5,0
sport,18,4,1,12,0,1,0,0
sehen,18,5,2,7,0,1,3,0
test,18,8,0,7,3,0,0,0
einfach,17,5,1,7,1,2,1,0
sein,17,3,1,10,0,0,3,0
pandemie,17,4,0,9,1,2,1,0
leben,17,2,5,7,1,1,1,0
bleiben,17,7,4,4,1,1,0,0
geben,16,4,1,10,0,0,1,0
viel,16,4,1,11,0,0,0,0
senat,16,1,2,6,1,0,6,0
bildung,16,3,3,6,0,3,1,0
zukunft,16,2,4,6,0,1,3,0
lehrer,15,1,2,3,0,2,7,0
jetzt,15,2,3,6,3,0,1,0
schnellen,15,4,2,7,1,1,0,0
nehmen,15,1,0,7,1,3,3,0
recht,14,1,2,9,1,1,0,0
wichtig,14,2,0,9,0,1,2,0
mit,14,4,0,8,0,2,0,0
cdu,14,1,3,6,1,0,3,0
12,14,7,1,3,2,1,0,0
öffnen,14,3,1,4,2,2,2,0
im,13,3,0,4,3,2,1,0
bei,13,3,1,6,1,2,0,0
danken,13,6,0,6,1,0,0,0
da,13,2,0,7,2,1,1,0
covid19,13,1,7,3,2,0,0,0
land,13,2,3,6,1,0,1,0
auch,13,4,1,7,0,1,0,0
stellen,13,5,1,5,0,1,1,0
meine,13,2,0,7,1,1,2,0
fordern,13,3,1,5,0,2,2,0
also,12,2,4,5,0,1,0,0
lösung,12,5,1,1,0,4,1,0
genau,12,1,1,7,0,3,0,0
