hashtag,total,LINKE,AFD,GRUENE,SPD,FDP,CDUCSU,OTHER
#freiheit,29,6,7,13,1,0,2,0
#berlin,25,3,14,5,3,0,0,0
#corona,12,2,7,3,0,0,0,0
#covid19,8,0,8,0,0,0,0,0
#afd,8,0,8,0,0,0,0,0
#agh,8,5,2,0,0,1,0,0
#marzahn,7,0,7,0,0,0,0,0
#lockdown,6,0,6,0,0,0,0,0
#coronavirus,5,0,5,0,0,0,0,0
#demokratie,4,0,0,4,0,0,0,0
#klimaschutz,4,0,0,4,0,0,0,0
#fdp,4,4,0,0,0,0,0,0
#impfpflicht,4,1,3,0,0,0,0,0
#plenum,3,3,0,0,0,0,0,0
#vielzutun,3,0,0,0,0,3,0,0
#bpt21,3,0,0,0,0,3,0,0
#b1302,3,0,3,0,0,0,0,0
#triell,2,0,1,1,0,0,0,0
#covidー19,2,0,1,1,0,0,0,0
#priorität,2,2,0,0,0,0,0,0
#crypto,2,0,2,0,0,0,0,0
#grüne,2,0,2,0,0,0,0,0
#deutschland,2,0,2,0,0,0,0,0
#gruenen,2,0,2,0,0,0,0,0
#steglitz,2,1,0,1,0,0,0,0
#r2g,2,1,0,1,0,0,0,0
#eigentum,2,0,1,0,0,0,1,0
#frieden,2,1,0,1,0,0,0,0
#impfen,2,0,0,2,0,0,0,0
#spd,2,0,2,0,0,0,0,0
#impfung,2,0,2,0,0,0,0,0
#versammlungsfreiheitsgesetz,2,2,0,0,0,0,0,0
#impfzwang,2,0,2,0,0,0,0,0
#linkelpt,2,2,0,0,0,0,0,0
#ausgangssperre,2,0,1,0,1,0,0,0
#afghanistan,2,1,0,0,0,0,1,0
#lockerungen,2,0,2,0,0,0,0,0
#maskenpflicht,2,0,1,1,0,0,0,0
#60jahremauerbau,2,1,0,1,0,0,0,0
#schnelltests,1,0,0,1,0,0,0,0
#s1704,1,0,1,0,0,0,0,0
#querdenkern,1,0,1,0,0,0,0,0
#scholz,1,0,1,0,0,0,0,0
#rechtsstaat,1,0,0,1,0,0,0,0
#recht,1,0,1,0,0,0,0,0
#sed,1,0,0,1,0,0,0,0
#mauerfall,1,0,0,1,0,0,0,0
#sehnsucht,1,0,0,0,1,0,0,0
#mauer,1,0,0,1,0,0,0,0
#merkel,1,0,1,0,0,0,0,0
#querdenker,1,0,0,1,0,0,0,0
#mns,1,0,0,1,0,0,0,0
#niewiederfaschismus,1,1,0,0,0,0,0,0
#niewiederkrieg,1,1,0,0,0,0,0,0
#politik,1,0,1,0,0,0,0,0
#nineeleven,1,0,0,1,0,0,0,0
#nocovid,1,0,1,0,0,0,0,0
#pokemongo,1,0,1,0,0,0,0,0
#nurnochafd,1,0,1,0,0,0,0,0
#ortskräfte,1,1,0,0,0,0,0,0
#pandemie,1,1,0,0,0,0,0,0
#ots,1,0,1,0,0,0,0,0
#selbstbestimmung,1,0,0,1,0,0,0,0
#osterlockdown,1,0,1,0,0,0,0,0
#150jahrevaterland,1,0,1,0,0,0,0,0
#selbsttests,1,0,0,1,0,0,0,0
#wagin,1,0,0,1,0,0,0,0
#unternehmen,1,0,1,0,0,0,0,0
#urbanität,1,1,0,0,0,0,0,0
#urbantechrepublic,1,0,0,1,0,0,0,0
#vaccine,1,0,1,0,0,0,0,0
#verfassungsschutz,1,0,1,0,0,0,0,0
#versammlungsfreiheit,1,1,0,0,0,0,0,0
#versammlungsrecht,1,1,0,0,0,0,0,0
#volksaufstand,1,0,0,1,0,0,0,0
#westandwithisrael,1,0,0,0,0,1,0,0
#september11,1,0,0,1,0,0,0,0
#wirmachenauf,1,0,1,0,0,0,0,0
#wissforscha,1,0,0,0,0,1,0,0
#zehlendorf,1,1,0,0,0,0,0,0
#zib1,1,0,1,0,0,0,0,0
#zukunft,1,0,0,0,1,0,0,0
#zukunftberlintxl,1,0,0,1,0,0,0,0
#zukunftholen,1,0,0,0,0,1,0,0
#zukunftsorte,1,0,0,1,0,0,0,0
#ungeimpfte,1,0,1,0,0,0,0,0
#uefa,1,0,0,1,0,0,0,0
#türkei,1,1,0,0,0,0,0,0
#txl,1,0,0,0,1,0,0,0
