hashtag,total,LINKE,AFD,GRUENE,SPD,FDP,CDUCSU,OTHER
#gender,9,2,5,2,0,0,0,0.0
#queer,5,0,0,5,0,0,0,0.0
#berlin,4,0,0,2,1,0,1,0.0
#zdf,3,0,3,0,0,0,0,0.0
#uefa,3,0,0,2,0,0,1,0.0
#wuerzburg,3,0,3,0,0,0,0,0.0
#mahe,3,0,0,3,0,0,0,0.0
#toleranz,2,0,0,1,1,0,0,0.0
#gleichberechtigung,2,0,0,2,0,0,0,0.0
#gendergaga,2,0,2,0,0,0,0,0.0
#lockdown,2,0,2,0,0,0,0,0.0
#neuer,2,0,2,0,0,0,0,0.0
#afd,2,0,2,0,0,0,0,0.0
#wien,2,0,2,0,0,0,0,0.0
#wissa,2,2,0,0,0,0,0,0.0
#lsbtiq,2,0,0,2,0,0,0,0.0
#afghanistan,2,0,2,0,0,0,0,0.0
#frauenquote,2,0,1,1,0,0,0,0.0
#pride,2,0,0,1,0,0,1,0.0
#regenbogen,1,0,0,1,0,0,0,0.0
#rassismus,1,1,0,0,0,0,0,0.0
#r2g,1,0,0,1,0,0,0,0.0
#queerrights,1,0,0,1,0,0,0,0.0
#queeresolidarität,1,0,0,1,0,0,0,0.0
#abendschau,1,0,0,0,1,0,0,0.0
#polizei,1,0,1,0,0,0,0,0.0
#polis,1,1,0,0,0,0,0,0.0
#plenartag,1,0,0,1,0,0,0,0.0
#regenbogenhauptstadt,1,0,0,1,0,0,0,0.0
#noafd,1,1,0,0,0,0,0,0.0
#nk,1,0,0,1,0,0,0,0.0
#niewieder,1,0,1,0,0,0,0,0.0
#navalny,1,0,1,0,0,0,0,0.0
#paradarówności,1,0,0,1,0,0,0,0.0
#sichtbarkeit,1,0,0,1,0,0,0,0.0
#sehnsuchtsortberlin,1,0,0,0,1,0,0,0.0
#verfassungsschutz,1,1,0,0,0,0,0,0.0
#zehlendorf,1,0,0,0,0,0,1,0.0
#wk7,1,0,0,0,0,0,1,0.0
#wissenschaft,1,0,1,0,0,0,0,0.0
#weltwährungsfonds,1,0,1,0,0,0,0,0.0
#weltfrauentag,1,0,0,1,0,0,0,0.0
#wasindeutschlandschiefläuft,1,0,1,0,0,0,0,0.0
#warsawpride,1,0,0,1,0,0,0,0.0
#wannsee,1,0,0,0,0,0,1,0.0
#wahlkampf2021,1,0,0,0,0,0,1,0.0
#viren,1,0,1,0,0,0,0,0.0
#tuntenspaziergang,1,0,0,1,0,0,0,0.0
#selbstbestimmung,1,0,0,1,0,0,0,0.0
#terörist,1,1,0,0,0,0,0,0.0
#taliban,1,0,1,0,0,0,0,0.0
#tagfürlesbischesichtbarkeit,1,0,0,1,0,0,0,0.0
#superspreader,1,1,0,0,0,0,0,0.0
#steuergeldverschwendung,1,0,1,0,0,0,0,0.0
#steglitz,1,0,0,0,0,0,1,0.0
#solidarität,1,0,0,1,0,0,0,0.0
#solidarisch,1,0,0,1,0,0,0,0.0
#musik,1,0,0,0,1,0,0,0.0
#selbstliebe,1,1,0,0,0,0,0,0.0
