hashtag,total,LINKE,AFD,GRUENE,SPD,FDP,CDUCSU,OTHER
brexit,10,1,2,5,0.0,2,0.0,0.0
agh,4,0,0,3,0.0,1,0.0,0.0
eu,4,0,0,2,0.0,2,0.0,0.0
the,4,0,0,0,0.0,4,0.0,0.0
botschafter,3,0,0,3,0.0,0,0.0,0.0
ratspräsidentschaft,3,0,0,2,0.0,1,0.0,0.0
jetzt,3,1,1,0,0.0,1,0.0,0.0
eurobundmed,3,0,0,2,0.0,1,0.0,0.0
of,3,0,0,0,0.0,3,0.0,0.0
covid,2,0,0,2,0.0,0,0.0,0.0
corona,2,0,1,1,0.0,0,0.0,0.0
ribeiro,2,0,0,2,0.0,0,0.0,0.0
portugal,2,0,0,2,0.0,0,0.0,0.0
priorität,2,0,0,2,0.0,0,0.0,0.0
de,2,0,0,2,0.0,0,0.0,0.0
eurobundmedien,2,1,0,1,0.0,0,0.0,0.0
gb,2,2,0,0,0.0,0,0.0,0.0
is,2,0,0,0,0.0,2,0.0,0.0
thema,2,0,1,1,0.0,0,0.0,0.0
menezes,2,0,0,2,0.0,0,0.0,0.0
anhörung,2,1,0,1,0.0,0,0.0,0.0
ausblick,2,0,0,2,0.0,0,0.0,0.0
livestream,2,0,0,2,0.0,0,0.0,0.0
erasmus,2,1,0,1,0.0,0,0.0,0.0
punkten,1,0,0,0,0.0,1,0.0,0.0
it,1,0,0,0,0.0,1,0.0,0.0
programm,1,0,0,1,0.0,0,0.0,0.0
professor,1,1,0,0,0.0,0,0.0,0.0
klima,1,0,0,0,0.0,1,0.0,0.0
klimaschutz,1,0,0,1,0.0,0,0.0,0.0
königreich,1,0,1,0,0.0,0,0.0,0.0
ministerpräsidenten,1,0,1,0,0.0,0,0.0,0.0
others,1,0,0,0,0.0,1,0.0,0.0
problem,1,1,0,0,0.0,0,0.0,0.0
muss,1,0,1,0,0.0,0,0.0,0.0
move,1,0,0,0,0.0,1,0.0,0.0
meldung,1,0,1,0,0.0,0,0.0,0.0
not,1,0,0,0,0.0,1,0.0,0.0
pandemie,1,0,1,0,0.0,0,0.0,0.0
lack,1,0,0,0,0.0,1,0.0,0.0
2020,1,0,0,0,0.0,1,0.0,0.0
rassismus,1,0,1,0,0.0,0,0.0,0.0
this,1,0,0,0,0.0,1,0.0,0.0
you,1,0,0,0,0.0,1,0.0,0.0
wüsste,1,0,0,1,0.0,0,0.0,0.0
wissenschaft,1,0,0,1,0.0,0,0.0,0.0
wissa,1,0,0,1,0.0,0,0.0,0.0
wichtig,1,0,0,0,0.0,1,0.0,0.0
who,1,0,0,0,0.0,1,0.0,0.0
what,1,0,0,0,0.0,1,0.0,0.0
wegfallend,1,1,0,0,0.0,0,0.0,0.0
verwaltung,1,0,0,1,0.0,0,0.0,0.0
versagern,1,0,1,0,0.0,0,0.0,0.0
vereinigt,1,0,1,0,0.0,0,0.0,0.0
tell,1,0,0,0,0.0,1,0.0,0.0
rechtsextremismus,1,0,1,0,0.0,0,0.0,0.0
teilnahme,1,1,0,0,0.0,0,0.0,0.0
supply,1,0,0,0,0.0,1,0.0,0.0
suffer,1,0,0,0,0.0,1,0.0,0.0
studierende,1,1,0,0,0.0,0,0.0,0.0
stattfinden,1,0,0,0,0.0,1,0.0,0.0
sich,1,0,0,1,0.0,0,0.0,0.0
sachverständiger,1,1,0,0,0.0,0,0.0,0.0
result,1,0,0,0,0.0,1,0.0,0.0
irish,1,0,0,0,0.0,1,0.0,0.0
regierende,1,0,1,0,0.0,0,0.0,0.0
regieren,1,0,1,0,0.0,0,0.0,0.0
reihen,1,0,0,0,0.0,1,0.0,0.0
heute,1,0,0,1,0.0,0,0.0,0.0
ireland,1,0,0,1,0.0,0,0.0,0.0
berichten,1,0,1,0,0.0,0,0.0,0.0
deutsch,1,0,0,0,0.0,1,0.0,0.0
dennoch,1,0,0,0,0.0,1,0.0,0.0
dannemann,1,1,0,0,0.0,0,0.0,0.0
danken,1,0,0,1,0.0,0,0.0,0.0
dankbar,1,0,1,0,0.0,0,0.0,0.0
caused,1,0,0,0,0.0,1,0.0,0.0
bürgermeister,1,0,1,0,0.0,0,0.0,0.0
by,1,0,0,0,0.0,1,0.0,0.0
brussels,1,0,0,0,0.0,1,0.0,0.0
beweisen,1,0,1,0,0.0,0,0.0,0.0
berliner,1,0,0,1,0.0,0,0.0,0.0
begegnung,1,0,0,0,0.0,1,0.0,0.0
digital,1,0,0,0,0.0,1,0.0,0.0
bedingung,1,0,0,0,0.0,1,0.0,0.0
auswirkungen,1,0,1,0,0.0,0,0.0,0.0
auswertung,1,0,0,0,0.0,1,0.0,0.0
ausschuss,1,0,0,1,0.0,0,0.0,0.0
arbeitserlaubnisse,1,1,0,0,0.0,0,0.0,0.0
