,all_tweets,AFD,CDUCSU,FDP,GRUENE,LINKE,OTHER,SPD,AFD - norm,CDUCSU - norm,FDP - norm,GRUENE - norm,LINKE - norm,OTHER - norm,SPD - norm
2021-01-01,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2021-01-02,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2021-01-03,88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2021-01-04,92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2021-01-05,138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2021-01-06,226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2021-01-07,187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2021-01-08,171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2021-01-09,153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2021-01-10,111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2021-01-11,162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2021-01-12,212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2021-01-13,194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2021-01-14,224,0.14285714285714285,0.0,0.07142857142857142,0.42857142857142855,0.5714285714285714,0.0,0.07142857142857142,0.008223684210526315,0.0,0.0035714285714285718,0.010476626548055118,0.008491552543056202,0.0,0.0071428571428571435
2021-01-15,181,0.14285714285714285,0.0,0.07142857142857142,0.6428571428571429,0.6428571428571429,0.0,0.07142857142857142,0.008223684210526315,0.0,0.0035714285714285718,0.014303157160300017,0.009643626275775098,0.0,0.0071428571428571435
2021-01-16,408,0.07142857142857142,0.0,0.07142857142857142,0.7142857142857143,0.8571428571428571,0.0,0.07142857142857142,0.004464285714285714,0.0,0.0035714285714285718,0.014094057126844013,0.010372489249536031,0.0,0.0071428571428571435
2021-01-17,105,0.14285714285714285,0.0,0.07142857142857142,0.8571428571428571,0.8571428571428571,0.0,0.07142857142857142,0.009226190476190475,0.0,0.0035714285714285718,0.019385062417849302,0.010372489249536031,0.0,0.0071428571428571435
2021-01-18,157,0.14285714285714285,0.0,0.07142857142857142,1.0714285714285714,0.8571428571428571,0.0,0.07142857142857142,0.009226190476190475,0.0,0.0035714285714285718,0.021794359470003497,0.010372489249536031,0.0,0.0071428571428571435
2021-01-19,133,0.14285714285714285,0.0,0.07142857142857142,1.2142857142857142,1.0,0.0,0.07142857142857142,0.009226190476190475,0.0,0.0035714285714285718,0.02545736313300716,0.01385680980702732,0.0,0.0071428571428571435
2021-01-20,201,0.14285714285714285,0.0,0.07142857142857142,1.1428571428571428,1.0,0.0,0.07142857142857142,0.009226190476190475,0.0,0.0035714285714285718,0.024465299640943666,0.01385680980702732,0.0,0.0071428571428571435
