,AFD,CDUCSU,FDP,GRUENE,LINKE,OTHER,SPD,AFD - norm,CDUCSU - norm,FDP - norm,GRUENE - norm,LINKE - norm,OTHER - norm,SPD - norm
2021-01-01,,,,,,,,,,,,,,
2021-01-02,,,,,,,,,,,,,,
2021-01-03,,,,,,,,,,,,,,
2021-01-04,,,,,,,,,,,,,,
2021-01-05,,,,,,,,,,,,,,
2021-01-06,,,,,,,,,,,,,,
2021-01-07,,,,,,,,,,,,,,
2021-01-08,,,,,,,,,,,,,,
2021-01-09,,,,,,,,,,,,,,
2021-01-10,,,,,,,,,,,,,,
2021-01-11,,,,,,,,,,,,,,
2021-01-12,,,,,,,,,,,,,,
2021-01-13,,,,,,,,,,,,,,
2021-01-14,,,,,,,,,,,,,,
2021-01-15,,,,,,,,,,,,,,
2021-01-16,,,,,,,,,,,,,,
2021-01-17,,,,,,,,,,,,,,
2021-01-18,,,,,,,,,,,,,,
2021-01-19,,,,,,,,,,,,,,
2021-01-20,,,,,,,,,,,,,,
2021-01-21,,,,,,,,,,,,,,
2021-01-22,,,,,,,,,,,,,,
2021-01-23,,,,,,,,,,,,,,
2021-01-24,,,,,,,,,,,,,,
2021-01-25,,,,,,,,,,,,,,
2021-01-26,,,,,,,,,,,,,,
2021-01-27,,,,,,,,,,,,,,
2021-01-28,,,,,,,,,,,,,,
2021-01-29,,,,,,,,,,,,,,
2021-01-30,,,,,,,,,,,,,,
2021-01-31,,,,,,,,,,,,,,
2021-02-01,,,,,,,,,,,,,,
2021-02-02,,,,,,,,,,,,,,
2021-02-03,,,,,,,,,,,,,,
2021-02-04,,,,,,,,,,,,,,
2021-02-05,,,,,,,,,,,,,,
2021-02-06,,,,,,,,,,,,,,
2021-02-07,,,,,,,,,,,,,,
2021-02-08,,,,,,,,,,,,,,
2021-02-09,,,,,,,,,,,,,,
2021-02-10,,,,,,,,,,,,,,
2021-02-11,,,,,,,,,,,,,,
2021-02-12,,,,,,,,,,,,,,
2021-02-13,,,,,,,,,,,,,,
2021-02-14,,,,,,,,,,,,,,
2021-02-15,,,,,,,,,,,,,,
2021-02-16,,,,,,,,,,,,,,
2021-02-17,,,,,,,,,,,,,,
2021-02-18,,,,,,,,,,,,,,
2021-02-19,,,,,,,,,,,,,,
2021-02-20,,,,,,,,,,,,,,
2021-02-21,,,,,,,,,,,,,,
2021-02-22,,,,,,,,,,,,,,
2021-02-23,,,,,,,,,,,,,,
2021-02-24,,,,,,,,,,,,,,
2021-02-25,,,,,,,,,,,,,,
2021-02-26,,,,,,,,,,,,,,
2021-02-27,,,,,,,,,,,,,,
2021-02-28,,,,,,,,,,,,,,
2021-03-01,0.2,0.03333333333333333,,1.3,0.5,,0.06666666666666667,0.011825249555512713,0.0026262626262626267,,0.025064482890587114,0.007289446924833277,,0.008371647509578545
2021-03-02,0.2,0.03333333333333333,,1.3666666666666667,0.5166666666666667,,0.06666666666666667,0.011825249555512713,0.0026262626262626267,,0.02609012391622814,0.007686272321658674,,0.008371647509578545
2021-03-03,0.18333333333333332,0.03333333333333333,,1.3833333333333333,0.5333333333333333,,0.06666666666666667,0.010948056573056576,0.0026262626262626267,,0.026041333908421737,0.00793137036087436,,0.008371647509578545
2021-03-04,0.18333333333333332,0.03333333333333333,0.1,1.4,0.5333333333333333,,0.06666666666666667,0.010948056573056576,0.0026262626262626267,0.01888888888888889,0.026374667241755072,0.00793137036087436,,0.008371647509578545
2021-03-05,0.18333333333333332,0.03333333333333333,0.1,1.3833333333333333,0.5333333333333333,,0.06666666666666667,0.010948056573056576,0.0026262626262626267,0.01888888888888889,0.025911704278792105,0.00793137036087436,,0.008371647509578545
2021-03-06,0.18333333333333332,0.03333333333333333,0.1,1.3833333333333333,0.55,,0.06666666666666667,0.010948056573056576,0.0026262626262626267,0.01888888888888889,0.025911704278792105,0.0080750485217939,,0.008371647509578545
2021-03-07,0.18333333333333332,0.03333333333333333,0.1,1.3666666666666667,0.55,,0.06666666666666667,0.010948056573056576,0.0026262626262626267,0.01888888888888889,0.025680222797310626,0.0080750485217939,,0.008371647509578545
2021-03-08,0.18333333333333332,0.03333333333333333,0.1,1.3666666666666667,0.55,,0.05,0.010948056573056576,0.0026262626262626267,0.01888888888888889,0.025680222797310626,0.0080750485217939,,0.0067049808429118785
2021-03-09,0.18333333333333332,,0.1,1.3666666666666667,0.48333333333333334,,0.05,0.010948056573056576,,0.01888888888888889,0.025680222797310626,0.007094656364931155,,0.0067049808429118785
2021-03-10,0.18333333333333332,0.03333333333333333,0.1,1.35,0.48333333333333334,,0.05,0.010948056573056576,0.0026262626262626267,0.01888888888888889,0.0252528723699602,0.007094656364931155,,0.0067049808429118785
2021-03-11,0.18333333333333332,0.03333333333333333,0.1,1.3666666666666667,0.48333333333333334,,0.05,0.010948056573056576,0.0026262626262626267,0.01888888888888889,0.025456124402480525,0.007094656364931155,,0.0067049808429118785
2021-03-12,0.18333333333333332,0.03333333333333333,0.08333333333333333,1.3666666666666667,0.45,,0.05,0.010948056573056576,0.0026262626262626267,0.018055555555555554,0.025456124402480525,0.006519943721252993,,0.0067049808429118785
2021-03-13,0.16666666666666666,0.03333333333333333,0.08333333333333333,1.3666666666666667,0.45,,0.05,0.009906389906389907,0.0026262626262626267,0.018055555555555554,0.02548919318554931,0.006519943721252993,,0.0067049808429118785
2021-03-14,0.16666666666666666,0.03333333333333333,0.08333333333333333,1.4333333333333333,0.43333333333333335,,0.05,0.009906389906389907,0.0026262626262626267,0.018055555555555554,0.02724357915046159,0.006274845682037307,,0.0067049808429118785
2021-03-15,0.16666666666666666,0.03333333333333333,0.08333333333333333,1.4666666666666666,0.4166666666666667,,0.05,0.009906389906389907,0.0026262626262626267,0.018055555555555554,0.028758730665613106,0.006093686261747453,,0.0067049808429118785
2021-03-16,0.16666666666666666,0.03333333333333333,0.08333333333333333,1.4166666666666667,0.4166666666666667,,0.08333333333333333,0.009906389906389907,0.0026262626262626267,0.018055555555555554,0.02786587352275596,0.006117266718265091,,0.008788314176245211
2021-03-17,0.16666666666666666,0.03333333333333333,0.08333333333333333,1.3833333333333333,0.36666666666666664,,0.08333333333333333,0.009906389906389907,0.0026262626262626267,0.018055555555555554,0.027319425435324268,0.005947198691054206,,0.008788314176245211
2021-03-18,0.15,0.05,0.08333333333333333,1.3666666666666667,0.36666666666666664,,0.08333333333333333,0.008795278795278798,0.004292929292929293,0.018055555555555554,0.02635808157780555,0.005947198691054206,,0.008788314176245211
2021-03-19,0.15,0.05,0.08333333333333333,1.3833333333333333,0.36666666666666664,,0.08333333333333333,0.008795278795278798,0.004292929292929293,0.018055555555555554,0.02616868763841161,0.005947198691054206,,0.008788314176245211
