hashtag,total,LINKE,AFD,GRUENE,SPD,FDP,CDUCSU,OTHER
#klimaschutz,181,30,2,141,3,0,5,0
#berlin,35,7,1,22,1,0,4,0
#klima,27,5,12,7,3,0,0,0
#r2g,18,13,0,4,1,0,0,0
#klargehtdas,18,0,0,18,0,0,0,0
#fff,17,0,13,4,0,0,0,0
#berlinforfuture,16,0,0,16,0,0,0,0
#hochwasser,16,2,6,8,0,0,0,0
#energiewende,15,1,1,12,1,0,0,0
#verkehrswende,15,1,0,14,0,0,0,0
#allesistdrin,13,0,0,13,0,0,0,0
#triell,13,1,0,12,0,0,0,0
#klimakrise,11,2,1,8,0,0,0,0
#klimakanzlerin,10,0,0,10,0,0,0,0
#corona,9,0,3,6,0,0,0,0
#linke,9,9,0,0,0,0,0,0
#cdu,8,1,0,4,0,0,3,0
#agh,8,2,2,3,0,1,0,0
#spd,8,4,0,4,0,0,0,0
#wasserstoff,7,5,0,1,0,1,0,0
#mobilität,7,1,0,5,0,0,1,0
#co2,7,1,3,3,0,0,0,0
#bereitweilihresseid,7,0,0,7,0,0,0,0
#btw21,7,4,1,2,0,0,0,0
#holzbau,7,1,0,6,0,0,0,0
#solargesetz,7,0,0,6,0,0,1,0
#klimawahl,6,0,0,6,0,0,0,0
#grüneslicht,6,0,0,6,0,0,0,0
#laschet,6,1,0,4,1,0,0,0
#klimaschutzgesetz,6,0,0,6,0,0,0,0
#klimakonferenz,6,0,0,6,0,0,0,0
#fridaysforfuture,6,0,3,3,0,0,0,0
#agh21,6,4,0,2,0,0,0,0
#mieterschutz,6,6,0,0,0,0,0,0
#gerechtigkeit,6,3,0,3,0,0,0,0
#a100,5,1,0,4,0,0,0,0
#cdurausausderregierung,5,5,0,0,0,0,0,0
#mahe,5,1,0,4,0,0,0,0
#klimawandel,5,0,1,3,0,1,0,0
#digitalisierung,5,0,0,5,0,0,0,0
#zehlendorf,4,0,0,1,0,0,3,0
#energie,4,2,0,1,1,0,0,0
#brandenburg,4,0,0,4,0,0,0,0
#steglitz,4,0,0,3,0,0,1,0
#flutkatastrophe,4,1,3,0,0,0,0,0
#mitte,4,0,0,4,0,0,0,0
#hochwasserkatastrophe,4,0,4,0,0,0,0,0
#baerbock,4,0,3,1,0,0,0,0
#groko,4,0,0,4,0,0,0,0
#scholz,4,1,1,2,0,0,0,0
#sozialegerechtigkeit,4,0,0,4,0,0,0,0
