hashtag,total,LINKE,AFD,GRUENE,SPD,FDP,CDUCSU,OTHER
#geldwäsche,12,10,1,0,0.0,0.0,1,0.0
#cumex,7,0,2,3,0.0,0.0,2,0.0
#agh,6,6,0,0,0.0,0.0,0,0.0
#berlin,6,6,0,0,0.0,0.0,0,0.0
#wirecard,4,1,0,2,0.0,0.0,1,0.0
#scholz,4,0,2,1,0.0,0.0,1,0.0
#triell,4,0,0,4,0.0,0.0,0,0.0
#fragestunde,3,3,0,0,0.0,0.0,0,0.0
#plenum,3,3,0,0,0.0,0.0,0,0.0
#spd,2,1,1,0,0.0,0.0,0,0.0
#vermögensabschöpfung,2,2,0,0,0.0,0.0,0,0.0
#recht,2,2,0,0,0.0,0.0,0,0.0
#immobilienregister,2,2,0,0,0.0,0.0,0,0.0
#steuerbetrug,1,0,0,1,0.0,0.0,0,0.0
#senat,1,1,0,0,0.0,0.0,0,0.0
#pflegekrise,1,0,0,1,0.0,0.0,0,0.0
#schwarzerfilz,1,0,0,1,0.0,0.0,0,0.0
#strache,1,0,1,0,0.0,0.0,0,0.0
#schwarzekoffer,1,1,0,0,0.0,0.0,0,0.0
#scholzschweigt,1,0,0,0,0.0,0.0,1,0.0
#roterfilz,1,0,0,1,0.0,0.0,0,0.0
#razzia,1,0,0,1,0.0,0.0,0,0.0
#r2g,1,1,0,0,0.0,0.0,0,0.0
#klimakrise,1,0,0,1,0.0,0.0,0,0.0
#mietenwahnsinn,1,1,0,0,0.0,0.0,0,0.0
#klimaschutz,1,0,0,1,0.0,0.0,0,0.0
#bargeld,1,0,1,0,0.0,0.0,0,0.0
#btw21,1,0,0,1,0.0,0.0,0,0.0
#bundesrat,1,1,0,0,0.0,0.0,0,0.0
#bverfg,1,1,0,0,0.0,0.0,0,0.0
#entfernungspauschale,1,0,1,0,0.0,0.0,0,0.0
#fehlern,1,0,0,1,0.0,0.0,0,0.0
#fiu,1,1,0,0,0.0,0.0,0,0.0
#geldwaesche,1,1,0,0,0.0,0.0,0,0.0
#gruene,1,0,0,1,0.0,0.0,0,0.0
#grüne,1,1,0,0,0.0,0.0,0,0.0
#habeck,1,0,1,0,0.0,0.0,0,0.0
#ibiza,1,0,1,0,0.0,0.0,0,0.0
#immobilien,1,1,0,0,0.0,0.0,0,0.0
#immobilienspekulation,1,1,0,0,0.0,0.0,0,0.0
#aktuelleviertelstund,1,1,0,0,0.0,0.0,0,0.0
#wohnraum,1,1,0,0,0.0,0.0,0,0.0
