hashtag,total,LINKE,AFD,GRUENE,SPD,FDP,CDUCSU,OTHER
ich,1001,213,233,259,65,71,149,11
cdu,847,273,152,220,54,43,105,0
afd,804,89,539,62,28,13,17,56
spd,710,177,137,196,99,41,60,0
berlin,706,372,120,80,43,8,75,8
grüne,537,54,143,159,85,56,40,0
linke,493,268,111,32,19,31,26,6
partei,428,135,105,83,27,31,47,0
fdp,357,144,46,76,14,66,11,0
agh,354,266,35,14,3,9,0,27
mein,286,56,84,61,18,24,38,5
und,273,88,68,50,16,26,25,0
ts,251,249,1,1,0,0,0,0
berliner,187,43,24,63,24,11,18,4
mal,182,61,30,43,14,14,18,2
wählen,179,26,88,24,14,12,15,0
grün,177,31,51,42,17,20,16,0
plenum,172,162,0,8,1,0,1,0
jahr,146,26,36,35,19,15,12,3
union,141,28,13,32,33,9,26,0
aber,129,33,24,41,8,12,11,0
innen,125,40,2,56,23,1,3,0
stehen,123,29,33,30,5,10,14,2
wer,119,17,49,22,13,11,6,1
wahl,112,26,44,22,9,5,2,4
r2,110,71,6,17,6,5,5,0
politik,109,27,34,29,9,9,1,0
heute,108,21,50,14,9,5,9,0
recht,106,75,14,7,5,1,4,0
brauchen,99,35,18,24,6,5,11,0
deutschland,96,3,66,7,4,4,9,3
mit,95,33,20,26,5,4,3,4
mensch,92,33,13,16,7,7,15,1
sehen,91,20,22,27,3,10,9,0
in,90,24,23,19,5,7,12,0
sein,90,19,26,17,8,11,7,2
corona,90,30,33,7,7,6,5,2
was,89,27,19,21,5,5,11,1
frau,89,22,18,17,20,5,6,1
geben,88,21,17,21,7,8,13,1
so,88,23,29,14,8,9,5,0
für,87,22,28,16,6,2,13,0
sich,86,16,16,29,4,5,16,0
frage,86,23,14,27,6,4,12,0
wenn,86,23,20,14,11,10,7,1
wie,85,16,32,15,4,6,10,2
thema,83,25,15,26,4,7,6,0
rot,81,17,15,16,7,6,20,0
wahlkampf,80,21,18,19,6,9,7,0
reden,79,27,22,14,6,5,4,1
da,78,19,13,17,9,3,15,2
finden,76,14,16,22,7,9,8,0
marzahn,76,10,61,1,0,0,3,1
gut,76,10,36,22,0,2,6,0
bleiben,75,19,24,13,2,3,13,1
priorität,75,69,1,3,1,1,0,0
wissen,74,23,19,16,2,5,7,2
stellen,74,24,13,14,7,6,8,2
antrag,72,36,12,9,4,4,7,0
26,71,14,39,5,7,2,4,0
fraktion,71,27,10,13,8,8,3,2
fragen,71,46,7,7,6,3,1,1
zeigen,70,9,27,9,12,6,5,2
csu,69,11,20,22,11,4,1,0
politisch,69,12,25,14,5,4,8,1
zeit,68,22,12,17,7,4,5,1
mitglied,68,4,24,7,11,4,18,0
gemeinsam,68,13,17,13,5,10,10,0
agh21,67,55,1,4,1,0,6,0
haben,66,15,13,12,14,5,7,0
klaren,66,13,13,18,10,3,9,0
land,66,9,23,13,2,7,11,1
stimmen,66,19,14,9,2,17,5,0
ein,64,14,17,18,10,0,3,2
dank,62,10,45,4,3,0,0,0
lassen,61,11,27,7,4,5,6,1
sprechen,60,21,10,19,2,2,3,3
jetzt,60,25,13,12,2,3,4,1
fordern,59,20,11,14,7,3,4,0
auch,59,20,15,10,2,8,4,0
problem,58,17,15,11,2,9,4,0
regierung,57,18,20,8,1,4,5,1
einfach,57,12,10,14,4,8,7,2
september,57,5,42,5,2,1,2,0
letzt,54,8,9,17,8,5,7,0
btw21,54,30,13,4,2,1,4,0
genau,54,10,9,19,6,4,6,0
senat,54,18,11,7,5,2,11,0
mietendeckel,53,26,6,11,5,3,2,0
giffey,53,15,12,20,2,1,3,0
mahe,52,48,2,1,1,0,0,0
leute,52,12,15,13,3,4,3,2
wichtig,52,12,9,15,8,4,3,1
eigentlich,51,15,14,15,3,0,4,0
sichern,50,16,3,10,8,5,8,0
abgeordnetenhaus,50,10,21,6,5,4,1,3
im,50,18,11,9,3,6,3,0
klimaschutz,50,15,2,23,2,3,5,0
weg,48,6,14,12,4,4,8,0
die,48,21,2,7,16,1,1,0
danken,48,15,8,18,1,1,5,0
eine,48,13,14,10,4,6,1,0
stark,47,19,10,9,6,1,1,1
laschet,47,5,20,8,13,0,1,0
sagen,47,12,13,7,3,1,11,0
bund,47,15,6,11,4,4,7,0
