hashtag,total,LINKE,AFD,GRUENE,SPD,FDP,CDUCSU,OTHER
#berlin,263,142,61,38,12,1,9,0
#agh,203,146,19,7,1,15,10,5
#r2g,130,89,7,20,3,5,6,0
#afd,106,10,86,0,1,0,3,6
#corona,98,26,27,34,1,4,6,0
#noafd,98,60,0,31,4,0,3,0
#plenum,69,67,0,1,1,0,0,0
#cdu,67,34,15,12,2,0,4,0
#marzahn,50,15,33,1,0,0,1,0
#merkel,39,1,38,0,0,0,0,0
#spd,35,12,9,10,2,0,2,0
#btw21,34,18,8,7,0,0,1,0
#linke,33,24,8,0,0,1,0,0
#mahe,32,25,1,6,0,0,0,0
#klargehtdas,32,0,0,32,0,0,0,0
#recht,32,31,1,0,0,0,0,0
#afghanistan,30,4,9,14,1,0,2,0
#demokratie,30,5,4,16,4,0,1,0
#klimaschutz,29,9,1,17,0,0,2,0
#lockdown,27,2,15,3,0,0,6,1
#mietendeckel,27,13,3,5,1,4,1,0
#covid19,24,2,16,4,2,0,0,0
#fdp,23,16,4,2,0,1,0,0
#agh21,23,14,0,9,0,0,0,0
#groko,23,9,4,10,0,0,0,0
#lichtenberg,20,10,0,7,0,1,2,0
#bundestag,20,10,8,1,1,0,0,0
#neukölln,19,0,1,18,0,0,0,0
#grüne,18,3,10,4,0,0,1,0
#priorität,18,18,0,0,0,0,0,0
#allesistdrin,17,0,0,17,0,0,0,0
#aktuellestunde,17,17,0,0,0,0,0,0
#fragestunde,16,16,0,0,0,0,0,0
#politik,16,1,4,5,4,0,2,0
#klimakrise,15,3,1,11,0,0,0,0
#ktdat,15,7,0,5,2,1,0,0
#triell,15,3,2,9,1,0,0,0
#cdurausausderregierung,14,14,0,0,0,0,0,0
#wissenschaft,13,0,0,13,0,0,0,0
#giffey,13,2,4,6,1,0,0,0
#laschet,13,0,6,6,1,0,0,0
#deutschland,13,1,12,0,0,0,0,0
#bundesregierung,12,4,4,4,0,0,0,0
#linkelpt,12,11,0,0,1,0,0,0
#vielzutun,12,0,0,1,0,11,0,0
#xhain,11,0,0,10,0,1,0,0
#abgeordnetenhaus,11,8,1,0,2,0,0,0
#verkehrswende,11,1,0,10,0,0,0,0
#kabul,11,0,5,6,0,0,0,0
#verfassungsschutz,11,3,8,0,0,0,0,0
#biesdorf,11,11,0,0,0,0,0,0
#steglitz,11,1,0,10,0,0,0,0
#kreuzberg,10,0,0,10,0,0,0,0
#ausgangssperre,10,3,3,2,1,1,0,0
#wahlkreis,10,3,0,6,0,0,1,0
#rassismus,10,4,1,5,0,0,0,0
#klimawahl,10,2,0,8,0,0,0,0
