hashtag,total,LINKE,AFD,GRUENE,SPD,FDP,CDUCSU,OTHER
merkel,214,11,169,13,5,6,5,5
baerbock,159,5,123,18,6,7,0,0
laschet,139,11,31,54,35,2,6,0
ich,122,14,52,29,17,6,3,1
scholz,95,11,21,33,21,2,7,0
söder,59,2,23,13,13,4,3,1
cdu,55,5,31,5,10,3,1,0
spahn,51,11,16,6,15,1,2,0
deutschland,49,0,42,0,2,2,2,1
und,49,2,27,9,8,2,1,0
corona,41,2,28,5,2,0,4,0
mein,40,6,26,5,1,0,1,1
grüne,37,0,28,2,5,2,0,0
triell,37,3,5,24,5,0,0,0
frau,37,2,22,4,2,6,0,1
spd,35,6,13,7,6,0,3,0
grün,35,3,22,2,6,2,0,0
berlin,34,6,14,5,4,0,5,0
regierung,34,2,25,3,2,1,0,1
mal,29,5,13,6,3,2,0,0
olaf,29,3,2,8,13,0,3,0
afd,28,1,22,0,2,0,0,3
scheuer,28,9,1,12,6,0,0,0
sein,27,4,14,6,1,1,0,1
wer,27,2,15,4,2,3,0,1
land,26,1,15,6,1,3,0,0
jahr,26,0,17,3,2,2,1,1
was,25,2,15,4,0,1,2,1
wenn,24,2,10,5,3,4,0,0
eigentlich,24,3,14,5,1,1,0,0
annalena,24,0,16,6,1,1,0,0
aber,23,2,8,8,4,1,0,0
ein,23,0,9,3,7,2,2,0
wahl,22,2,13,3,1,3,0,0
stehen,22,3,16,2,1,0,0,0
lockdown,21,0,16,2,0,0,2,1
union,21,3,4,3,8,3,0,0
geben,20,5,7,3,3,2,0,0
brauchen,20,3,8,6,1,2,0,0
armin,19,2,2,6,6,0,3,0
bundesregierung,19,0,9,7,3,0,0,0
mensch,19,2,11,3,0,1,2,0
wählen,19,2,8,2,4,3,0,0
partei,18,1,10,4,3,0,0,0
lassen,18,0,14,2,2,0,0,0
herr,18,3,5,8,1,1,0,0
sehen,17,2,10,1,2,1,1,0
deutsch,17,0,14,1,0,0,1,1
frage,17,2,7,6,1,0,1,0
können,16,1,8,4,2,0,1,0
glauben,16,1,10,3,1,1,0,0
politik,16,1,10,4,0,1,0,0
wie,16,1,11,3,0,0,1,0
reden,15,2,7,4,0,1,0,1
kein,15,0,10,4,1,0,0,0
klimaschutz,14,1,2,11,0,0,0,0
jetzt,14,4,4,3,3,0,0,0
zeigen,14,1,8,1,3,0,1,0
mit,13,3,5,1,2,0,1,1
co,13,0,8,4,1,0,0,0
16,13,1,10,0,0,1,1,0
zeit,13,0,6,5,1,0,1,0
einfach,13,1,5,3,1,1,2,0
bleiben,13,2,9,2,0,0,0,0
da,12,2,4,2,2,0,2,0
csu,12,2,7,0,2,1,0,0
via,12,3,4,1,4,0,0,0
enden,12,0,8,1,1,2,0,0
wichtig,12,1,3,5,1,0,2,0
bund,11,2,3,3,1,1,1,0
2021,11,1,7,1,2,0,0,0
angela,11,1,5,3,0,0,2,0
mann,11,0,5,4,1,0,1,0
wort,11,1,5,2,2,1,0,0
afghanistan,10,1,7,2,0,0,0,0
linke,10,5,4,0,0,1,0,0
agh,10,3,4,0,0,0,0,3
fehler,10,1,3,4,2,0,0,0
pro,10,2,5,2,0,0,1,0
wissen,10,1,7,2,0,0,0,0
recht,10,1,5,3,0,1,0,0
monat,10,2,2,0,5,1,0,0
kanzler,10,2,1,2,4,1,0,0
bürgern,10,0,9,0,0,1,0,0
deutsche,10,0,9,0,0,0,1,0
nächst,10,1,4,1,2,1,1,0
weiß,10,1,4,3,2,0,0,0
so,10,4,4,1,1,0,0,0
stellen,10,0,4,4,2,0,0,0
leute,9,0,4,1,2,2,0,0
malen,9,0,7,1,0,0,1,0
habeck,9,1,5,2,0,1,0,0
jens,9,5,1,0,2,1,0,0
leben,9,0,5,2,0,1,1,0
kanzlerin,9,0,4,1,2,2,0,0
euro,9,2,5,1,0,1,0,0
weg,9,2,5,2,0,0,0,0
klaren,9,1,1,1,2,1,3,0
sich,9,2,2,1,3,0,1,0
in,9,2,0,3,1,2,1,0
r2,9,7,0,0,1,0,1,0
impfstoff,9,2,2,0,1,0,4,0
denken,9,1,3,3,1,0,1,0
merz,9,0,7,1,1,0,0,0
grundrechte,9,0,9,0,0,0,0,0
offensichtlich,9,0,9,0,0,0,0,0
im,9,1,5,1,2,0,0,0
nicht,9,1,6,0,2,0,0,0
oder,9,0,4,4,1,0,0,0
fragen,9,2,2,3,2,0,0,0
demokratie,9,0,8,0,0,0,0,1
bild,8,0,6,0,1,0,1,0
fall,8,1,5,0,1,1,0,0
auf,8,2,4,1,1,0,0,0
kanzlerkandidaten,8,1,0,0,6,0,1,0
nehmen,8,0,5,1,2,0,0,0
falsch,8,1,5,0,0,2,0,0
wähler,8,1,1,1,5,0,0,0
schreiben,8,1,3,2,1,1,0,0
versuchen,8,0,6,1,0,0,1,0
regieren,8,0,3,1,0,4,0,0
lüge,8,0,8,0,0,0,0,0
diese,8,0,5,1,1,0,1,0
für,8,1,4,3,0,0,0,0
verantwortung,8,1,2,3,0,2,0,0
dass,8,1,4,0,2,1,0,0
ander,8,0,4,2,1,1,0,0
liegen,8,0,4,1,1,1,1,0
einzig,8,0,4,1,2,0,1,0
fordern,8,2,1,4,1,0,0,0
haben,8,0,3,3,1,0,1,0
gut,8,0,1,4,1,1,1,0
halten,8,1,5,1,0,0,0,1
krise,8,0,8,0,0,0,0,0
bei,8,1,5,1,0,1,0,0
tagen,8,0,6,2,0,0,0,0
btw21,8,1,2,3,1,0,1,0
medium,8,0,8,0,0,0,0,0
milliarde,8,0,6,0,2,0,0,0
million,8,1,5,1,0,0,1,0
von,7,0,6,0,1,0,0,0
kind,7,0,3,2,0,2,0,0
sagen,7,2,2,2,0,1,0,0
nrw,7,1,0,5,1,0,0,0
kritisieren,7,0,4,1,0,1,1,0
neu,7,0,3,3,0,1,0,0
finden,7,1,1,3,2,0,0,0
groß,7,0,5,1,1,0,0,0
