,AFD,CDUCSU,FDP,GRUENE,LINKE,OTHER,SPD,AFD - norm,CDUCSU - norm,FDP - norm,GRUENE - norm,LINKE - norm,OTHER - norm,SPD - norm
2021-01-01,,,,,,,,,,,,,,
2021-01-02,,,,,,,,,,,,,,
2021-01-03,,,,,,,,,,,,,,
2021-01-04,,,,,,,,,,,,,,
2021-01-05,,,,,,,,,,,,,,
2021-01-06,,,,,,,,,,,,,,
2021-01-07,,,,,,,,,,,,,,
2021-01-08,,,,,,,,,,,,,,
2021-01-09,,,,,,,,,,,,,,
2021-01-10,,,,,,,,,,,,,,
2021-01-11,,,,,,,,,,,,,,
2021-01-12,,,,,,,,,,,,,,
2021-01-13,,,,,,,,,,,,,,
2021-01-14,,,,,,,,,,,,,,
2021-01-15,,,,,,,,,,,,,,
2021-01-16,,,,,,,,,,,,,,
2021-01-17,,,,,,,,,,,,,,
2021-01-18,,,,,,,,,,,,,,
2021-01-19,,,,,,,,,,,,,,
2021-01-20,,,,,,,,,,,,,,
2021-01-21,,,,,,,,,,,,,,
2021-01-22,,,,,,,,,,,,,,
2021-01-23,,,,,,,,,,,,,,
2021-01-24,,,,,,,,,,,,,,
2021-01-25,,,,,,,,,,,,,,
2021-01-26,,,,,,,,,,,,,,
2021-01-27,,,,,,,,,,,,,,
2021-01-28,,,,,,,,,,,,,,
2021-01-29,,,,,,,,,,,,,,
2021-01-30,0.06666666666666667,0.13333333333333333,0.03333333333333333,0.13333333333333333,0.36666666666666664,,0.06666666666666667,0.0037373737373737376,0.0033333333333333335,0.0012345679012345679,0.0026695087400772743,0.005503571165112378,,0.0025252525252525255
2021-01-31,0.06666666666666667,0.13333333333333333,,0.13333333333333333,0.36666666666666664,,0.06666666666666667,0.0037373737373737376,0.0033333333333333335,,0.0026695087400772743,0.005503571165112378,,0.0025252525252525255
2021-02-01,0.06666666666666667,0.13333333333333333,0.03333333333333333,0.13333333333333333,0.36666666666666664,,0.06666666666666667,0.0037373737373737376,0.0033333333333333335,0.0012345679012345679,0.0026695087400772743,0.005503571165112378,,0.0025252525252525255
2021-02-02,0.06666666666666667,0.13333333333333333,0.03333333333333333,0.13333333333333333,0.36666666666666664,,0.06666666666666667,0.0037373737373737376,0.0033333333333333335,0.0012345679012345679,0.0026695087400772743,0.005503571165112378,,0.0025252525252525255
2021-02-03,0.06666666666666667,0.13333333333333333,0.03333333333333333,0.13333333333333333,0.36666666666666664,,0.06666666666666667,0.0037373737373737376,0.0033333333333333335,0.0012345679012345679,0.002753683824252359,0.005503571165112378,,0.0025252525252525255
2021-02-04,0.06666666666666667,0.13333333333333333,0.03333333333333333,0.16666666666666666,0.36666666666666664,,0.1,0.0037373737373737376,0.0033333333333333335,0.0012345679012345679,0.0036083846789532136,0.005503571165112378,,0.005089355089355089
2021-02-05,0.06666666666666667,0.13333333333333333,0.03333333333333333,0.16666666666666666,0.36666666666666664,,0.1,0.0037373737373737376,0.0033333333333333335,0.0012345679012345679,0.0036083846789532136,0.0055184255917315106,,0.005089355089355089
2021-02-06,0.06666666666666667,0.13333333333333333,0.0,0.13333333333333333,0.36666666666666664,,0.1,0.0037373737373737376,0.0033333333333333335,0.0,0.0030619365915215196,0.0055184255917315106,,0.005089355089355089
2021-02-07,0.06666666666666667,0.13333333333333333,0.0,0.13333333333333333,0.36666666666666664,,0.1,0.0037373737373737376,0.0033333333333333335,0.0,0.0030619365915215196,0.0055184255917315106,,0.005089355089355089
2021-02-08,0.06666666666666667,0.13333333333333333,0.0,0.16666666666666666,0.36666666666666664,,0.1,0.0037373737373737376,0.0033333333333333335,0.0,0.004343987873572802,0.0055184255917315106,,0.005089355089355089
2021-02-09,0.06666666666666667,0.13333333333333333,,0.2,0.4,,0.1,0.0037373737373737376,0.0033333333333333335,,0.004820178349763279,0.006073981147287066,,0.005089355089355089
2021-02-10,0.06666666666666667,0.13333333333333333,0.0,0.2,0.5,,0.1,0.0037373737373737376,0.0033333333333333335,0.0,0.004820178349763279,0.007612442685748605,,0.005089355089355089
2021-02-11,0.06666666666666667,0.13333333333333333,0.03333333333333333,0.2,0.7,,0.13333333333333333,0.0037373737373737376,0.0033333333333333335,0.0022222222222222222,0.004820178349763279,0.009051291606611915,,0.0071726884226884224
2021-02-12,0.06666666666666667,0.13333333333333333,0.03333333333333333,0.2,0.5666666666666667,,0.13333333333333333,0.0037373737373737376,0.0033333333333333335,0.0022222222222222222,0.004820178349763279,0.007090507292886424,,0.0071726884226884224
2021-02-13,0.06666666666666667,0.13333333333333333,0.03333333333333333,0.2,0.5666666666666667,,0.1,0.0037373737373737376,0.0033333333333333335,0.0022222222222222222,0.004820178349763279,0.007090507292886424,,0.006162587412587412
2021-02-14,0.06666666666666667,0.13333333333333333,,0.2,0.5666666666666667,,0.1,0.0037373737373737376,0.0033333333333333335,,0.004820178349763279,0.007090507292886424,,0.006162587412587412
2021-02-15,0.06666666666666667,0.13333333333333333,0.03333333333333333,0.2,0.5333333333333333,,0.1,0.0037373737373737376,0.0033333333333333335,0.0022222222222222222,0.004820178349763279,0.006977128608079168,,0.006162587412587412
2021-02-16,0.03333333333333333,0.13333333333333333,0.03333333333333333,0.23333333333333334,0.5333333333333333,,0.1,0.0015151515151515152,0.0033333333333333335,0.0022222222222222222,0.005186478716063645,0.006977128608079168,,0.006162587412587412
2021-02-17,0.03333333333333333,0.13333333333333333,0.03333333333333333,0.23333333333333334,0.5333333333333333,,0.1,0.0015151515151515152,0.0033333333333333335,0.0022222222222222222,0.005186478716063645,0.006977128608079168,,0.006162587412587412
2021-02-18,0.0,0.13333333333333333,0.03333333333333333,0.26666666666666666,0.5666666666666667,,0.1,0.0,0.0033333333333333335,0.0022222222222222222,0.0056559622841387625,0.007514763016681318,,0.006162587412587412
2021-02-19,0.0,0.13333333333333333,0.03333333333333333,0.26666666666666666,0.5333333333333333,,0.1,0.0,0.0033333333333333335,0.0022222222222222222,0.0056559622841387625,0.007001942503860805,,0.006162587412587412
2021-02-20,0.0,0.13333333333333333,0.03333333333333333,0.26666666666666666,0.5,,0.1,0.0,0.0033333333333333335,0.0022222222222222222,0.0056559622841387625,0.006292722645704777,,0.006162587412587412
2021-02-21,0.0,0.13333333333333333,0.06666666666666667,0.26666666666666666,0.5,,0.1,0.0,0.0033333333333333335,0.003671497584541063,0.0056559622841387625,0.006292722645704777,,0.006162587412587412
2021-02-22,0.0,0.16666666666666666,0.06666666666666667,0.26666666666666666,0.5,,0.13333333333333333,0.0,0.007037037037037037,0.003671497584541063,0.0056559622841387625,0.006292722645704777,,0.007916973377499694
2021-02-23,0.0,0.16666666666666666,0.06666666666666667,0.26666666666666666,0.4666666666666667,,0.16666666666666666,0.0,0.007037037037037037,0.003671497584541063,0.0056559622841387625,0.005181611534593665,,0.010297925758452073
