hashtag,total,LINKE,AFD,GRUENE,SPD,FDP,CDUCSU,OTHER
#berlin,47,42,1,1,2,0,1,0
#agh,43,40,0,1,1,0,0,1
#recht,21,21,0,0,0,0,0,0
#plenum,17,17,0,0,0,0,0,0
#r2g,14,11,0,2,1,0,0,0
#priorität,13,13,0,0,0,0,0,0
#cdu,8,6,1,0,0,0,1,0
#mietendeckel,8,1,3,0,0,3,1,0
#lobbyregister,6,5,0,1,0,0,0,0
#fdp,6,6,0,0,0,0,0,0
#spd,5,4,1,0,0,0,0,0
#transparenz,4,1,1,2,0,0,0,0
#solargesetz,3,2,0,1,0,0,0,0
#ichbinhanna,2,0,0,2,0,0,0,0
#mobilitätsgesetz,2,1,0,0,1,0,0,0
#grundrechte,2,2,0,0,0,0,0,0
#hundesteuer,2,2,0,0,0,0,0,0
#hundesteuerbefreiung,2,2,0,0,0,0,0,0
#lgbtq,2,1,0,0,0,0,1,0
#reichtumumverteilen,2,2,0,0,0,0,0,0
#informationsfreiheit,2,2,0,0,0,0,0,0
#solarenergie,2,1,0,1,0,0,0,0
#servicetweet,2,0,0,2,0,0,0,0
#rotradikalrealistisch,2,2,0,0,0,0,0,0
#datenschutz,2,1,0,1,0,0,0,0
#partizipation,2,2,0,0,0,0,0,0
#klimaschutz,2,0,0,2,0,0,0,0
#grünen,2,1,0,0,0,0,1,0
#bundesregierung,2,1,1,0,0,0,0,0
#wohnraum,2,2,0,0,0,0,0,0
#corona,2,1,0,1,0,0,0,0
#bildjugfam,2,0,0,2,0,0,0,0
#wissa,2,1,0,1,0,0,0,0
#versammlungsfreiheitsgesetz,2,2,0,0,0,0,0,0
#berlhg,2,0,0,1,1,0,0,0
#b0105,2,2,0,0,0,0,0,0
#armut,2,2,0,0,0,0,0,0
#bodycams,2,2,0,0,0,0,0,0
#abgeordnetenhaus,2,0,0,0,2,0,0,0
#party,1,1,0,0,0,0,0,0
#partmigg,1,0,0,1,0,0,0,0
#normenkontrolle,1,1,0,0,0,0,0,0
#wirtschaftsverkehr,1,0,0,0,0,1,0,0
#normenkontrollverfahren,1,1,0,0,0,0,0,0
#senjusva,1,1,0,0,0,0,0,0
#ruderrumreißen,1,0,0,1,0,0,0,0
#pandemie,1,0,0,1,0,0,0,0
#rigaer94,1,0,0,0,0,1,0,0
#restle,1,0,1,0,0,0,0,0
#wissenschaft,1,0,0,1,0,0,0,0
#rekomunalisierung,1,1,0,0,0,0,0,0
#wtf,1,0,0,1,0,0,0,0
#regierungserklärung,1,1,0,0,0,0,0,0
#rechtsstaat,1,1,0,0,0,0,0,0
#wk7,1,0,0,0,0,0,1,0
#wiederaufbaufonds,1,0,1,0,0,0,0,0
#wklbg4,1,1,0,0,0,0,0,0
#rassismus,1,0,0,1,0,0,0,0
#partizipationsgesetz,1,1,0,0,0,0,0,0
#quotejetzt,1,0,0,1,0,0,0,0
#wohnraumschutz,1,1,0,0,0,0,0,0
#verkehrswende,1,0,0,1,0,0,0,0
#volksentscheid,1,1,0,0,0,0,0,0
#solarpflicht,1,0,0,1,0,0,0,0
#vfg,1,1,0,0,0,0,0,0
#vergesellschaftung,1,1,0,0,0,0,0,0
#verfassungswidrig,1,0,1,0,0,0,0,0
#verbraucherschutz,1,1,0,0,0,0,0,0
#vandrey,1,0,0,0,1,0,0,0
#unternehmen,1,0,1,0,0,0,0,0
#versammlungen,1,1,0,0,0,0,0,0
#unserberlhg,1,1,0,0,0,0,0,0
#union,1,0,1,0,0,0,0,0
#uefa,1,1,0,0,0,0,0,0
#treptowköpenick,1,1,0,0,0,0,0,0
#transparenzgesetz,1,1,0,0,0,0,0,0
#versammlungsfreiheit,1,1,0,0,0,0,0,0
#transgender,1,0,0,1,0,0,0,0
#to,1,1,0,0,0,0,0,0
#tierschutz,1,0,1,0,0,0,0,0
#neutralitätsgesetz,1,1,0,0,0,0,0,0
#tesla,1,0,0,0,0,1,0,0
#tempelhoferfeld,1,0,0,1,0,0,0,0
#stromnetzes,1,1,0,0,0,0,0,0
#stophomophobia,1,0,0,0,0,0,1,0
#steinmeier,1,0,1,0,0,0,0,0
#starkefamilien,1,0,0,1,0,0,0,0
#spekulation,1,1,0,0,0,0,0,0
#spahn,1,0,1,0,0,0,0,0
#sozialismus,1,0,0,0,0,0,0,1
#sozial,1,0,1,0,0,0,0,0
#versammlungsgesetz,1,1,0,0,0,0,0,0
#nordkorea,1,1,0,0,0,0,0,0
#2g,1,1,0,0,0,0,0,0
#neustart,1,0,0,0,0,0,1,0
#frankreich,1,0,1,0,0,0,0,0
#demaiziere,1,0,1,0,0,0,0,0
#demokratie,1,1,0,0,0,0,0,0
#demonstration,1,0,1,0,0,0,0,0
#egovernment,1,0,0,1,0,0,0,0
#fiu,1,1,0,0,0,0,0,0
#fragestunde,1,1,0,0,0,0,0,0
#freiheit,1,0,1,0,0,0,0,0
#handwerk,1,1,0,0,0,0,0,0
#fußgänger,1,0,0,1,0,0,0,0
#ganzsicherberlin,1,0,0,0,1,0,0,0
#geldwäsche,1,1,0,0,0,0,0,0
#giffey,1,0,1,0,0,0,0,0
#gruene,1,0,1,0,0,0,0,0
#haldenwang,1,0,1,0,0,0,0,0
#dauerstellen,1,0,0,1,0,0,0,0
#coronavo,1,0,0,1,0,0,0,0
#cdurausausderregierung,1,1,0,0,0,0,0,0
#bundesverfassungsgericht,1,0,1,0,0,0,0,0
#bundesnotbremse,1,0,1,0,0,0,0,0
#btwahl2021,1,1,0,0,0,0,0,0
#brd,1,1,0,0,0,0,0,0
#brandschutz,1,1,0,0,0,0,0,0
#braincityberlin,1,0,0,0,1,0,0,0
#bodycam,1,1,0,0,0,0,0,0
#bewhoyouare,1,0,0,1,0,0,0,0
#berlingay,1,0,0,0,0,0,1,0
#bauaufsicht,1,1,0,0,0,0,0,0
#bafög,1,0,0,1,0,0,0,0
#airbnb,1,1,0,0,0,0,0,0
#agh21,1,1,0,0,0,0,0,0
#afd,1,0,0,0,0,0,0,1
#hanau,1,0,0,1,0,0,0,0
#happykids,1,0,0,1,0,0,0,0
#neukölln,1,0,0,1,0,0,0,0
#3k21,1,0,0,0,0,1,0,0
#korruption,1,1,0,0,0,0,0,0
#kostüm,1,0,0,0,1,0,0,0
#kottbussertor,1,0,1,0,0,0,0,0
#lindner,1,0,1,0,0,0,0,0
#linkelpt,1,1,0,0,0,0,0,0
#linken,1,0,0,0,0,0,1,0
#marktwirtschaft,1,0,1,0,0,0,0,0
#harbath,1,0,1,0,0,0,0,0
#menschenrechte,1,1,0,0,0,0,0,0
#merkel,1,0,1,0,0,0,0,0
#mietenschutzschirm,1,1,0,0,0,0,0,0
#mietenwahnsinn,1,1,0,0,0,0,0,0
#mutante,1,0,0,1,0,0,0,0
#neukoelln,1,0,0,1,0,0,0,0
#kopftuchverbot,1,1,0,0,0,0,0,0
#klimawahl,1,0,0,1,0,0,0,0
#klimapolitik,1,0,1,0,0,0,0,0
#klimakrise,1,1,0,0,0,0,0,0
#katastrophenschutz,1,0,0,0,1,0,0,0
#justiz,1,1,0,0,0,0,0,0
#ironie,1,0,0,1,0,0,0,0
#inneres,1,0,0,0,1,0,0,0
#innen,1,1,0,0,0,0,0,0
#infektionsschutzgesetz,1,1,0,0,0,0,0,0
#illner,1,0,1,0,0,0,0,0
#homophobie,1,0,0,0,0,0,1,0
#hohenschönhausen,1,0,0,0,0,0,1,0
#hochschulverträge,1,0,0,1,0,0,0,0
#hochschulen,1,0,0,1,0,0,0,0
#hatespeech,1,1,0,0,0,0,0,0
#hartziv,1,1,0,0,0,0,0,0
#zweckentfremdungsverbot,1,1,0,0,0,0,0,0
