hashtag,total,LINKE,AFD,GRUENE,SPD,FDP,CDUCSU,OTHER
#rente,2,0,2,0,0,0,0.0,0.0
#agh,1,1,0,0,0,0,0.0,0.0
#bebelplatz,1,0,0,0,1,0,0.0,0.0
#berlin,1,0,1,0,0,0,0.0,0.0
#cdurausausderregierung,1,1,0,0,0,0,0.0,0.0
#hartaberfair,1,0,1,0,0,0,0.0,0.0
#klima,1,0,1,0,0,0,0.0,0.0
#linksrutsch,1,1,0,0,0,0,0.0,0.0
#longcovidkids,1,1,0,0,0,0,0.0,0.0
#machtdaslandgerecht,1,1,0,0,0,0,0.0,0.0
#pension,1,0,1,0,0,0,0.0,0.0
#pensionslasten,1,0,1,0,0,0,0.0,0.0
#r2g,1,1,0,0,0,0,0.0,0.0
#schlagabtausch,1,0,1,0,0,0,0.0,0.0
#scholzpaktdasan,1,0,0,0,1,0,0.0,0.0
#triell,1,1,0,0,0,0,0.0,0.0
