,AFD,CDUCSU,FDP,GRUENE,LINKE,OTHER,SPD,AFD - norm,CDUCSU - norm,FDP - norm,GRUENE - norm,LINKE - norm,OTHER - norm,SPD - norm
2021-01-01,,,,,,,,,,,,,,
2021-01-02,,,,,,,,,,,,,,
2021-01-03,,,,,,,,,,,,,,
2021-01-04,,,,,,,,,,,,,,
2021-01-05,,,,,,,,,,,,,,
2021-01-06,,,,,,,,,,,,,,
2021-01-07,0.8571428571428571,0.0,0.0,0.0,0.14285714285714285,,0.0,0.03700828157349896,0.0,0.0,0.0,0.0021008403361344537,,0.0
2021-01-08,0.75,0.0,0.0,0.0,0.125,,0.0,0.03238224637681159,0.0,0.0,0.0,0.001838235294117647,,0.0
2021-01-09,0.6666666666666666,0.0,0.0,0.0,0.1111111111111111,,0.0,0.028784219001610305,0.0,0.0,0.0,0.0016339869281045752,,0.0
2021-01-10,0.8,0.0,0.0,0.0,0.2,,0.0,0.035905797101449276,0.0,0.0,0.0,0.00390961262553802,,0.0
2021-01-11,0.7272727272727273,0.0,0.0,0.09090909090909091,0.18181818181818182,0.14285714285714285,0.0,0.032641633728590254,0.0,0.0,0.0023923444976076554,0.0035541932959436543,0.047619047619047616,0.0
2021-01-12,0.6666666666666666,0.0,0.0,0.08333333333333333,0.25,,0.0,0.029921497584541063,0.0,0.0,0.0021929824561403508,0.004108350657336105,,0.0
2021-01-13,0.7692307692307693,0.0,0.0,0.07692307692307693,0.23076923076923078,,0.0,0.03531215161649944,0.0,0.0,0.0020242914979757085,0.0037923236836948657,,0.0
2021-01-14,0.7857142857142857,0.0,0.0,0.07142857142857142,0.21428571428571427,,0.07142857142857142,0.03457556935817806,0.0,0.0,0.0018796992481203006,0.003521443420573804,,0.0021645021645021645
2021-01-15,0.7333333333333333,0.0,0.0,0.13333333333333333,0.2,,0.06666666666666667,0.03227053140096618,0.0,0.0,0.002944862155388471,0.0032866805258688838,,0.00202020202020202
2021-01-16,0.6875,0.0,0.0,0.125,0.25,0.125,0.0625,0.030253623188405798,0.0,0.0,0.0027608082706766916,0.003293848027015684,0.041666666666666664,0.001893939393939394
2021-01-17,0.6470588235294118,0.0,0.0,0.17647058823529413,0.29411764705882354,,0.058823529411764705,0.028473998294970163,0.0,0.0,0.004777057021639064,0.004534812490275881,,0.0017825311942959003
2021-01-18,0.6111111111111112,0.0,0.0,0.16666666666666666,0.2777777777777778,,0.05555555555555555,0.026892109500805155,0.0,0.0,0.004511664964881338,0.004282878463038331,,0.0016835016835016836
2021-01-19,0.5789473684210527,0.0,0.0,0.15789473684210525,0.2631578947368421,,0.05263157894736842,0.02547673531655225,0.0,0.0,0.00427420891409811,0.004057463807088946,,0.001594896331738437
2021-01-20,0.55,0.0,0.0,0.15,0.25,,0.05,0.02420289855072464,0.0,0.0,0.0040604984683932045,0.0038545906167344983,,0.0015151515151515152
2021-01-21,0.5238095238095238,0.0,0.0,0.14285714285714285,0.23809523809523808,,0.09523809523809523,0.023050379572118702,0.0,0.0,0.0038671413984697187,0.003671038682604284,,0.005411255411255411
2021-01-22,0.5,0.0,0.0,0.13636363636363635,0.22727272727272727,,0.13636363636363635,0.022002635046113307,0.0,0.0,0.0036913622439938222,0.003504173287940453,,0.008006198347107439
2021-01-23,0.4782608695652174,0.0,0.0,0.13043478260869565,0.21739130434782608,,0.13043478260869565,0.021045998739760555,0.0,0.0,0.003530868233385395,0.003351817927595216,,0.007658102766798419
2021-01-24,0.4583333333333333,0.0,0.0,0.125,0.20833333333333334,0.1111111111111111,0.20833333333333334,0.020169082125603865,0.0,0.0,0.0033837487236610037,0.0032121588472787486,0.037037037037037035,0.013749271561771562
2021-01-25,0.44,0.0,0.0,0.36,0.4,,0.24,0.01936231884057971,0.0,0.0,0.008829794123551773,0.004901854311569417,,0.016276223776223776
2021-01-26,0.4230769230769231,0.0,0.0,0.34615384615384615,0.38461538461538464,0.3,0.23076923076923078,0.018617614269788182,0.0,0.0,0.00849018665726132,0.004713321453432132,0.1,0.01565021516944594
2021-01-27,0.4074074074074074,0.0,0.0,0.3333333333333333,0.37037037037037035,,0.2222222222222222,0.017928073000536768,0.0,0.0,0.008175735299584975,0.004538753992193905,,0.015070577570577571
2021-01-28,0.39285714285714285,0.0,0.0,0.32142857142857145,0.35714285714285715,0.2727272727272727,0.21428571428571427,0.01728778467908903,0.0,0.0,0.007883744753171227,0.004376655635329837,0.09090909090909091,0.014532342657342658
2021-01-29,0.3793103448275862,0.0,0.0,0.3793103448275862,0.3448275862068966,,0.20689655172413793,0.016691654172913545,0.0,0.0,0.00837817501072471,0.004225736475490877,,0.01403122739329636
2021-01-30,0.36666666666666664,0.0,0.0,0.36666666666666664,0.3333333333333333,0.25,0.2,0.01613526570048309,0.0,0.0,0.008098902510367219,0.004084878592974514,0.08333333333333333,0.013563519813519814
2021-01-31,0.3870967741935484,0.0,,0.3548387096774194,0.3225806451612903,0.23076923076923078,0.1935483870967742,0.018302945301542778,0.0,,0.007837647590677952,0.003953108315781788,0.07692307692307693,0.013125986916309498
2021-02-01,0.375,0.0,0.0,0.34375,0.3125,,0.1875,0.017730978260869567,0.0,0.0,0.007592721103469267,0.003829573680913607,,0.012715799825174826
2021-02-02,0.3939393939393939,0.0,0.0,0.3333333333333333,0.30303030303030304,,0.18181818181818182,0.018636677332329505,0.0,0.0,0.007362638645788381,0.0037135259936131944,,0.012330472557745286
2021-02-03,0.38235294117647056,0.0,0.0,0.3235294117647059,0.29411764705882354,,0.17647058823529413,0.01808853976373158,0.0,0.0,0.007146090450324016,0.003604304640859865,,0.011967811600164541
2021-02-04,0.37142857142857144,0.0,0.0,0.37142857142857144,0.2857142857142857,,0.17142857142857143,0.017571724341910677,0.0,0.0,0.008407117902659082,0.003501324508263869,,0.011625874125874127
2021-02-05,0.3611111111111111,0.0,0.0,0.3611111111111111,0.2777777777777778,,0.16666666666666666,0.017083620887968713,0.0,0.0,0.00817358684980744,0.0034040654941454285,,0.011302933177933178
2021-02-06,0.35135135135135137,0.0,0.027777777777777776,0.35135135135135137,0.2702702702702703,,0.16216216216216217,0.0166219014045101,0.0,0.009259259259259259,0.007952679097109942,0.0033120637240333897,,0.010997448497448497
2021-02-07,0.34210526315789475,0.0,0.02702702702702703,0.34210526315789475,0.2894736842105263,0.21428571428571427,0.15789473684210525,0.016184482946496676,0.0,0.009009009009009009,0.007743398068238628,0.0038514705683884006,0.07142857142857142,0.010708041958041958
2021-02-08,0.3333333333333333,0.0,0.02631578947368421,0.3333333333333333,0.28205128205128205,,0.1794871794871795,0.015769496204278814,0.0,0.008771929824561403,0.007544849399822253,0.0037527149127886982,,0.011598977945131792
2021-02-09,0.325,0.0,,0.325,0.275,0.2,0.175,0.015375258799171843,0.0,,0.007356228164826696,0.0036588970399689807,0.06666666666666667,0.011309003496503498
