hashtag,total,LINKE,AFD,GRUENE,SPD,FDP,CDUCSU,OTHER
#berlin,43,21,11,1,10,0,0,0
#datenschutz,34,16,0,17,0,1,0,0
#polizei,26,10,4,2,8,0,2,0
#agh,17,16,0,0,1,0,0,0
#ktdat,15,6,0,7,2,0,0,0
#corona,9,3,4,2,0,0,0,0
#plenum,7,7,0,0,0,0,0,0
#ordnung,6,0,0,0,6,0,0,0
#r2g,6,1,4,1,0,0,0,0
#sicherheit,6,0,0,0,6,0,0,0
#1mai,5,5,0,0,0,0,0,0
#covid19,5,0,4,0,1,0,0,0
#b0105,4,0,1,2,0,1,0,0
#innen,4,4,0,0,0,0,0,0
#lucaapp,4,4,0,0,0,0,0,0
#afd,4,0,3,1,0,0,0,0
#digitalesberlin,3,0,0,3,0,0,0,0
#antifa,3,1,2,0,0,0,0,0
#geldwäsche,3,2,1,0,0,0,0,0
#querdenker,3,0,1,1,1,0,0,0
#cdu,3,3,0,0,0,0,0,0
#recht,3,3,0,0,0,0,0,0
#rigaer94,3,1,1,1,0,0,0,0
#luca,3,0,0,3,0,0,0,0
#justiz,2,0,1,0,0,0,1,0
#rigaer,2,0,2,0,0,0,0,0
#fdp,2,2,0,0,0,0,0,0
#b0506,2,2,0,0,0,0,0,0
#rassismus,2,2,0,0,0,0,0,0
#r1mb,2,0,0,2,0,0,0,0
#lockdown,2,0,2,0,0,0,0,0
#ok,2,2,0,0,0,0,0,0
#priorität,2,2,0,0,0,0,0,0
#polizeiproblem,2,2,0,0,0,0,0,0
#a100stoppen,2,2,0,0,0,0,0,0
#knispel,2,0,2,0,0,0,0,0
#poliks,2,1,0,1,0,0,0,0
#itsicherheit,2,0,0,2,0,0,0,0
#jelbi,2,0,0,0,2,0,0,0
#mietendeckel,2,1,0,0,0,1,0,0
#vfg,2,2,0,0,0,0,0,0
#dsgvo,2,0,0,2,0,0,0,0
#demo,2,0,1,0,1,0,0,0
#b1001,2,1,1,0,0,0,0,0
#stuttgart,2,0,0,2,0,0,0,0
#versammlungsfreiheitsgesetz,1,1,0,0,0,0,0,0
#totalversagen,1,0,1,0,0,0,0,0
#youtube,1,1,0,0,0,0,0,0
#plakate,1,1,0,0,0,0,0,0
#vanessagrühser,1,0,0,0,1,0,0,0
#verfassungsschutz,1,0,1,0,0,0,0,0
#viren,1,0,1,0,0,0,0,0
#zoo,1,1,0,0,0,0,0,0
#opendata,1,0,0,1,0,0,0,0
#verkehrswende,1,0,0,0,1,0,0,0
#navalny,1,0,1,0,0,0,0,0
#neukölln,1,1,0,0,0,0,0,0
#tierpark,1,1,0,0,0,0,0,0
#müggelheim,1,1,0,0,0,0,0,0
#versammlungsrecht,1,1,0,0,0,0,0,0
#mpk,1,0,0,1,0,0,0,0
#moleenbeck,1,0,1,0,0,0,0,0
#versfg,1,1,0,0,0,0,0,0
#mauerbau,1,0,1,0,0,0,0,0
#verweilverbot,1,0,1,0,0,0,0,0
#politik,1,0,0,0,0,0,1,0
#staatsanwalt,1,0,1,0,0,0,0,0
#politmackertum,1,1,0,0,0,0,0,0
#racialprofiling,1,1,0,0,0,0,0,0
#sed,1,0,1,0,0,0,0,0
#machtbüroszu,1,0,0,1,0,0,0,0
#schulgesetz,1,1,0,0,0,0,0,0
#schulen,1,0,0,1,0,0,0,0
#staatsversagen,1,0,1,0,0,0,0,0
#starkeverwaltung,1,0,0,1,0,0,0,0
#weltwährungsfonds,1,0,1,0,0,0,0,0
#reclaimyourface,1,1,0,0,0,0,0,0
#tagderbefreiung,1,1,0,0,0,0,0,0
#r94,1,0,0,0,1,0,0,0
#wilmersdorf,1,1,0,0,0,0,0,0
#wirmachenauf,1,0,1,0,0,0,0,0
#tagdesnotrufs,1,0,0,1,0,0,0,0
#weilwirdichlieben,1,0,0,1,0,0,0,0
#taser,1,1,0,0,0,0,0,0
#protest,1,0,0,0,1,0,0,0
#privacy,1,0,0,1,0,0,0,0
#terrorbekämpfung,1,0,1,0,0,0,0,0
#testzentren,1,1,0,0,0,0,0,0
#polizeiberlin,1,0,0,0,1,0,0,0
#wuerzburg,1,0,0,1,0,0,0,0
#klimaschutz,1,1,0,0,0,0,0,0
#luxemburg,1,0,1,0,0,0,0,0
#lldemo,1,1,0,0,0,0,0,0
#deutschland,1,0,1,0,0,0,0,0
#demonstration,1,0,0,0,1,0,0,0
#demokratie,1,0,0,1,0,0,0,0
#deinfreundundhelfer,1,0,0,0,1,0,0,0
#datenschutzfolgeabschätzung,1,0,0,1,0,0,0,0
#csd,1,0,1,0,0,0,0,0
#coronavirus,1,0,1,0,0,0,0,0
#coronaleugner,1,0,0,1,0,0,0,0
#clankriminalität,1,0,1,0,0,0,0,0
#chatgruppe,1,1,0,0,0,0,0,0
#cdurausausderregierung,1,1,0,0,0,0,0,0
#bundesdatenschutzgesetz,1,0,0,1,0,0,0,0
#brandschutz,1,0,1,0,0,0,0,0
#bezos,1,0,1,0,0,0,0,0
#bewegungsradius,1,0,1,0,0,0,0,0
#ber,1,1,0,0,0,0,0,0
#behrendt,1,0,1,0,0,0,0,0
#bargeld,1,0,1,0,0,0,0,0
#b2405,1,0,1,0,0,0,0,0
#b0606,1,1,0,0,0,0,0,0
#b0108,1,0,1,0,0,0,0,0
#autobrand,1,0,0,0,0,0,1,0
#asog,1,1,0,0,0,0,0,0
#ankara,1,0,1,0,0,0,0,0
#aneurerseite,1,0,0,0,0,0,1,0
#aktuellestunde,1,1,0,0,0,0,0,0
#aktuellenstunde,1,1,0,0,0,0,0,0
#abschiebung,1,1,0,0,0,0,0,0
#abgeordnetenhaus,1,0,0,0,1,0,0,0
#egovernment,1,0,0,1,0,0,0,0
#emo,1,0,0,1,0,0,0,0
#failedstate,1,0,1,0,0,0,0,0
#informationsfreiheit,1,1,0,0,0,0,0,0
#livestream,1,0,0,1,0,0,0,0
#legalitätsprinzip,1,0,0,0,1,0,0,0
#le0603,1,0,1,0,0,0,0,0
#kreuzberg,1,1,0,0,0,0,0,0
#kook,1,0,0,1,0,0,0,0
#kontaktnachverfolgung,1,0,0,1,0,0,0,0
#a100,1,1,0,0,0,0,0,0
#klima,1,0,1,0,0,0,0,0
#kassel,1,0,0,1,0,0,0,0
#isoa,1,1,0,0,0,0,0,0
#integration,1,0,0,0,0,0,1,0
#inneres,1,0,0,0,1,0,0,0
#innenausschuss,1,1,0,0,0,0,0,0
#impfzentrum,1,1,0,0,0,0,0,0
#fairerwahlkampf,1,1,0,0,0,0,0,0
#haintztrittfrauen,1,0,1,0,0,0,0,0
#grüne,1,0,1,0,0,0,0,0
#grundrechte,1,1,0,0,0,0,0,0
#gmk,1,0,0,0,1,0,0,0
#gesichtserkennung,1,1,0,0,0,0,0,0
#gender,1,0,1,0,0,0,0,0
#geisel,1,0,1,0,0,0,0,0
#geheimdiensteabschaffen,1,1,0,0,0,0,0,0
#gdp,1,0,1,0,0,0,0,0
#freiheit,1,1,0,0,0,0,0,0
#frankreichfalle,1,0,1,0,0,0,0,0
#fragestunde,1,1,0,0,0,0,0,0
#feuerwehr,1,0,1,0,0,0,0,0
#çiçek,1,1,0,0,0,0,0,0
