hashtag,total,LINKE,AFD,GRUENE,SPD,FDP,CDUCSU,OTHER
polizei,236,61,53,69,33,6,10,4
ich,97,25,7,28,23,6,8,0
berlin,88,30,21,18,18,1,0,0
datenschutz,58,21,2,26,4,1,4,0
kriminalität,46,7,9,6,23,1,0,0
berliner,37,10,8,15,2,0,2,0
organisiert,21,1,1,2,17,0,0,0
demo,19,6,2,7,2,1,1,0
innen,19,10,0,9,0,0,0,0
ts,19,19,0,0,0,0,0,0
teilen,18,6,1,4,6,1,0,0
agh,18,16,0,1,1,0,0,0
was,17,3,2,4,8,0,0,0
ktdat,15,6,0,7,2,0,0,0
stehen,15,3,0,5,6,0,1,0
sicherheit,14,2,0,2,9,1,0,0
corona,14,3,7,4,0,0,0,0
recht,14,7,2,2,2,1,0,0
cdu,13,5,0,5,1,0,2,0
bleiben,13,4,3,3,3,0,0,0
thema,13,2,0,8,3,0,0,0
inhalt,13,0,0,1,12,0,0,0
und,13,7,1,4,1,0,0,0
heute,13,1,1,7,4,0,0,0
sehen,13,4,1,5,1,1,1,0
mensch,12,2,4,4,1,0,1,0
mein,12,3,2,5,1,0,1,0
mal,12,5,1,3,2,1,0,0
jahr,12,4,2,4,0,1,1,0
gewalt,12,2,3,6,1,0,0,0
uhr,11,4,0,2,5,0,0,0
organisieren,10,3,2,3,1,1,0,0
senat,10,0,4,3,1,0,2,0
2021,9,0,2,2,5,0,0,0
hier,9,2,0,1,6,0,0,0
frage,9,2,0,6,1,0,0,0
stellen,9,4,1,3,0,1,0,0
polizist,9,3,1,1,0,1,1,2
weg,9,1,1,4,1,0,2,0
ein,8,1,2,4,1,0,0,0
afd,8,1,5,1,1,0,0,0
beschließen,8,0,0,1,7,0,0,0
sprechen,8,4,0,2,2,0,0,0
arbeit,8,1,0,6,1,0,0,0
aber,8,2,2,3,1,0,0,0
wenn,8,3,4,0,1,0,0,0
einfach,8,2,2,2,1,0,1,0
haben,8,3,1,2,2,0,0,0
plenum,8,7,0,1,0,0,0,0
ausschuss,8,4,0,3,1,0,0,0
zeigen,8,2,0,3,1,0,2,0
auch,8,6,0,1,1,0,0,0
gut,8,2,1,1,3,0,1,0
kommunikationstechnologie,8,3,0,5,0,0,0,0
person,8,2,1,2,3,0,0,0
in,8,1,3,2,1,0,1,0
finden,8,3,0,3,2,0,0,0
ort,7,0,1,4,2,0,0,0
000,7,0,2,4,1,0,0,0
so,7,2,2,1,2,0,0,0
handeln,7,3,1,0,1,0,2,0
vorwurf,7,0,0,0,6,0,1,0
straftat,7,1,3,3,0,0,0,0
abgeordnetenhaus,7,0,0,1,6,0,0,0
da,7,2,3,0,2,0,0,0
feuerwehr,7,0,2,5,0,0,0,0
ordnung,7,0,0,1,6,0,0,0
warum,7,2,2,1,2,0,0,0
fragen,7,2,1,4,0,0,0,0
mit,7,3,1,2,0,0,1,0
wichtig,7,1,0,5,1,0,0,0
asog,7,1,0,0,6,0,0,0
zuständig,7,1,1,4,1,0,0,0
lassen,6,2,2,2,0,0,0,0
innensenator,6,4,0,1,0,1,0,0
datenschutzbeauftragten,6,5,0,1,0,0,0,0
rot,6,0,2,2,2,0,0,0
schlaglichter,6,0,0,0,6,0,0,0
versammlungsrecht,6,3,0,1,2,0,0,0
tagen,6,2,0,4,0,0,0,0
schule,6,1,1,1,1,0,2,0
schützen,6,1,1,1,0,1,1,1
innenausschuss,6,1,0,5,0,0,0,0
brauchen,6,2,1,1,1,0,1,0
jetzt,6,1,0,2,3,0,0,0
tagesordnung,6,1,0,4,0,0,1,0
antwort,6,1,0,4,1,0,0,0
bericht,6,2,0,2,1,0,1,0
maßnahme,6,3,0,1,2,0,0,0
paar,6,0,0,0,6,0,0,0
gesetz,6,3,0,1,1,1,0,0
zu,6,3,0,2,0,1,0,0
enden,6,0,3,3,0,0,0,0
problem,6,3,0,2,0,1,0,0
beginnen,6,3,2,1,0,0,0,0
öffentlich,6,0,1,3,2,0,0,0
vorgehen,6,1,4,1,0,0,0,0
fall,6,2,3,1,0,0,0,0
novelle,6,0,0,0,6,0,0,0
30,6,4,0,1,0,0,1,0
r2,6,1,3,1,0,1,0,0
parken,5,1,2,2,0,0,0,0
zeit,5,1,0,3,0,1,0,0
covid19,5,0,4,0,1,0,0,0
informieren,5,1,1,0,1,0,0,2
2019,5,3,0,2,0,0,0,0
kontrollieren,5,0,4,1,0,0,0,0
angriff,5,0,0,3,2,0,0,0
freiheit,5,2,2,0,1,0,0,0
wer,5,0,3,0,2,0,0,0
mitte,5,1,0,0,0,0,0,4
nach,5,0,1,2,1,0,1,0
1mai,5,5,0,0,0,0,0,0
erstmal,5,4,0,1,0,0,0,0
scheinen,5,2,1,0,0,1,0,1
ok,5,2,0,1,2,0,0,0
stadt,5,1,2,1,0,1,0,0
kein,5,3,1,1,0,0,0,0
spd,5,0,1,4,0,0,0,0
setzen,5,1,1,1,1,0,1,0
ja,5,1,0,3,1,0,0,0
eine,5,0,2,2,0,1,0,0
sicherheitsbehörden,5,2,0,3,0,0,0,0
einsatz,5,0,0,3,0,2,0,0
justiz,5,0,2,2,0,0,1,0
job,5,2,0,1,1,0,1,0
für,5,2,0,2,1,0,0,0
demokratie,5,1,1,1,1,0,1,0
dafür,5,1,0,4,0,0,0,0
massiv,5,3,1,1,0,0,0,0
laufen,5,0,1,3,1,0,0,0
viel,5,0,1,4,0,0,0,0
geben,5,1,2,1,0,0,1,0
deutschland,5,1,2,1,0,0,1,0
polizeilich,5,2,0,1,2,0,0,0
geldwäsche,5,2,1,2,0,0,0,0
geisel,5,1,4,0,0,0,0,0
digital,5,1,0,3,1,0,0,0
letzt,5,1,0,2,1,0,1,0
danken,5,0,1,2,2,0,0,0
missachtet,5,3,0,2,0,0,0,0
grün,5,0,2,1,1,0,1,0
luca,5,1,0,4,0,0,0,0
malen,5,0,0,5,0,0,0,0
politik,5,0,1,2,0,0,2,0
aus,4,1,0,2,0,0,1,0
arbeiten,4,1,1,2,0,0,0,0
leute,4,0,2,1,0,1,0,0
lucaapp,4,4,0,0,0,0,0,0
bei,4,1,1,0,0,1,1,0
regeln,4,0,4,0,0,0,0,0
nutzen,4,1,0,1,1,0,1,0
rechtsstaat,4,0,0,0,4,0,0,0
senator,4,1,3,0,0,0,0,0
kind,4,1,2,0,1,0,0,0
sich,4,2,0,2,0,0,0,0
livestream,4,0,0,4,0,0,0,0
live,4,0,0,0,4,0,0,0
mehr,4,1,2,1,0,0,0,0
nachricht,4,2,0,1,1,0,0,0
klaren,4,1,0,1,2,0,0,0
aufklärungsquote,4,0,3,0,1,0,0,0
sichern,4,1,0,1,0,1,1,0
min,4,3,0,1,0,0,0,0
konsequent,4,1,0,1,1,1,0,0
parlament,4,1,0,0,1,1,1,0
kriminell,4,1,1,1,0,0,1,0
montag,4,3,0,1,0,0,0,0
räumungsbescheid,4,4,0,0,0,0,0,0
schwer,4,0,1,2,1,0,0,0
rufen,4,0,0,1,1,1,1,0
b0105,4,0,1,2,0,1,0,0
beamte,4,1,1,0,0,0,2,0
mengen,4,3,0,1,0,0,0,0
opfern,4,0,0,2,1,0,1,0
leider,4,1,0,1,2,0,0,0
rbb,4,4,0,0,0,0,0,0
nicht,4,0,1,2,1,0,0,0
sinnvoll,4,2,1,0,1,0,0,0
verhalten,4,1,1,1,0,1,0,0
durchsetzen,4,0,1,2,0,1,0,0
top,4,2,0,2,0,0,0,0
familie,4,3,1,0,0,0,0,0
holen,4,2,1,0,1,0,0,0
fdp,4,3,0,1,0,0,0,0
datenschutzbeauftragte,4,4,0,0,0,0,0,0
wie,4,1,0,3,0,0,0,0
halten,4,0,2,2,0,0,0,0
digitalisierung,4,2,0,0,0,0,2,0
akt,4,4,0,0,0,0,0,0
agieren,4,1,0,0,3,0,0,0
terror,4,1,1,1,1,0,0,0
gehen,4,2,0,0,2,0,0,0
groß,4,0,1,3,0,0,0,0
digitale,4,3,0,1,0,0,0,0
sitzung,4,1,0,3,0,0,0,0
demokratisch,4,0,1,3,0,0,0,0
verstehen,4,1,0,2,1,0,0,0
demonstration,4,1,1,1,1,0,0,0
demonstrieren,4,0,3,0,0,1,0,0
gestern,4,1,0,1,2,0,0,0
deshalb,4,0,0,2,2,0,0,0
faktum,4,1,2,0,1,0,0,0
dann,4,1,2,1,0,0,0,0
vielleicht,4,2,0,1,1,0,0,0
chatgruppe,4,4,0,0,0,0,0,0
ermitteln,4,1,1,1,0,0,1,0
einsetzen,4,0,1,2,1,0,0,0
straße,4,0,1,2,1,0,0,0
über,4,2,1,0,0,0,1,0
solidarität,4,0,0,2,1,0,1,0
13,4,2,0,1,1,0,0,0
sogar,4,1,0,1,2,0,0,0
staat,4,0,1,0,2,0,1,0
