,AFD,CDUCSU,FDP,GRUENE,LINKE,OTHER,SPD,AFD - norm,CDUCSU - norm,FDP - norm,GRUENE - norm,LINKE - norm,OTHER - norm,SPD - norm
2021-01-01,,,,,,,,,,,,,,
2021-01-02,,,,,,,,,,,,,,
2021-01-03,,,,,,,,,,,,,,
2021-01-04,,,,,,,,,,,,,,
2021-01-05,,,,,,,,,,,,,,
2021-01-06,,,,,,,,,,,,,,
2021-01-07,,,,,,,,,,,,,,
2021-01-08,,,,,,,,,,,,,,
2021-01-09,,,,,,,,,,,,,,
2021-01-10,,,,,,,,,,,,,,
2021-01-11,,,,,,,,,,,,,,
2021-01-12,,,,,,,,,,,,,,
2021-01-13,,,,,,,,,,,,,,
2021-01-14,,,,,,,,,,,,,,
2021-01-15,,,,,,,,,,,,,,
2021-01-16,,,,,,,,,,,,,,
2021-01-17,,,,,,,,,,,,,,
2021-01-18,,,,,,,,,,,,,,
2021-01-19,,,,,,,,,,,,,,
2021-01-20,,,,,,,,,,,,,,
2021-01-21,,,,,,,,,,,,,,
2021-01-22,,,,,,,,,,,,,,
2021-01-23,,,,,,,,,,,,,,
2021-01-24,,,,,,,,,,,,,,
2021-01-25,,,,,,,,,,,,,,
2021-01-26,,,,,,,,,,,,,,
2021-01-27,,,,,,,,,,,,,,
2021-01-28,,,,,,,,,,,,,,
2021-01-29,,,,,,,,,,,,,,
2021-01-30,0.26666666666666666,0.0,0.03333333333333333,0.8,0.7,,0.0,0.0105842151675485,0.0,0.0033333333333333335,0.015088071763067494,0.010237332128022723,,0.0
2021-01-31,0.26666666666666666,0.0,,0.7666666666666667,0.7,,0.0,0.0105842151675485,0.0,,0.013421405096400827,0.010237332128022723,,0.0
2021-02-01,0.3,0.0,0.03333333333333333,0.8,0.7,,0.0,0.011917548500881833,0.0,0.0033333333333333335,0.014611881286877017,0.010237332128022723,,0.0
2021-02-02,0.3,0.0,0.03333333333333333,0.8,0.7333333333333333,,0.0,0.011917548500881833,0.0,0.0033333333333333335,0.01449593925789151,0.010524688449861803,,0.0
2021-02-03,0.3,0.0,0.03333333333333333,0.8,0.7666666666666667,,0.0,0.011917548500881833,0.0,0.0033333333333333335,0.01449593925789151,0.011165714090887445,,0.0
2021-02-04,0.3333333333333333,0.0,0.03333333333333333,0.8,0.8333333333333334,,0.0,0.013584215167548498,0.0,0.0033333333333333335,0.01449593925789151,0.012554602979776334,,0.0
2021-02-05,0.3333333333333333,0.0,0.03333333333333333,0.8333333333333334,0.9333333333333333,,0.03333333333333333,0.013584215167548498,0.0,0.0033333333333333335,0.01578736225984083,0.014069754494927849,,0.0030303030303030303
2021-02-06,0.3333333333333333,0.0,0.03333333333333333,0.8333333333333334,0.9,,0.03333333333333333,0.013584215167548498,0.0,0.0033333333333333335,0.01578736225984083,0.013514198939372295,,0.0030303030303030303
2021-02-07,0.3333333333333333,0.03333333333333333,0.03333333333333333,0.8666666666666667,0.8333333333333334,,0.03333333333333333,0.013584215167548498,0.016666666666666666,0.0033333333333333335,0.016767754416703574,0.012533806782509548,,0.0030303030303030303
2021-02-08,0.3333333333333333,0.03333333333333333,0.03333333333333333,0.8666666666666667,0.8333333333333334,,0.06666666666666667,0.013344751566015932,0.016666666666666666,0.0033333333333333335,0.017195104844054,0.012533806782509548,,0.004545454545454545
2021-02-09,0.36666666666666664,0.03333333333333333,,0.9,0.8333333333333334,,0.06666666666666667,0.015566973788238153,0.016666666666666666,,0.017671295320244473,0.012533806782509548,,0.004545454545454545
2021-02-10,0.36666666666666664,0.03333333333333333,0.06666666666666667,0.9,0.7666666666666667,,0.06666666666666667,0.015566973788238153,0.016666666666666666,0.004408602150537635,0.01731493567112167,0.011384381495153226,,0.004545454545454545
2021-02-11,0.36666666666666664,0.03333333333333333,0.1,0.9333333333333333,0.7666666666666667,,0.06666666666666667,0.015566973788238153,0.016666666666666666,0.006630824372759856,0.01768946750632766,0.011384381495153226,,0.004545454545454545
2021-02-12,0.36666666666666664,0.03333333333333333,0.1,0.9333333333333333,0.7666666666666667,,0.06666666666666667,0.015566973788238153,0.016666666666666666,0.006630824372759856,0.01768946750632766,0.011370375892912331,,0.004545454545454545
2021-02-13,0.3333333333333333,0.03333333333333333,0.1,0.8666666666666667,0.8,,0.06666666666666667,0.01473364045490482,0.016666666666666666,0.006630824372759856,0.01598006579692595,0.011916823980344025,,0.004545454545454545
2021-02-14,0.26666666666666666,0.03333333333333333,,0.9,0.8,,0.06666666666666667,0.012264504652435683,0.016666666666666666,,0.016477723876551244,0.011916823980344025,,0.004545454545454545
2021-02-15,0.26666666666666666,0.03333333333333333,0.1,0.9333333333333333,0.7333333333333333,,0.06666666666666667,0.012264504652435683,0.016666666666666666,0.006630824372759856,0.017271374670202035,0.011690066610729513,,0.004545454545454545
2021-02-16,0.26666666666666666,0.03333333333333333,0.1,0.9666666666666667,0.7333333333333333,,0.06666666666666667,0.012264504652435683,0.016666666666666666,0.006630824372759856,0.0176376750365024,0.011690066610729513,,0.004545454545454545
2021-02-17,0.23333333333333334,0.03333333333333333,0.1,0.9666666666666667,0.8,,0.06666666666666667,0.010597837985769017,0.016666666666666666,0.006630824372759856,0.017705060481246336,0.012533948467269598,,0.004545454545454545
2021-02-18,0.26666666666666666,0.03333333333333333,0.1,0.9666666666666667,0.8333333333333334,,0.06666666666666667,0.012047113348087857,0.016666666666666666,0.006630824372759856,0.017705060481246336,0.013071582875871747,,0.004545454545454545
2021-02-19,0.26666666666666666,0.03333333333333333,0.1,0.9333333333333333,0.8666666666666667,,0.06666666666666667,0.012047113348087857,0.016666666666666666,0.006630824372759856,0.017221968693806725,0.013524945937930462,,0.004545454545454545
2021-02-20,0.26666666666666666,0.03333333333333333,0.1,0.8666666666666667,0.8,,0.1,0.012047113348087857,0.016666666666666666,0.006630824372759856,0.016129072518943337,0.012106506221618405,,0.0101010101010101
2021-02-21,0.23333333333333334,0.03333333333333333,0.13333333333333333,0.6666666666666666,0.7666666666666667,,0.1,0.010856637157611667,0.016666666666666666,0.008080099735078696,0.013881881507707384,0.011428247496744807,,0.0101010101010101
2021-02-22,0.23333333333333334,0.03333333333333333,0.13333333333333333,0.7,0.7666666666666667,,0.1,0.010856637157611667,0.016666666666666666,0.008080099735078696,0.014759074490163523,0.011428247496744807,,0.0101010101010101
2021-02-23,0.23333333333333334,0.03333333333333333,0.13333333333333333,0.7666666666666667,0.8333333333333334,,0.1,0.010856637157611667,0.016666666666666666,0.008080099735078696,0.016909612124572124,0.014458550527047838,,0.0101010101010101
2021-02-24,0.26666666666666666,0.06666666666666667,0.13333333333333333,0.7666666666666667,0.8,,0.1,0.013420739721714231,0.02333333333333333,0.008080099735078696,0.016909612124572124,0.014404160472657784,,0.0101010101010101
