hashtag,total,LINKE,AFD,GRUENE,SPD,FDP,CDUCSU,OTHER
sozial,278,116,23,105,13,13,7,1
ich,154,66,9,59,4,14,2,0
soziale,148,67,10,55,4,8,4,0
berlin,91,47,2,37,2,0,3,0
ökologisch,43,22,0,21,0,0,0,0
mein,41,16,2,17,1,3,2,0
brauchen,41,19,1,16,2,2,1,0
und,40,20,3,13,1,2,1,0
innen,36,13,0,20,3,0,0,0
klimaschutz,35,9,0,25,1,0,0,0
politik,29,11,2,9,2,3,2,0
mensch,28,12,2,12,1,0,1,0
frage,28,7,0,18,2,1,0,0
r2,26,18,1,5,0,2,0,0
mietendeckel,25,11,4,8,1,0,1,0
marktwirtschaft,23,4,7,1,0,10,1,0
danken,23,10,0,9,1,2,1,0
agh,23,21,1,1,0,0,0,0
stadt,23,8,0,12,0,0,3,0
grün,22,6,1,14,0,0,1,0
gerechtigkeit,22,8,3,10,1,0,0,0
jahr,21,9,2,7,0,1,2,0
gerecht,21,11,0,10,0,0,0,0
berliner,20,6,1,8,2,1,1,1
für,20,5,0,14,1,0,0,0
spd,19,5,3,10,1,0,0,0
sich,19,5,1,10,2,0,1,0
jetzt,19,7,2,6,1,2,1,0
armut,19,12,5,2,0,0,0,0
bleiben,19,11,1,5,2,0,0,0
stark,18,7,1,4,1,4,1,0
wichtig,18,6,0,11,1,0,0,0
ts,18,18,0,0,0,0,0,0
wer,17,6,1,6,1,1,2,0
linke,17,11,3,3,0,0,0,0
wenn,16,5,4,5,0,1,1,0
so,16,7,3,4,0,2,0,0
wohnen,16,5,0,10,1,0,0,0
aber,15,5,0,8,0,1,1,0
cdu,15,6,1,8,0,0,0,0
land,15,5,0,8,1,1,0,0
fordern,15,8,0,5,1,1,0,0
ökologische,15,5,0,10,0,0,0,0
mal,14,5,1,7,0,1,0,0
finden,14,6,0,6,1,1,0,0
obdachlos,14,12,0,1,1,0,0,0
bund,14,5,1,7,1,0,0,0
gemeinsam,14,5,0,9,0,0,0,0
geben,14,5,3,5,0,0,0,1
stehen,14,6,2,6,0,0,0,0
öffentlich,14,4,3,5,0,0,2,0
wissenschaft,13,0,0,13,0,0,0,0
corona,13,2,2,9,0,0,0,0
gesellschaft,13,6,0,6,0,1,0,0
reden,13,8,0,5,0,0,0,0
medium,13,2,7,3,0,1,0,0
miete,13,3,0,9,0,0,1,0
sein,12,5,3,2,0,2,0,0
ökologischen,12,6,0,6,0,0,0,0
mit,12,6,0,5,1,0,0,0
sehen,12,6,2,3,0,1,0,0
kämpfen,12,8,0,4,0,0,0,0
plenum,12,10,0,2,0,0,0,0
transformation,12,6,0,6,0,0,0,0
gut,12,7,0,5,0,0,0,0
recht,11,6,0,2,3,0,0,0
bildung,11,1,1,8,0,1,0,0
treffen,11,1,4,3,0,2,1,0
lösung,11,3,0,8,0,0,0,0
bezirk,11,8,0,3,0,0,0,0
wohnraum,11,5,1,3,2,0,0,0
thema,11,3,0,6,1,0,1,0
partei,11,7,3,1,0,0,0,0
in,11,5,0,6,0,0,0,0
klargehtdas,11,0,0,11,0,0,0,0
verstehen,10,4,1,5,0,0,0,0
eine,10,6,0,4,0,0,0,0
politisch,10,5,1,3,0,1,0,0
stellen,10,2,2,4,0,1,1,0
sichern,10,6,0,2,1,1,0,0
gesetz,10,5,2,2,0,0,1,0
zeit,10,6,0,4,0,0,0,0
kind,10,3,2,3,1,1,0,0
diskutieren,10,5,0,5,0,0,0,0
pandemie,10,6,0,3,0,1,0,0
problem,10,3,0,6,0,1,0,0
hartz,10,5,2,3,0,0,0,0
mahe,10,10,0,0,0,0,0,0
iv,10,5,2,3,0,0,0,0
heute,9,2,0,4,3,0,0,0
btw21,9,5,1,3,0,0,0,0
folge,9,3,0,3,1,1,1,0
bundesregierung,9,4,2,3,0,0,0,0
klimakrise,9,4,0,5,0,0,0,0
bestehen,9,2,1,5,0,0,1,0
ein,9,6,0,0,1,2,0,0
umbau,9,7,0,2,0,0,0,0
ökologischer,9,7,0,2,0,0,0,0
idee,9,1,0,7,0,1,0,0
hand,9,6,0,3,0,0,0,0
leben,9,3,3,3,0,0,0,0
wählen,9,4,2,3,0,0,0,0
familie,9,3,1,2,1,0,2,0
marzahn,9,8,1,0,0,0,0,0
nutzen,9,4,1,2,0,2,0,0
agh21,9,5,0,4,0,0,0,0
union,9,5,0,4,0,0,0,0
zusammenhalt,9,4,0,5,0,0,0,0
uhr,9,5,0,4,0,0,0,0
schule,9,3,1,4,0,1,0,0
fdp,9,5,0,3,1,0,0,0
viel,8,5,0,1,1,0,1,0
mieter,8,3,0,5,0,0,0,0
klar,8,2,0,3,1,0,2,0
auch,8,6,1,1,0,0,0,0
welt,8,4,1,2,1,0,0,0
hier,8,5,0,3,0,0,0,0
wohnung,8,2,0,5,0,0,1,0
demokratie,8,3,2,3,0,0,0,0
genau,8,2,1,3,0,1,1,0
neubau,8,4,0,3,0,0,1,0
stadtentwicklung,8,3,0,5,0,0,0,0
leute,8,5,0,1,0,0,0,2
lt,8,7,1,0,0,0,0,0
000,8,2,0,6,0,0,0,0
grüne,8,1,1,6,0,0,0,0
zielen,8,2,0,3,1,2,0,0
halten,8,3,0,2,1,1,1,0
arbeit,8,6,0,1,0,0,1,0
zeigen,8,0,2,5,0,0,1,0
deutschland,8,0,6,2,0,0,0,0
cdurausausderregierung,8,8,0,0,0,0,0,0
einfach,8,2,0,3,0,1,0,2
nachhaltig,8,4,0,3,0,1,0,0
helfen,8,4,0,4,0,0,0,0
lockdown,8,0,5,1,0,2,0,0
debatte,7,3,0,4,0,0,0,0
dank,7,5,0,2,0,0,0,0
da,7,3,0,3,1,0,0,0
damit,7,3,1,3,0,0,0,0
verkehrswende,7,2,0,5,0,0,0,0
anhörung,7,2,0,4,1,0,0,0
deshalb,7,3,1,3,0,0,0,0
bei,7,1,0,4,0,0,2,0
klima,7,3,0,3,1,0,0,0
arbeiten,7,3,1,1,1,1,0,0
chance,7,3,0,3,0,1,0,0
hilfe,7,6,0,0,1,0,0,0
wie,7,3,0,3,1,0,0,0
wende,7,3,0,4,0,0,0,0
26,7,6,0,1,0,0,0,0
platzen,7,3,0,4,0,0,0,0
erhalten,7,4,0,2,1,0,0,0
wohnungsbau,7,3,0,3,1,0,0,0
2021,7,4,0,3,0,0,0,0
zukunft,7,2,0,2,0,3,0,0
sprechen,7,3,0,3,1,0,0,0
neu,7,3,0,3,1,0,0,0
grundsicherung,7,4,1,2,0,0,0,0
bauen,7,3,0,4,0,0,0,0
werben,7,2,0,4,0,0,0,1
senat,7,2,1,3,0,1,0,0
kultur,7,3,2,1,1,0,0,0
verantwortung,7,1,0,5,0,1,0,0
weg,7,1,1,4,0,1,0,0
bereich,7,4,1,1,1,0,0,0
wahl,7,3,0,2,0,1,0,1
wandeln,7,3,0,4,0,0,0,0
studierende,7,4,0,3,0,0,0,0
link,6,4,0,1,0,1,0,0
bündnis,6,2,0,3,0,1,0,0
richtig,6,2,0,3,1,0,0,0
unterstützung,6,2,0,1,2,0,1,0
unterstützen,6,3,0,2,1,0,0,0
nehmen,6,1,0,5,0,0,0,0
austausch,6,3,0,3,0,0,0,0
per,6,5,1,0,0,0,0,0
bezahlbar,6,4,0,1,1,0,0,0
stimmen,6,2,1,2,0,0,1,0
meine,6,1,0,5,0,0,0,0
setzen,6,2,2,1,0,1,0,0
bringen,6,4,0,1,1,0,0,0
lösen,6,0,0,5,0,1,0,0
bekämpfen,6,5,0,0,1,0,0,0
bitte,6,2,0,4,0,0,0,0
bekommen,6,6,0,0,0,0,0,0
schaffen,6,3,1,1,1,0,0,0
frau,6,3,1,0,0,1,1,0
öpnv,6,4,0,2,0,0,0,0
als,6,2,0,1,2,1,0,0
diskussion,6,3,0,2,0,1,0,0
fehlend,6,2,1,2,1,0,0,0
forschung,6,1,0,4,0,1,0,0
infrastruktur,6,3,0,3,0,0,0,0
im,6,4,0,0,0,0,2,0
frei,6,3,2,1,0,0,0,0
hören,6,3,0,3,0,0,0,0
was,6,3,0,2,0,0,1,0
haushalt,6,2,0,3,1,0,0,0
weil,6,3,0,3,0,0,0,0
handeln,6,2,0,4,0,0,0,0
haben,6,3,0,1,0,2,0,0
einkommen,6,1,1,4,0,0,0,0
ermöglichen,6,3,0,3,0,0,0,0
wirtschaft,6,1,1,2,1,0,1,0
groß,6,5,0,0,0,1,0,0
glauben,6,2,2,2,0,0,0,0
erhöhung,6,4,0,2,0,0,0,0
wohnungspolitik,6,1,0,5,0,0,0,0
enteignung,6,1,1,0,0,3,1,0
dienst,6,5,1,0,0,0,0,0
erfolgen,6,2,0,2,0,0,2,0
fast,6,1,1,2,0,0,2,0
angebot,6,3,0,1,1,1,0,0
linken,5,5,0,0,0,0,0,0
morgen,5,1,1,3,0,0,0,0
sanierung,5,2,0,3,0,0,0,0
starke,5,1,1,2,0,1,0,0
kriterium,5,3,0,1,0,1,0,0
konzern,5,4,0,0,0,1,0,0
ausbau,5,1,0,3,0,0,1,0
lage,5,3,0,1,1,0,0,0
sagen,5,1,0,2,2,0,0,0
dafür,5,1,0,4,0,0,0,0
sinnvoll,5,2,0,1,1,0,1,0
montag,5,5,0,0,0,0,0,0
hellersdorf,5,5,0,0,0,0,0,0
raum,5,3,1,1,0,0,0,0
wbs,5,2,0,2,0,0,1,0
way,5,4,0,1,0,0,0,0
unternehmen,5,1,3,0,0,1,0,0
verteilen,5,4,0,1,0,0,0,0
zum,5,3,0,1,1,0,0,0
führen,5,0,0,4,0,1,0,0
köpenick,5,5,0,0,0,0,0,0
stadtteilzentren,5,3,0,2,0,0,0,0
beispiel,5,1,0,2,2,0,0,0
lassen,5,2,1,1,0,1,0,0
geld,5,2,0,2,1,0,0,0
sorgen,5,1,0,3,1,0,0,0
entscheidung,5,2,0,3,0,0,0,0
planen,5,2,0,3,0,0,0,0
überzeugen,5,1,0,3,1,0,0,0
genossenschaft,5,0,0,3,0,0,2,0
landeseigenen,5,1,0,4,0,0,0,0
sozialwohnung,5,1,0,4,0,0,0,0
gesellschaftlich,5,3,1,1,0,0,0,0
einrichtung,5,4,0,1,0,0,0,0
nächst,5,1,1,3,0,0,0,0
sogar,5,0,0,3,0,1,1,0
zuhause,5,5,0,0,0,0,0,0
not,5,5,0,0,0,0,0,0
situation,5,2,0,2,0,1,0,0
lasst,5,1,0,4,0,0,0,0
dann,5,4,0,1,0,0,0,0
grund,5,2,0,3,0,0,0,0
hälfte,5,4,1,0,0,0,0,0
afd,5,0,2,1,0,0,1,1
million,5,2,3,0,0,0,0,0
schön,5,3,0,2,0,0,0,0
it,5,0,0,4,1,0,0,0
jahrzehnt,5,2,1,0,1,1,0,0
deutlich,5,4,0,1,0,0,0,0
schützen,5,2,0,0,2,1,0,0
schüler,5,3,0,1,0,1,0,0
rot,5,1,0,4,0,0,0,0
linkelpt,5,5,0,0,0,0,0,0
twitter,5,1,1,3,0,0,0,0
alt,5,0,0,4,1,0,0,0
drucken,5,1,2,1,0,1,0,0
klaren,5,0,1,3,0,1,0,0
via,5,3,1,0,1,0,0,0
am,5,2,0,3,0,0,0,0
klimakonferenz,5,0,0,5,0,0,0,0
an,5,0,0,4,0,1,0,0
diese,5,2,0,2,0,0,1,0
umverteilung,5,2,0,3,0,0,0,0
vertrauen,5,3,0,1,0,0,1,0
interview,5,2,0,2,0,0,1,0
fair,5,1,0,3,1,0,0,0
toll,5,1,0,2,1,0,1,0
aktuell,5,4,0,0,0,1,0,0
erreichen,5,3,0,2,0,0,0,0
dabei,5,3,1,1,0,0,0,0
