hashtag,total,LINKE,AFD,GRUENE,SPD,FDP,CDUCSU,OTHER
#berlin,1813,1080,213,272,135,13,100,0
#agh,1325,1040,62,61,30,73,30,29
#corona,699,218,113,295,14,6,52,1
#r2g,594,361,36,126,23,18,30,0
#plenum,539,514,0,22,3,0,0,0
#afd,472,57,365,1,2,2,6,39
#cdu,307,137,71,53,7,2,37,0
#mahe,289,230,1,56,2,0,0,0
#recht,269,266,2,0,1,0,0,0
#klargehtdas,217,0,0,217,0,0,0,0
#spd,212,63,70,26,31,3,19,0
#mietendeckel,209,106,20,47,13,18,5,0
#linke,198,154,40,0,0,1,2,1
#marzahn,186,87,82,12,0,0,5,0
#klimaschutz,182,30,2,142,3,0,5,0
#agh21,171,128,1,31,1,1,9,0
#afghanistan,150,34,70,38,1,0,7,0
#lockdown,140,12,62,36,6,0,20,4
#linkelpt,139,137,0,0,2,0,0,0
#priorität,136,136,0,0,0,0,0,0
#baerbock,135,3,114,13,3,2,0,0
#aktuellestunde,130,126,0,4,0,0,0,0
#btw21,129,65,15,39,2,1,7,0
#grüne,128,21,87,17,0,0,3,0
#covid19,128,21,56,28,23,0,0,0
#fragestunde,121,121,0,0,0,0,0,0
#allesistdrin,118,0,0,118,0,0,0,0
#neukölln,118,17,2,96,3,0,0,0
#lichtenberg,116,70,0,32,0,3,11,0
#fdp,111,82,16,8,1,3,1,0
#merkel,109,4,94,7,0,0,4,0
#linkebpt,103,103,0,0,0,0,0,0
#triell,101,14,15,62,8,1,1,0
#ktdat,100,68,0,24,7,1,0,0
#noafd,98,60,0,31,4,0,3,0
#wissa,94,87,0,7,0,0,0,0
#schnelltests,91,3,2,83,3,0,0,0
#mpk,82,4,1,65,3,0,9,0
#verkehrswende,81,9,0,66,6,0,0,0
#cdurausausderregierung,79,79,0,0,0,0,0,0
#hellersdorf,77,58,7,8,0,0,4,0
#giffey,74,20,18,15,15,0,6,0
#neukoelln,74,5,0,68,1,0,0,0
#steglitz,73,7,0,59,0,0,7,0
#laschet,68,7,21,28,9,1,2,0
#biesdorf,66,53,0,5,0,0,8,0
#niewieder,64,36,3,21,2,1,1,0
#astrazeneca,62,6,6,30,11,3,6,0
#wissenschaft,59,1,1,57,0,0,0,0
#hanau,58,33,7,15,0,0,3,0
#impfen,57,7,2,37,11,0,0,0
#aktuelleviertelstunde,57,57,0,0,0,0,0,0
#öpnv,56,35,4,13,1,0,3,0
#kaulsdorf,55,38,0,12,1,0,4,0
#deutschland,55,8,43,1,1,0,1,1
#klimakrise,54,22,4,28,0,0,0,0
#stefaniefuchs,53,53,0,0,0,0,0,0
#xhain,52,0,0,36,12,4,0,0
#mahlsdorf,48,24,0,21,0,0,3,0
#lucaapp,47,36,0,3,4,2,2,0
#grüneslicht,47,0,0,47,0,0,0,0
#homeoffice,47,13,0,30,0,1,3,0
#köpenick,47,46,0,1,0,0,0,0
#bereitweilihresseid,46,0,0,46,0,0,0,0
#holzbau,46,3,0,43,0,0,0,0
#scholz,46,5,19,15,1,0,6,0
#selbsttests,45,2,1,41,1,0,0,0
#europa,45,12,5,21,5,1,1,0
#wedding,45,37,0,5,3,0,0,0
#grünen,44,11,23,5,0,0,5,0
#verfassungsschutz,44,10,32,1,0,0,0,1
#berlinforfuture,44,0,0,44,0,0,0,0
#mietenwahnsinn,43,32,0,9,1,1,0,0
#bvg,43,20,11,8,0,0,4,0
#kreuzberg,42,3,1,29,0,8,0,1
#wilmersdorf,41,12,0,0,29,0,0,0
#a100,41,20,3,15,1,1,1,0
#dieseeg,41,3,2,7,12,15,2,0
#eurobundmedien,40,18,0,22,0,0,0,0
#berlhg,40,13,0,24,3,0,0,0
#rassismus,40,29,1,8,2,0,0,0
#runday,40,0,0,0,0,0,40,0
#pandemie,40,13,0,17,3,0,7,0
#gruene,39,1,18,20,0,0,0,0
#antisemitismus,39,15,11,10,3,0,0,0
#mitte,39,2,0,35,0,2,0,0
#impfung,38,6,14,5,6,0,7,0
#a100stoppen,37,29,0,8,0,0,0,0
#reinickendorf,37,7,0,27,0,0,3,0
#wklbg4,36,36,0,0,0,0,0,0
#servicetweet,36,7,0,23,0,0,6,0
#ausgangssperre,36,7,7,2,16,4,0,0
#klimawahl,36,3,0,33,0,0,0,0
#kabul,35,7,21,7,0,0,0,0
#allesdichtmachen,35,5,18,10,0,0,2,0
#antifa,34,3,28,2,0,0,0,1
#kulturinzeitenvoncorona,34,34,0,0,0,0,0,0
#abgeordnetenhaus,34,14,4,0,16,0,0,0
#vielzutun,34,0,0,1,0,33,0,0
#ichbinhanna,34,20,0,13,1,0,0,0
#5stimmengrün,34,0,0,34,0,0,0,0
#datenschutz,34,16,0,17,0,1,0,0
#solargesetz,34,18,0,15,0,0,1,0
#ganzsicherberlin,33,0,0,6,27,0,0,0
#eu,33,5,21,1,5,1,0,0
#herzenssacheberlin,33,0,0,0,33,0,0,0
#geisel,33,1,28,3,0,0,1,0
#energiewende,33,4,6,22,1,0,0,0
#ber,32,4,6,10,1,2,9,0
#berlinfueralle,32,32,0,0,0,0,0,0
#pankow,31,17,3,7,1,0,3,0
#csu,31,2,20,8,1,0,0,0
#facebook,31,22,9,0,0,0,0,0
#btw2021,31,11,9,11,0,0,0,0
#coronavirus,31,3,23,4,1,0,0,0
#frauentag,30,12,1,16,1,0,0,0
#mietenwahl,30,28,0,2,0,0,0,0
#fürberlin,30,0,0,30,0,0,0,0
#demokratie,30,5,4,16,4,0,1,0
#trump,30,5,13,8,2,0,2,0
#thread,29,26,0,1,0,0,2,0
#digitalisierung,29,7,0,12,5,4,1,0
#solidarität,29,18,0,7,3,0,1,0
#freiheit,29,6,7,13,1,0,2,0
#taliban,29,9,18,1,0,0,1,0
#wuerzburg,28,0,27,1,0,0,0,0
#linkelvv,28,27,0,0,1,0,0,0
#dielinke,28,26,2,0,0,0,0,0
#1mai,28,20,2,6,0,0,0,0
#weitlingkiez,28,14,0,13,0,0,1,0
#vergesellschaftung,28,26,0,2,0,0,0,0
#wk7,28,2,0,0,0,0,26,0
#spahn,27,5,13,2,5,0,2,0
#altparteien,27,0,27,0,0,0,0,0
#youtube,27,22,5,0,0,0,0,0
#klima,27,5,12,7,3,0,0,0
#mobilität,27,11,0,14,0,0,2,0
#impfstoff,27,5,4,5,4,0,9,0
#klimakanzlerin,27,0,0,27,0,0,0,0
#zdf,26,0,22,0,3,1,0,0
#eurovision,26,16,1,8,1,0,0,0
#hohenschönhausen,26,3,0,2,0,0,21,0
#bundestagswahl,26,11,15,0,0,0,0,0
#polizei,26,10,4,2,8,0,2,0
#unteilbar,25,21,0,4,0,0,0,0
#ör,25,0,25,0,0,0,0,0
#nocovid,25,20,2,3,0,0,0,0
#hiergehtsweiter,25,0,0,25,0,0,0,0
#mietenschutzschirm,25,1,0,23,1,0,0,0
#sprechstunde,25,21,0,4,0,0,0,0
#livestream,24,23,0,1,0,0,0,0
#wahl2021,24,13,1,5,4,1,0,0
#vonovia,24,9,1,14,0,0,0,0
#dwenteignen,24,19,3,2,0,0,0,0
#senat,23,15,2,0,2,1,3,0
#querdenker,23,0,11,6,5,1,0,0
#klimawandel,23,5,2,13,2,1,0,0
#dbdk21,23,0,0,23,0,0,0,0
#wahlkampf,23,9,2,10,1,0,1,0
#testen,23,2,0,20,0,0,1,0
#israel,23,1,9,5,2,0,6,0
#groko,23,9,4,10,0,0,0,0
#sed,23,0,21,1,0,0,1,0
#söder,23,1,16,4,2,0,0,0
#ldk21,23,0,0,22,1,0,0,0
#abgeordnetenhauswahl,23,22,0,1,0,0,0,0
#rigaer94,23,5,6,5,3,3,1,0
#bundeswehr,23,0,22,1,0,0,0,0
#b0105,22,4,7,10,0,1,0,0
#agh2021,22,6,7,9,0,0,0,0
#bildung,22,10,0,9,0,0,3,0
#versammlungsfreiheitsgesetz,22,22,0,0,0,0,0,0
#innen,22,22,0,0,0,0,0,0
#ard,21,0,18,1,1,1,0,0
#clubhouse,21,2,1,8,7,2,1,0
#brandenburg,21,10,1,9,1,0,0,0
#zehlendorf,21,2,0,1,0,0,18,0
#wannsee,21,2,0,0,0,1,18,0
#schöneberg,21,4,1,15,0,1,0,0
#friedrichsfelde,21,14,0,6,0,0,1,0
#vs,21,5,16,0,0,0,0,0
#haldenwang,21,0,21,0,0,0,0,0
#schule,21,7,0,12,0,0,2,0
#treptow,21,19,0,2,0,0,0,0
#lanz,21,0,17,1,0,0,3,0
#grueneslicht,20,0,0,18,2,0,0,0
#hohenzollern,20,5,0,15,0,0,0,0
#syrien,20,1,18,1,0,0,0,0
#linksrutsch,20,20,0,0,0,0,0,0
#weremember,20,12,1,5,2,0,0,0
#bundestag,20,10,8,1,1,0,0,0
#partizipation,20,12,0,7,1,0,0,0
#habeck,20,2,11,7,0,0,0,0
#welovereinickendorf,20,0,0,20,0,0,0,0
#msm,20,0,20,0,0,0,0,0
#mobilitätswende,20,5,0,13,2,0,0,0
#zuhause,20,17,0,2,0,0,1,0
#covid_19,19,3,7,5,4,0,0,0
#transparenz,19,9,1,8,1,0,0,0
#mobilitätsgesetz,19,9,0,4,6,0,0,0
#usa,19,0,9,7,1,1,1,0
#schnelltest,19,4,1,14,0,0,0,0
#charlottenburg,18,5,1,3,9,0,0,0
#annewill,18,3,12,3,0,0,0,0
#sommer,18,16,0,0,1,0,1,0
#biontech,18,2,3,2,8,0,3,0
#capitol,18,3,5,8,1,0,1,0
#machtdaslandgerecht,18,18,0,0,0,0,0,0
#gutearbeit,18,17,0,1,0,0,0,0
#airbnb,18,17,0,1,0,0,0,0
#bpt21,18,0,0,0,0,18,0,0
#eurobundmeda,18,1,0,1,0,16,0,0
#zukunft,18,3,1,11,1,0,2,0
#selbsttest,18,0,0,18,0,0,0,0
#solarpflicht,17,5,0,12,0,0,0,0
#schönebergernorden,17,0,0,17,0,0,0,0
#lauterbach,17,0,16,0,0,0,1,0
#btwahl2021,17,5,11,1,0,0,0,0
#maas,17,1,14,2,0,0,0,0
#mieten,17,10,0,6,1,0,0,0
#stadtentwicklung,17,16,0,0,1,0,0,0
#frauenkampftag,17,5,0,12,0,0,0,0
#uefa,17,3,1,10,2,0,1,0
#asog,17,15,0,1,1,0,0,0
#fff,17,0,13,4,0,0,0,0
#vivantes,17,12,1,4,0,0,0,0
#3k21,17,0,0,0,0,17,0,0
#kultur,17,13,0,3,1,0,0,0
#spandau,17,13,0,1,0,1,2,0
#vorkaufsrecht,16,5,0,11,0,0,0,0
#homeschooling,16,10,0,3,0,1,2,0
#merz,16,3,5,6,2,0,0,0
#sporta,16,0,0,0,0,16,0,0
#politik,16,1,4,5,4,0,2,0
#hochwasser,16,2,6,8,0,0,0,0
#maskenpflicht,16,4,9,3,0,0,0,0
#wohnen,16,7,0,6,2,0,1,0
#gruengehtsweiter,16,0,0,16,0,0,0,0
#eurobundmediena,16,16,0,0,0,0,0,0
#biden,16,3,9,3,1,0,0,0
#smartcity,15,15,0,0,0,0,0,0
#pride,15,1,0,12,0,0,2,0
#gruenen,15,0,12,3,0,0,0,0
#gez,15,0,14,0,1,0,0,0
#wissforscha,15,0,0,0,0,15,0,0
#dielinkeberlin,15,15,0,0,0,0,0,0
#lsbtiq,15,0,1,14,0,0,0,0
#nichtmituns,15,0,15,0,0,0,0,0
#coronakrise,15,3,4,8,0,0,0,0
#gesundbrunnen,15,7,0,8,0,0,0,0
#weltfrauentag,15,3,3,5,3,1,0,0
#illner,14,0,14,0,0,0,0,0
#klimaschutzgesetz,14,4,0,9,1,0,0,0
#nonazis,14,11,0,2,1,0,0,0
#scheuer,14,6,1,6,1,0,0,0
#bereitfürmehr,14,0,0,0,0,0,14,0
#kiezblocks,14,5,0,9,0,0,0,0
#dldk,14,0,0,14,0,0,0,0
#testpflicht,14,1,6,7,0,0,0,0
#vfg,14,14,0,0,0,0,0,0
#krankenhausbewegung,14,9,0,5,0,0,0,0
#grünesrathaus,14,0,0,14,0,0,0,0
#tvo,14,3,0,0,0,0,11,0
#kinder,14,1,1,11,0,0,1,0
#euro2020,13,2,1,9,1,0,0,0
#ffp2,13,3,4,6,0,0,0,0
#engagement,13,5,0,6,1,0,1,0
#ltwsa21,13,5,5,2,0,1,0,0
#saytheirnames,13,6,0,7,0,0,0,0
#bundesverfassungsgericht,13,1,10,1,0,0,1,0
#selbsttesten,13,0,0,13,0,0,0,0
#rbb,13,2,5,2,3,1,0,0
#frauentag2021,13,5,0,8,0,0,0,0
#dldk21,13,0,0,13,0,0,0,0
#maassen,13,2,8,3,0,0,0,0
#gerhun,13,6,3,3,1,0,0,0
#klimakonferenz,13,0,0,13,0,0,0,0
