hashtag,total,LINKE,AFD,GRUENE,SPD,FDP,CDUCSU,OTHER
wahlkampf,316,83,41,122,23,31,16,0.0
ich,277,83,41,90,15,22,26,0.0
btw21,130,65,15,39,3,1,7,0.0
berlin,114,43,20,23,5,3,20,0.0
wahlprogramm,114,46,9,40,8,4,7,0.0
mein,105,35,13,37,2,4,14,0.0
wähler,98,16,42,19,10,3,8,0.0
linke,62,50,8,2,1,1,0,0.0
bundestagswahl,61,26,22,6,5,2,0,0.0
landesliste,58,38,3,15,0,1,1,0.0
wählen,55,19,15,9,3,4,5,0.0
agh21,54,31,1,15,1,0,6,0.0
innen,52,23,1,26,2,0,0,0.0
heute,51,27,7,15,0,1,1,0.0
spd,50,18,5,13,8,1,5,0.0
cdu,49,7,10,13,3,5,11,0.0
grüne,48,6,17,16,6,2,1,0.0
grün,48,9,3,30,3,2,1,0.0
afd,42,2,37,0,0,0,3,0.0
freuen,42,16,3,18,2,3,0,0.0
gemeinsam,42,10,1,19,4,5,3,0.0
wahl,38,12,11,9,3,1,2,0.0
und,37,13,6,10,0,5,3,0.0
26,35,14,10,6,2,1,2,0.0
mit,35,9,5,18,2,0,1,0.0
mal,34,13,2,11,2,4,2,0.0
danken,34,13,2,17,0,1,1,0.0
glückwunsch,32,9,4,13,1,4,1,0.0
r2,29,22,1,4,1,0,1,0.0
agh,29,12,10,5,0,2,0,0.0
berliner,28,6,4,15,0,2,1,0.0
partei,28,14,3,6,0,2,3,0.0
sich,28,3,1,19,1,0,4,0.0
mensch,27,19,1,4,1,2,0,0.0
so,27,6,7,8,1,3,2,0.0
finden,27,8,3,5,2,7,2,0.0
wer,27,12,5,6,3,1,0,0.0
politik,26,9,5,8,0,3,1,0.0
unterstützen,26,19,1,4,1,0,1,0.0
kandidieren,25,20,0,5,0,0,0,0.0
sein,25,8,5,4,2,3,3,0.0
abgeordnetenhaus,25,19,1,3,0,1,1,0.0
in,25,10,7,5,0,2,1,0.0
wahlkreis,24,8,4,9,0,2,1,0.0
aber,24,12,2,7,2,0,1,0.0
rot,24,15,2,3,2,0,2,0.0
klimaschutz,23,7,1,13,2,0,0,0.0
brauchen,22,8,4,6,1,1,2,0.0
wenn,22,7,4,3,4,2,2,0.0
stehen,22,6,4,4,3,3,2,0.0
herzliche,22,6,4,8,0,4,0,0.0
toll,22,7,0,12,0,0,3,0.0
platzen,21,10,2,7,0,1,1,0.0
zeit,21,2,1,13,3,2,0,0.0
jetzt,21,10,3,5,2,1,0,0.0
politisch,21,12,5,3,0,1,0,0.0
dank,20,10,3,6,1,0,0,0.0
für,20,8,0,10,0,0,2,0.0
direktmandat,20,11,0,6,0,0,3,0.0
2021,20,5,4,9,1,1,0,0.0
vertrauen,19,10,4,5,0,0,0,0.0
nächst,19,8,1,5,1,3,1,0.0
schön,19,4,2,6,2,1,4,0.0
auf,19,5,1,9,0,2,2,0.0
deutschland,18,0,9,5,1,2,1,0.0
team,18,1,1,10,0,0,6,0.0
mahe,18,18,0,0,0,0,0,0.0
allesistdrin,18,0,0,18,0,0,0,0.0
fdp,18,7,4,0,0,7,0,0.0
viel,18,6,3,6,0,0,3,0.0
lichtenberg,18,10,1,5,0,1,1,0.0
kämpfen,17,11,1,4,0,0,1,0.0
september,17,0,9,4,2,0,2,0.0
enden,17,14,1,2,0,0,0,0.0
unterstützung,17,9,0,4,1,0,3,0.0
ts,17,17,0,0,0,0,0,0.0
entscheiden,16,4,2,3,5,1,1,0.0
erneut,16,13,1,2,0,0,0,0.0
idee,16,4,1,8,1,1,1,0.0
wie,16,3,4,6,0,1,2,0.0
kandidatur,16,16,0,0,0,0,0,0.0
einfach,16,3,0,8,1,0,4,0.0
thema,16,7,1,7,0,1,0,0.0
auch,16,8,0,6,0,1,1,0.0
jahr,16,4,2,3,0,4,3,0.0
gut,15,5,0,8,0,0,2,0.0
kandidat,15,5,1,4,0,4,1,0.0
klargehtdas,15,0,0,15,0,0,0,0.0
bundestag,15,7,1,5,0,1,1,0.0
stellen,15,11,0,3,0,0,1,0.0
wissen,15,4,4,5,0,1,1,0.0
gespräch,15,9,1,4,0,1,0,0.0
marzahn,15,6,7,1,0,0,1,0.0
woche,14,8,1,3,1,0,1,0.0
stelle,14,12,2,0,0,0,0,0.0
fahren,14,3,4,4,0,2,1,0.0
stark,14,5,1,8,0,0,0,0.0
helfen,14,4,1,6,1,0,2,0.0
lieb,14,4,3,6,0,0,1,0.0
zeigen,14,2,4,3,3,0,2,0.0
stadtgesellschaft,14,14,0,0,0,0,0,0.0
am,14,5,3,4,0,1,1,0.0
aktiv,14,14,0,0,0,0,0,0.0
sozial,14,10,1,3,0,0,0,0.0
laufen,13,5,1,7,0,0,0,0.0
mitte,13,4,0,5,0,3,1,0.0
frage,13,4,1,7,0,0,1,0.0
pankow,13,3,1,4,3,1,1,0.0
da,13,3,2,6,0,1,1,0.0
lassen,13,1,5,3,2,0,2,0.0
steglitz,13,0,1,7,0,2,3,0.0
sehen,13,4,2,6,1,0,0,0.0
ein,13,7,2,4,0,0,0,0.0
haben,13,4,1,5,1,1,1,0.0
was,13,3,4,5,0,1,0,0.0
erfolgreich,12,5,2,1,0,3,1,0.0
welt,12,5,3,3,0,1,0,0.0
bund,12,6,0,5,1,0,0,0.0
april,12,11,0,0,1,0,0,0.0
laschet,12,2,3,3,3,0,1,0.0
klaren,12,2,1,5,1,2,1,0.0
weg,11,4,1,4,0,1,1,0.0
bleiben,11,4,1,3,3,0,0,0.0
leute,11,2,2,3,1,3,0,0.0
bezirk,11,1,0,4,1,3,2,0.0
bvv,11,3,0,4,0,4,0,0.0
ziehen,11,7,0,1,0,2,1,0.0
btw2021,11,3,6,2,0,0,0,0.0
wichtig,11,3,1,5,1,0,1,0.0
programm,11,4,1,6,0,0,0,0.0
stadt,11,4,1,4,0,0,2,0.0
demokratie,11,2,4,5,0,0,0,0.0
geben,11,2,4,3,1,1,0,0.0
btwahl2021,10,3,7,0,0,0,0,0.0
