,all_tweets,AFD,CDUCSU,FDP,GRUENE,LINKE,OTHER,SPD,AFD - norm,CDUCSU - norm,FDP - norm,GRUENE - norm,LINKE - norm,OTHER - norm,SPD - norm
2021-01-01,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2021-01-02,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2021-01-03,88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2021-01-04,92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2021-01-05,138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2021-01-06,226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2021-01-07,187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2021-01-08,171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2021-01-09,153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2021-01-10,111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2021-01-11,162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2021-01-12,212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2021-01-13,194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2021-01-14,224,0.8571428571428571,0.6428571428571429,0.8571428571428571,1.7142857142857142,1.5714285714285714,0.07142857142857142,0.14285714285714285,0.03472754267090652,0.04979544265258551,0.043866318866318865,0.03925002751795414,0.02697745407865438,0.011904761904761904,0.006493506493506494
2021-01-15,181,0.9285714285714286,0.7142857142857143,0.8571428571428571,1.9285714285714286,1.7142857142857142,0.07142857142857142,0.14285714285714285,0.03737304531640916,0.05693829979544265,0.043866318866318865,0.04307655813019904,0.029281601544092168,0.011904761904761904,0.006493506493506494
2021-01-16,408,0.9285714285714286,0.7142857142857143,0.8571428571428571,2.0,2.2857142857142856,0.14285714285714285,0.14285714285714285,0.03591779428560634,0.05693829979544265,0.043866318866318865,0.0414873978759334,0.031225236140787985,0.02976190476190476,0.006493506493506494
2021-01-17,105,0.9285714285714286,0.7142857142857143,0.9285714285714286,2.0,2.2142857142857144,0.14285714285714285,0.21428571428571427,0.037574108985399306,0.05693829979544265,0.054070400498971924,0.0414873978759334,0.0280412880451494,0.02976190476190476,0.013636363636363637
2021-01-18,157,1.0714285714285714,0.7142857142857143,0.9285714285714286,2.4285714285714284,2.357142857142857,0.14285714285714285,0.21428571428571427,0.044716966128256444,0.05693829979544265,0.054070400498971924,0.04914045910042319,0.030504342232341518,0.02976190476190476,0.013636363636363637
2021-01-19,133,1.0714285714285714,0.7857142857142857,0.9285714285714286,2.357142857142857,2.142857142857143,0.14285714285714285,0.21428571428571427,0.04498752889881922,0.07479544265258552,0.054070400498971924,0.04779275020554448,0.02544378142265179,0.02976190476190476,0.013636363636363637
