hashtag,total,LINKE,AFD,GRUENE,SPD,FDP,CDUCSU,OTHER
#berlin,98,40,16,30,4,2,6,0
#agh,47,37,3,4,1,2,0,0
#corona,39,10,4,20,0,0,5,0
#r2g,34,24,4,5,1,0,0,0
#cdu,20,7,5,7,0,0,1,0
#afd,17,1,15,0,0,0,1,0
#plenum,17,17,0,0,0,0,0,0
#spd,15,1,6,5,2,0,1,0
#lockdown,14,1,9,1,0,0,3,0
#klimaschutz,12,3,0,9,0,0,0,0
#wirtschaft,12,0,2,9,0,0,1,0
#lobbyregister,10,8,0,2,0,0,0,0
#afghanistan,10,0,8,2,0,0,0,0
#mietendeckel,10,7,2,0,1,0,0,0
#merkel,10,1,8,0,0,0,1,0
#grüne,10,0,9,1,0,0,0,0
#triell,9,1,2,6,0,0,0,0
#recht,9,9,0,0,0,0,0,0
#homeoffice,8,1,0,6,0,0,1,0
#deutschland,8,1,7,0,0,0,0,0
#scholz,8,0,5,2,0,0,1,0
#linkelpt,8,8,0,0,0,0,0,0
#mahe,8,8,0,0,0,0,0,0
#fdp,7,4,1,2,0,0,0,0
#aktuellestunde,7,7,0,0,0,0,0,0
#cumex,7,0,2,3,0,0,2,0
#cdurausausderregierung,7,7,0,0,0,0,0,0
#marzahn,7,4,2,1,0,0,0,0
#baerbock,6,0,6,0,0,0,0,0
#schuldenbremse,6,3,2,1,0,0,0,0
#lichtenberg,6,4,0,1,0,1,0,0
#ber,6,1,1,0,0,0,4,0
#vonovia,5,2,0,3,0,0,0,0
#csu,5,0,2,2,1,0,0,0
#dax,5,1,0,4,0,0,0,0
#noafd,5,3,0,2,0,0,0,0
#klima,5,1,4,0,0,0,0,0
#klimakrise,5,2,0,3,0,0,0,0
#korruption,5,2,0,3,0,0,0,0
#covid19,5,2,1,2,0,0,0,0
#ktdat,5,1,0,4,0,0,0,0
#transformation,5,0,0,5,0,0,0,0
#linke,5,2,3,0,0,0,0,0
#groko,5,3,1,1,0,0,0,0
#berlinfueralle,4,4,0,0,0,0,0,0
#startup,4,0,0,4,0,0,0,0
#energiewende,4,1,1,2,0,0,0,0
