,AFD,CDUCSU,FDP,GRUENE,LINKE,OTHER,SPD,AFD - norm,CDUCSU - norm,FDP - norm,GRUENE - norm,LINKE - norm,OTHER - norm,SPD - norm
2021-01-01,,,,,,,,,,,,,,
2021-01-02,,,,,,,,,,,,,,
2021-01-03,,,,,,,,,,,,,,
2021-01-04,,,,,,,,,,,,,,
2021-01-05,,,,,,,,,,,,,,
2021-01-06,,,,,,,,,,,,,,
2021-01-07,0.0,0.0,0.0,0.14285714285714285,0.0,,0.0,0.0,0.0,0.0,0.00234192037470726,0.0,,0.0
2021-01-08,0.25,0.0,0.0,0.125,0.0,,0.0,0.011363636363636364,0.0,0.0,0.0020491803278688526,0.0,,0.0
2021-01-09,0.2222222222222222,0.0,0.0,0.1111111111111111,0.0,,0.0,0.010101010101010102,0.0,0.0,0.0018214936247723133,0.0,,0.0
2021-01-10,0.2,0.0,0.0,0.1,0.0,,0.0,0.00909090909090909,0.0,0.0,0.001639344262295082,0.0,,0.0
2021-01-11,0.18181818181818182,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.008264462809917356,0.0,0.0,0.0014903129657228018,0.0,0.0,0.0
2021-01-12,0.16666666666666666,0.0,0.0,0.08333333333333333,0.0,,0.0,0.007575757575757576,0.0,0.0,0.001366120218579235,0.0,,0.0
2021-01-13,0.15384615384615385,0.07692307692307693,0.0,0.07692307692307693,0.0,,0.0,0.006993006993006993,0.006993006993006993,0.0,0.0012610340479192938,0.0,,0.0
2021-01-14,0.14285714285714285,0.07142857142857142,0.0,0.07142857142857142,0.0,,0.0,0.006493506493506494,0.006493506493506494,0.0,0.00117096018735363,0.0,,0.0
2021-01-15,0.13333333333333333,0.06666666666666667,0.0,0.06666666666666667,0.0,,0.0,0.006060606060606061,0.006060606060606061,0.0,0.001092896174863388,0.0,,0.0
2021-01-16,0.125,0.0625,0.0,0.125,0.0,0.0,0.0,0.005681818181818182,0.005681818181818182,0.0,0.0020491803278688526,0.0,0.0,0.0
2021-01-17,0.11764705882352941,0.058823529411764705,0.0,0.11764705882352941,0.0,,0.0,0.005347593582887701,0.005347593582887701,0.0,0.0019286403085824494,0.0,,0.0
2021-01-18,0.1111111111111111,0.05555555555555555,0.0,0.1111111111111111,0.0,,0.0,0.005050505050505051,0.005050505050505051,0.0,0.0018214936247723133,0.0,,0.0
2021-01-19,0.10526315789473684,0.05263157894736842,0.0,0.10526315789473684,0.0,,0.0,0.004784688995215311,0.004784688995215311,0.0,0.001725625539257981,0.0,,0.0
2021-01-20,0.1,0.05,0.0,0.1,0.05,,0.0,0.004545454545454545,0.004545454545454545,0.0,0.001639344262295082,0.0007692307692307692,,0.0
2021-01-21,0.09523809523809523,0.047619047619047616,0.0,0.09523809523809523,0.047619047619047616,,0.0,0.004329004329004329,0.004329004329004329,0.0,0.00156128024980484,0.0007326007326007326,,0.0
2021-01-22,0.09090909090909091,0.045454545454545456,0.0,0.09090909090909091,0.045454545454545456,,0.0,0.004132231404958678,0.004132231404958678,0.0,0.0014903129657228018,0.0006993006993006993,,0.0
2021-01-23,0.08695652173913043,0.043478260869565216,0.0,0.08695652173913043,0.043478260869565216,,0.0,0.003952569169960474,0.003952569169960474,0.0,0.0014255167498218105,0.0006688963210702342,,0.0
2021-01-24,0.08333333333333333,0.041666666666666664,0.0,0.08333333333333333,0.041666666666666664,0.0,0.0,0.003787878787878788,0.003787878787878788,0.0,0.001366120218579235,0.000641025641025641,0.0,0.0
2021-01-25,0.08,0.04,0.0,0.08,0.04,,0.0,0.0036363636363636364,0.0036363636363636364,0.0,0.0013114754098360656,0.0006153846153846154,,0.0
2021-01-26,0.07692307692307693,0.038461538461538464,0.0,0.11538461538461539,0.038461538461538464,0.0,0.0,0.0034965034965034965,0.0034965034965034965,0.0,0.001902059688944935,0.000591715976331361,0.0,0.0
2021-01-27,0.07407407407407407,0.037037037037037035,0.0,0.1111111111111111,0.037037037037037035,,0.0,0.0033670033670033673,0.0033670033670033673,0.0,0.0018316130337988263,0.0005698005698005699,,0.0
2021-01-28,0.07142857142857142,0.03571428571428571,0.0,0.14285714285714285,0.03571428571428571,0.0,0.0,0.003246753246753247,0.003246753246753247,0.0,0.002218277848595342,0.0005494505494505495,0.0,0.0
2021-01-29,0.06896551724137931,0.034482758620689655,0.0,0.13793103448275862,0.034482758620689655,,0.0,0.003134796238244514,0.003134796238244514,0.0,0.002141785508988606,0.0005305039787798409,,0.0
2021-01-30,0.06666666666666667,0.03333333333333333,0.0,0.13333333333333333,0.03333333333333333,0.0,0.0,0.0030303030303030303,0.0030303030303030303,0.0,0.0020703926586889856,0.0005128205128205128,0.0,0.0
2021-01-31,0.06666666666666667,0.03333333333333333,,0.13333333333333333,0.03333333333333333,0.0,0.0,0.0030303030303030303,0.0030303030303030303,,0.0020703926586889856,0.0005128205128205128,0.0,0.0
2021-02-01,0.1,0.03333333333333333,0.0,0.13333333333333333,0.03333333333333333,,0.0,0.004363636363636364,0.0030303030303030303,0.0,0.0020703926586889856,0.0005128205128205128,,0.0
2021-02-02,0.1,0.03333333333333333,0.0,0.13333333333333333,0.03333333333333333,,0.0,0.004363636363636364,0.0030303030303030303,0.0,0.0020703926586889856,0.0005128205128205128,,0.0
2021-02-03,0.1,0.03333333333333333,0.0,0.16666666666666666,0.03333333333333333,,0.0,0.004363636363636364,0.0030303030303030303,0.0,0.003080493668789996,0.0005128205128205128,,0.0
2021-02-04,0.1,0.03333333333333333,0.0,0.16666666666666666,0.03333333333333333,,0.0,0.004363636363636364,0.0030303030303030303,0.0,0.003080493668789996,0.0005128205128205128,,0.0
2021-02-05,0.1,0.03333333333333333,0.0,0.16666666666666666,0.03333333333333333,,0.0,0.004363636363636364,0.0030303030303030303,0.0,0.003080493668789996,0.0005128205128205128,,0.0
2021-02-06,0.1,0.03333333333333333,0.0,0.13333333333333333,0.03333333333333333,,0.0,0.004363636363636364,0.0030303030303030303,0.0,0.0025340455813583017,0.0005128205128205128,,0.0
2021-02-07,0.03333333333333333,0.03333333333333333,0.0,0.13333333333333333,0.03333333333333333,0.0,0.0,0.0013333333333333335,0.0030303030303030303,0.0,0.0025340455813583017,0.0005128205128205128,0.0,0.0
2021-02-08,0.03333333333333333,0.03333333333333333,0.0,0.13333333333333333,0.06666666666666667,,0.0,0.0013333333333333335,0.0030303030303030303,0.0,0.0025340455813583017,0.0012220403709765413,,0.0
2021-02-09,0.03333333333333333,0.03333333333333333,,0.13333333333333333,0.06666666666666667,0.0,0.0,0.0013333333333333335,0.0030303030303030303,,0.0025340455813583017,0.0012220403709765413,0.0,0.0
2021-02-10,0.03333333333333333,0.03333333333333333,0.0,0.2,0.06666666666666667,,0.0,0.0013333333333333335,0.0030303030303030303,0.0,0.0035757122480249686,0.0012220403709765413,,0.0
