hashtag,total,LINKE,AFD,GRUENE,SPD,FDP,CDUCSU,OTHER
#berlin,3,3,0,0,0,0,0,0.0
#corona,3,1,1,1,0,0,0,0.0
#schnelltests,2,0,0,2,0,0,0,0.0
#wissa,2,2,0,0,0,0,0,0.0
#mietendeckel,2,1,0,0,0,0,1,0.0
#mwae,1,0,0,1,0,0,0,0.0
#nahverkehr,1,1,0,0,0,0,0,0.0
#plattformen,1,1,0,0,0,0,0,0.0
#polizei,1,1,0,0,0,0,0,0.0
#polizeiproblem,1,1,0,0,0,0,0,0.0
#rassismus,1,1,0,0,0,0,0,0.0
#becos,1,0,0,1,0,0,0,0.0
#selbsttests,1,0,0,1,0,0,0,0.0
#studie,1,0,1,0,0,0,0,0.0
#taser,1,1,0,0,0,0,0,0.0
#thread,1,0,0,1,0,0,0,0.0
#transpg,1,1,0,0,0,0,0,0.0
#zew,1,0,1,0,0,0,0,0.0
#spd,1,0,1,0,0,0,0,0.0
#longcovidkids,1,1,0,0,0,0,0,0.0
#linkspopulismus,1,0,1,0,0,0,0,0.0
#linksextremismus,1,0,1,0,0,0,0,0.0
#linke,1,0,1,0,0,0,0,0.0
#lichtenberg,1,1,0,0,0,0,0,0.0
#lesbianvisibilityday,1,0,0,1,0,0,0,0.0
#ktdat,1,1,0,0,0,0,0,0.0
#kaskelkiez,1,1,0,0,0,0,0,0.0
#impfstoff,1,0,0,0,0,0,1,0.0
#immoscout,1,1,0,0,0,0,0,0.0
#holzbau,1,0,0,1,0,0,0,0.0
#grüne,1,0,1,0,0,0,0,0.0
#gesundheit,1,1,0,0,0,0,0,0.0
#genderidentitäten,1,0,0,1,0,0,0,0.0
#gender,1,1,0,0,0,0,0,0.0
#coronaleugner,1,0,1,0,0,0,0,0.0
#öpnv,1,0,1,0,0,0,0,0.0
