hashtag,total,LINKE,AFD,GRUENE,SPD,FDP,CDUCSU,OTHER
studie,66,25,10,24,3,2,2,0.0
ich,19,2,1,14,1,0,1,0.0
berlin,11,7,0,3,0,1,0,0.0
mein,7,3,0,2,0,0,2,0.0
corona,7,4,1,2,0,0,0,0.0
aber,7,2,0,4,0,0,1,0.0
innen,6,4,0,2,0,0,0,0.0
frage,6,1,0,4,0,0,1,0.0
frau,4,4,0,0,0,0,0,0.0
berliner,4,2,0,1,0,0,1,0.0
schnelltests,4,0,0,4,0,0,0,0.0
wichtig,4,1,0,3,0,0,0,0.0
wissenschaftliche,4,2,0,0,0,2,0,0.0
in,4,2,0,2,0,0,0,0.0
stellen,4,2,2,0,0,0,0,0.0
finden,4,1,0,3,0,0,0,0.0
und,4,1,0,3,0,0,0,0.0
geben,3,2,0,1,0,0,0,0.0
wissenschaftlich,3,1,1,0,1,0,0,0.0
heute,3,2,0,1,0,0,0,0.0
bestätigen,3,2,1,0,0,0,0,0.0
haben,3,1,1,0,1,0,0,0.0
hoch,3,1,0,1,1,0,0,0.0
danken,3,1,0,2,0,0,0,0.0
nix,3,1,0,2,0,0,0,0.0
prozent,3,3,0,0,0,0,0,0.0
nochmal,3,1,0,2,0,0,0,0.0
zeigen,3,0,1,1,1,0,0,0.0
fest,3,1,2,0,0,0,0,0.0
institut,3,1,2,0,0,0,0,0.0
deutlich,3,0,1,2,0,0,0,0.0
test,3,0,0,3,0,0,0,0.0
person,3,1,0,2,0,0,0,0.0
mit,3,0,0,2,0,1,0,0.0
kind,3,2,0,1,0,0,0,0.0
brauchen,3,0,0,3,0,0,0,0.0
eine,3,1,2,0,0,0,0,0.0
sicherlich,2,0,1,0,1,0,0,0.0
unbekannt,2,0,0,0,0,0,2,0.0
so,2,1,1,0,0,0,0,0.0
deutschen,2,0,2,0,0,0,0,0.0
deshalb,2,0,0,2,0,0,0,0.0
folge,2,2,0,0,0,0,0,0.0
eignen,2,1,0,1,0,0,0,0.0
steigen,2,0,2,0,0,0,0,0.0
divers,2,1,0,1,0,0,0,0.0
