,all_tweets,AFD,CDUCSU,FDP,GRUENE,LINKE,OTHER,SPD,AFD - norm,CDUCSU - norm,FDP - norm,GRUENE - norm,LINKE - norm,OTHER - norm,SPD - norm
2021-01-01,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2021-01-02,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2021-01-03,88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2021-01-04,92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2021-01-05,138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2021-01-06,226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2021-01-07,187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2021-01-08,171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2021-01-09,153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2021-01-10,111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2021-01-11,162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2021-01-12,212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2021-01-13,194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2021-01-14,224,0.14285714285714285,0.07142857142857142,0.07142857142857142,1.0,1.2857142857142858,0.07142857142857142,0.14285714285714285,0.0062499999999999995,0.01020408163265306,0.005494505494505495,0.019647464694634503,0.020108718724784157,0.07142857142857142,0.006493506493506494
2021-01-15,181,0.14285714285714285,0.07142857142857142,0.07142857142857142,1.2142857142857142,1.4285714285714286,0.07142857142857142,0.14285714285714285,0.0062499999999999995,0.01020408163265306,0.005494505494505495,0.0234739953068794,0.02241286619022195,0.07142857142857142,0.006493506493506494
2021-01-16,408,0.21428571428571427,0.07142857142857142,0.07142857142857142,1.2142857142857142,1.6428571428571428,0.07142857142857142,0.14285714285714285,0.008554147465437787,0.01020408163265306,0.005494505494505495,0.0234739953068794,0.023141729163982883,0.07142857142857142,0.006493506493506494
2021-01-17,105,0.21428571428571427,0.07142857142857142,0.07142857142857142,1.2142857142857142,1.6428571428571428,0.07142857142857142,0.14285714285714285,0.008554147465437787,0.01020408163265306,0.005494505494505495,0.0234739953068794,0.023141729163982883,0.07142857142857142,0.006493506493506494
2021-01-18,157,0.21428571428571427,0.07142857142857142,0.07142857142857142,1.3571428571428572,1.6428571428571428,0.07142857142857142,0.14285714285714285,0.008554147465437787,0.01020408163265306,0.005494505494505495,0.026025015715042666,0.023141729163982883,0.07142857142857142,0.006493506493506494
2021-01-19,133,0.21428571428571427,0.07142857142857142,0.07142857142857142,1.3571428571428572,1.5714285714285714,0.07142857142857142,0.14285714285714285,0.008554147465437787,0.01020408163265306,0.005494505494505495,0.026508808651665793,0.021441048891874037,0.07142857142857142,0.006493506493506494
