hashtag,total,LINKE,AFD,GRUENE,SPD,FDP,CDUCSU,OTHER
#mietendeckel,208,106,19,47,13,18,5,0
#berlin,74,47,12,6,5,0,4,0
#r2g,56,27,7,16,2,2,2,0
#agh,49,43,1,2,1,1,1,0
#plenum,27,27,0,0,0,0,0,0
#mietenwahnsinn,20,15,0,3,1,1,0,0
#spd,16,8,2,2,4,0,0,0
#mietenwahl,15,14,0,1,0,0,0,0
#aktuellestunde,14,14,0,0,0,0,0,0
#cdu,13,9,0,2,1,0,1,0
#agh21,12,9,0,0,1,0,2,0
#bauenbauenbauen,11,9,0,2,0,0,0,0
#vonovia,11,2,0,9,0,0,0,0
#linke,9,8,0,0,0,1,0,0
#vergesellschaftung,8,8,0,0,0,0,0,0
#wohnraum,8,8,0,0,0,0,0,0
#enteignung,8,2,3,1,2,0,0,0
#mietenschutzschirm,8,0,0,7,1,0,0,0
#mieten,8,6,0,2,0,0,0,0
#mahe,8,8,0,0,0,0,0,0
#fragestunde,7,7,0,0,0,0,0,0
#dwenteignen,7,5,2,0,0,0,0,0
#fdp,7,6,0,0,1,0,0,0
#treptow,6,6,0,0,0,0,0,0
#klargehtdas,6,0,0,6,0,0,0,0
#priorität,6,6,0,0,0,0,0,0
#klimaschutz,6,3,0,3,0,0,0,0
#vorkaufsrecht,5,3,0,2,0,0,0,0
#cdurausausderregierung,5,5,0,0,0,0,0,0
#mietenstopp,5,5,0,0,0,0,0,0
#lichtenberg,5,5,0,0,0,0,0,0
#btw21,5,4,0,0,1,0,0,0
#wohnen,5,1,0,2,1,0,1,0
#milieuschutz,5,2,0,3,0,0,0,0
#obdachlose,4,2,0,1,1,0,0,0
#deutschewohnen,4,1,0,3,0,0,0,0
#linkelpt,4,4,0,0,0,0,0,0
#miete,4,4,0,0,0,0,0,0
#grüne,4,2,2,0,0,0,0,0
#zweckentfremdung,4,3,0,1,0,0,0,0
#afghanistan,4,1,3,0,0,0,0,0
#airbnb,4,3,0,1,0,0,0,0
#gruene,4,0,3,1,0,0,0,0
#hellersdorf,4,4,0,0,0,0,0,0
#neukölln,3,1,0,2,0,0,0,0
#giffey,3,3,0,0,0,0,0,0
#mehrhochalsbreit,3,0,0,3,0,0,0,0
#asbest,3,0,0,3,0,0,0,0
#laschet,3,1,0,2,0,0,0,0
#enteignungen,3,2,0,0,0,0,1,0
#a100stoppen,3,3,0,0,0,0,0,0
#volksbegehren,3,3,0,0,0,0,0,0
#mieterschutz,3,2,0,0,1,0,0,0
#geldwäsche,3,3,0,0,0,0,0,0
#bundesverfassungsgericht,3,1,1,0,0,0,1,0
#thf,3,3,0,0,0,0,0,0
#energiewende,3,1,0,2,0,0,0,0
#zweckentfremdungsverbot,3,3,0,0,0,0,0,0
#klimakonferenz,3,0,0,3,0,0,0,0
#reinickendorf,3,1,0,2,0,0,0,0
#accentro,3,0,0,3,0,0,0,0
#wilmersdorf,3,2,0,0,1,0,0,0
#steglitz,2,2,0,0,0,0,0,0
#eigentumswohnungen,2,2,0,0,0,0,0,0
#housingfirst,2,0,0,1,1,0,0,0
#starkegenossenschaften,2,0,0,0,0,0,2,0
#nichtegalwerregiert,2,2,0,0,0,0,0,0
#enteignet,2,2,0,0,0,0,0,0
#podcast,2,2,0,0,0,0,0,0
#hartziv,2,2,0,0,0,0,0,0
#sprechstunde,2,2,0,0,0,0,0,0
#senat,2,1,0,0,0,0,1,0
#härtig,2,2,0,0,0,0,0,0
#rotrotgrün,2,0,2,0,0,0,0,0
#grüneslicht,2,0,0,2,0,0,0,0
#pankow,2,1,0,1,0,0,0,0
#grundrecht,2,1,0,1,0,0,0,0
#friedrichsfelde,2,2,0,0,0,0,0,0
#pestalozza,2,0,0,0,2,0,0,0
#immobilienlobby,2,1,0,0,1,0,0,0
#sozialenfrieden,2,0,0,0,2,0,0,0
#immobilienspekulation,2,2,0,0,0,0,0,0
#genossenschaften,2,0,0,0,0,0,2,0
#signa,2,0,0,2,0,0,0,0
#spotify,2,2,0,0,0,0,0,0
#union,2,1,0,0,1,0,0,0
#holzbau,2,1,0,1,0,0,0,0
#biesdorf,2,2,0,0,0,0,0,0
#bund,2,0,0,0,2,0,0,0
#wannsee,2,1,0,0,0,0,1,0
#mieter,2,1,0,0,0,0,1,0
#bundestag,2,2,0,0,0,0,0,0
#bundestagswahl,2,2,0,0,0,0,0,0
#weitlingkiez,2,1,0,1,0,0,0,0
#bbu,2,2,0,0,0,0,0,0
#vonoviadeal,2,0,0,2,0,0,0,0
#wklbg4,2,2,0,0,0,0,0,0
#mietenregulierung,2,2,0,0,0,0,0,0
#bauenstattklauen,2,0,0,0,0,2,0,0
#cduberlin,2,0,0,0,0,0,2,0
#wohnungen,2,0,0,2,0,0,0,0
#neukoelln,2,0,0,2,0,0,0,0
#berlinovo,2,1,0,1,0,0,0,0
#mindestlohn,2,2,0,0,0,0,0,0
#mietenkataster,2,0,0,2,0,0,0,0
#berlinhateigenbedarf,2,1,0,1,0,0,0,0
#linksrutsch,2,2,0,0,0,0,0,0
#berlinforfuture,2,0,0,2,0,0,0,0
#wohnungssektor,2,2,0,0,0,0,0,0
#linkswirkt,2,2,0,0,0,0,0,0
#triell,2,1,0,1,0,0,0,0
#youtube,2,2,0,0,0,0,0,0
#zuhause,2,2,0,0,0,0,0,0
#zwangsräumungen,2,2,0,0,0,0,0,0
#wedding,2,2,0,0,0,0,0,0
#mietensicherung,1,1,0,0,0,0,0,0
#quoten,1,1,0,0,0,0,0,0
#recht,1,1,0,0,0,0,0,0
#rechtaufstadt,1,1,0,0,0,0,0,0
#rechtaufstadtfüralle,1,1,0,0,0,0,0,0
#mietendemo21,1,1,0,0,0,0,0,0
#refugeeswelcome,1,1,0,0,0,0,0,0
#mietendeckelbundesweit,1,1,0,0,0,0,0,0
#mietenspiegel,1,1,0,0,0,0,0,0
#neutralitätsgesetz,1,1,0,0,0,0,0,0
#politikwechsel,1,1,0,0,0,0,0,0
#mittelstand,1,0,1,0,0,0,0,0
#nichtmituns,1,0,1,0,0,0,0,0
#neubau,1,0,1,0,0,0,0,0
#moorwiese,1,0,0,1,0,0,0,0
#nichtstun,1,0,0,0,1,0,0,0
#mobilität,1,0,0,1,0,0,0,0
#nichtsvomgutenvonr2gmitnehmen,1,0,0,1,0,0,0,0
#moabit,1,1,0,0,0,0,0,0
#reinickendorfer,1,0,0,1,0,0,0,0
#opmasken,1,1,0,0,0,0,0,0
#niemehrcdu,1,1,0,0,0,0,0,0
#militärausgaben,1,1,0,0,0,0,0,0
#noafd,1,1,0,0,0,0,0,0
#obdachlosen,1,1,0,0,0,0,0,0
#mietwohnungen,1,1,0,0,0,0,0,0
#mietkataster,1,0,0,1,0,0,0,0
#olching,1,0,1,0,0,0,0,0
#pflegestreik,1,0,1,0,0,0,0,0
#3dprinting,1,1,0,0,0,0,0,0
