hashtag,total,LINKE,AFD,GRUENE,SPD,FDP,CDUCSU,OTHER
mietendeckel,321,142,35,82,25,26,11,0
wohnung,285,138,28,61,10,24,24,0
ich,274,106,12,89,21,24,21,1
berlin,195,86,21,47,15,8,18,0
mieter,147,57,5,60,6,6,13,0
innen,113,56,0,53,4,0,0,0
wohnraum,94,54,5,22,5,6,2,0
und,87,43,4,22,3,8,7,0
enteignung,71,12,7,15,10,13,13,1
r2,64,27,7,16,3,3,8,0
miete,63,26,1,20,2,7,7,0
berliner,61,15,8,17,8,2,11,0
000,59,27,3,23,1,3,2,0
bauen,57,32,6,6,5,2,6,0
brauchen,54,18,2,21,1,9,3,0
mensch,52,20,1,12,2,11,6,0
mal,51,21,6,16,4,2,2,0
agh,49,43,1,2,1,1,1,0
jahr,49,17,6,15,3,3,5,0
spd,49,22,4,12,6,1,4,0
mein,48,23,5,17,0,2,1,0
enteignen,46,20,5,6,5,3,7,0
stadt,44,14,1,14,0,9,6,0
cdu,43,26,1,10,2,0,4,0
wohnen,43,25,1,8,2,4,3,0
aber,37,13,5,14,1,1,3,0
ts,36,35,0,1,0,0,0,0
bezahlbar,35,15,1,10,4,2,3,0
linke,32,9,4,8,1,3,7,0
grün,32,9,8,9,0,1,5,0
finden,31,11,2,8,1,3,6,0
schaffen,31,8,5,5,3,8,2,0
immobilie,30,9,4,10,3,2,2,0
land,30,9,0,17,1,2,1,0
ja,30,16,0,10,1,0,3,0
sozial,29,12,5,7,2,1,2,0
für,28,10,2,9,2,2,3,0
plenum,27,27,0,0,0,0,0,0
bund,27,11,0,12,4,0,0,0
genossenschaft,27,7,1,6,0,3,10,0
politik,26,7,1,7,3,5,3,0
was,26,11,3,4,4,3,1,0
kaufen,25,10,1,9,0,4,1,0
gesetz,25,4,6,4,2,6,3,0
thema,25,11,1,7,1,2,3,0
in,24,7,7,5,0,1,4,0
soziale,24,8,0,13,1,1,1,0
fordern,24,9,0,11,2,1,1,0
vermieter,24,8,4,7,0,3,2,0
