hashtag,total,LINKE,AFD,GRUENE,SPD,FDP,CDUCSU,OTHER
#berlin,24,5,2,10,2,0,5,0.0
#zukunft,18,3,1,11,1,0,2,0.0
#corona,10,1,1,8,0,0,0,0.0
#klargehtdas,9,0,0,9,0,0,0,0.0
#agh,8,1,0,2,0,5,0,0.0
#r2g,7,2,0,5,0,0,0,0.0
#klimaschutz,6,0,0,6,0,0,0,0.0
#agh21,6,1,0,2,0,0,3,0.0
#unteilbar,6,6,0,0,0,0,0,0.0
#grüneslicht,5,0,0,5,0,0,0,0.0
#klimakrise,4,1,0,3,0,0,0,0.0
#wissenschaft,4,0,0,4,0,0,0,0.0
#wannsee,4,0,0,0,0,0,4,0.0
#eurobundmeda,3,0,0,1,0,2,0,0.0
#cduberlin,3,0,0,0,0,0,3,0.0
#cdu,3,0,1,0,0,0,2,0.0
#eurobundmedien,3,2,0,1,0,0,0,0.0
#brunnenviertel,3,3,0,0,0,0,0,0.0
#reinickendorf,3,1,0,2,0,0,0,0.0
#vielzutun,3,0,0,0,0,3,0,0.0
#mobilitätswende,3,1,0,2,0,0,0,0.0
#kinder,3,0,0,2,0,0,1,0.0
#digitalisierung,3,0,0,3,0,0,0,0.0
#gruene,3,0,1,2,0,0,0,0.0
#zehlendorf,3,0,0,0,0,0,3,0.0
#lockdown,3,0,1,1,0,0,1,0.0
#wirtschaft,3,0,0,3,0,0,0,0.0
#pflege,3,1,0,1,1,0,0,0.0
#triell,2,0,0,2,0,0,0,0.0
#hellersdorf,2,1,1,0,0,0,0,0.0
#grün,2,0,0,2,0,0,0,0.0
#transformation,2,0,0,2,0,0,0,0.0
#tegel,2,1,0,0,1,0,0,0.0
#holzbau,2,0,0,2,0,0,0,0.0
#elektromobilität,2,0,0,2,0,0,0,0.0
#sage,2,0,0,2,0,0,0,0.0
#smartcity,2,2,0,0,0,0,0,0.0
#gemeinschaftsschule,2,2,0,0,0,0,0,0.0
#jugendliche,2,0,0,2,0,0,0,0.0
#ganzsicherberlin,2,0,0,1,1,0,0,0.0
#klimakanzlerin,2,0,0,2,0,0,0,0.0
#neukölln,2,1,0,1,0,0,0,0.0
#noafd,2,1,0,1,0,0,0,0.0
#kiezblocks,2,1,0,1,0,0,0,0.0
#jahnsportpark,2,0,0,2,0,0,0,0.0
#spd,2,0,1,0,1,0,0,0.0
#deutschland,2,0,2,0,0,0,0,0.0
#mahe,2,2,0,0,0,0,0,0.0
#txl,2,0,0,1,1,0,0,0.0
#wahlkampf,2,1,0,1,0,0,0,0.0
#afd,2,0,2,0,0,0,0,0.0
#allesistdrin,2,0,0,2,0,0,0,0.0
#lucaapp,2,2,0,0,0,0,0,0.0
#wk7,2,0,0,0,0,0,2,0.0
#wissforscha,2,0,0,0,0,2,0,0.0
#bereitfürmehr,2,0,0,0,0,0,2,0.0
#bereitweilihresseid,2,0,0,2,0,0,0,0.0
#listentothescience,2,0,0,2,0,0,0,0.0
#linkelpt,2,2,0,0,0,0,0,0.0
#wahlparteitag,2,0,0,2,0,0,0,0.0
#linkebpt,2,2,0,0,0,0,0,0.0
#btw21,2,0,0,2,0,0,0,0.0
#wegenmorgen,2,0,2,0,0,0,0,0.0
#haw,2,0,0,2,0,0,0,0.0
#merkel,2,0,2,0,0,0,0,0.0
#quoten,1,1,0,0,0,0,0,0.0
#politik,1,0,0,1,0,0,0,0.0
#polizeigelände,1,0,0,0,0,0,1,0.0
#promotionsrecht,1,0,0,1,0,0,0,0.0
#queer,1,0,0,1,0,0,0,0.0
#queerpolitik,1,0,0,1,0,0,0,0.0
#monopolisierung,1,1,0,0,0,0,0,0.0
#mitdir,1,0,0,1,0,0,0,0.0
#marktradikalität,1,1,0,0,0,0,0,0.0
#planeten,1,0,0,1,0,0,0,0.0
#moneymoneymoney,1,1,0,0,0,0,0,0.0
#mitmachen,1,1,0,0,0,0,0,0.0
