hashtag,total,LINKE,AFD,GRUENE,SPD,FDP,CDUCSU,OTHER
#berlin,131,57,14,38,11,0,11,0
#r2g,77,33,1,35,2,2,4,0
#corona,65,7,6,42,1,1,8,0
#agh,64,44,3,5,2,6,4,0
#mahe,46,39,0,7,0,0,0,0
#afd,35,3,29,0,0,0,0,3
#solidarität,29,18,0,7,3,0,1,0
#marzahn,25,13,11,1,0,0,0,0
#klimaschutz,24,5,0,17,1,0,1,0
#klargehtdas,23,0,0,23,0,0,0,0
#linke,22,20,1,0,0,0,1,0
#agh21,22,13,0,7,0,0,2,0
#mietendeckel,22,13,1,5,1,1,1,0
#cdu,21,6,1,5,2,0,7,0
#lichtenberg,20,14,0,5,0,0,1,0
#plenum,20,17,0,3,0,0,0,0
#afghanistan,17,4,7,3,0,0,3,0
#hellersdorf,16,15,1,0,0,0,0,0
#allesistdrin,15,0,0,15,0,0,0,0
#linkelpt,13,13,0,0,0,0,0,0
#kaulsdorf,13,11,0,2,0,0,0,0
#btw21,13,6,1,4,0,0,2,0
#linkebpt,12,12,0,0,0,0,0,0
#abgeordnetenhaus,12,11,0,0,1,0,0,0
#spd,12,3,1,2,3,0,3,0
#covid19,12,0,4,5,3,0,0,0
#wissenschaft,11,0,0,11,0,0,0,0
#mpk,10,1,0,6,1,0,2,0
#grüne,10,1,3,5,0,0,1,0
#impfen,9,1,0,4,4,0,0,0
#steglitz,9,1,0,7,0,0,1,0
#schnelltests,9,3,0,6,0,0,0,0
#pandemie,9,2,0,4,2,0,1,0
#neukölln,9,2,0,7,0,0,0,0
#astrazeneca,9,0,0,5,3,1,0,0
#bvg,9,6,1,1,0,0,1,0
#unteilbar,8,8,0,0,0,0,0,0
#aktuellestunde,8,7,0,1,0,0,0,0
#klimakrise,8,4,0,4,0,0,0,0
#linkelvv,8,8,0,0,0,0,0,0
#gemeinsam,8,1,1,5,0,0,1,0
#schönebergernorden,8,0,0,8,0,0,0,0
#antisemitismus,8,1,0,6,1,0,0,0
#brandenburg,7,4,0,3,0,0,0,0
#vivantes,7,6,0,1,0,0,0,0
#impfung,7,1,3,1,0,0,2,0
#lockdown,7,0,1,3,1,0,2,0
#danke,7,2,0,3,2,0,0,0
#noafd,7,2,0,5,0,0,0,0
#grüneslicht,7,0,0,7,0,0,0,0
#mahlsdorf,7,4,0,3,0,0,0,0
#cdurausausderregierung,7,7,0,0,0,0,0,0
#öpnv,7,5,0,1,0,0,1,0
#baerbock,6,0,4,2,0,0,0,0
#welovereinickendorf,6,0,0,6,0,0,0,0
#weitlingkiez,6,2,0,4,0,0,0,0
