hashtag,total,LINKE,AFD,GRUENE,SPD,FDP,CDUCSU,OTHER
danken,1179,376,34,490,117,78,83,1
ich,935,274,64,298,112,86,97,4
gemeinsam,409,94,27,170,43,38,37,0
berlin,351,100,23,131,45,16,36,0
mein,321,83,17,130,27,22,42,0
unterstützen,263,110,25,74,19,13,18,4
unterstützung,187,74,4,62,12,12,23,0
schützen,181,43,54,41,22,10,10,1
und,166,48,13,62,14,11,18,0
innen,162,65,1,83,12,0,1,0
solidarität,161,60,4,60,23,6,8,0
mensch,151,51,6,51,12,11,20,0
sich,133,45,5,45,18,6,14,0
heute,132,51,14,44,14,3,6,0
vertrauen,119,27,14,40,12,15,11,0
schutz,117,30,15,42,15,6,7,2
wichtig,115,25,7,60,6,11,6,0
berliner,110,32,3,49,11,3,11,1
brauchen,108,43,7,39,5,5,9,0
hilfe,108,37,16,27,15,8,5,0
jahr,105,21,8,47,4,10,14,1
mal,103,34,4,26,18,12,9,0
corona,103,17,10,57,5,5,9,0
r2,89,32,1,38,2,7,9,0
gerecht,80,23,4,42,4,6,1,0
politik,74,18,5,30,7,7,7,0
gut,72,11,9,30,5,7,10,0
grün,71,10,6,45,3,1,6,0
dank,70,20,17,17,9,2,5,0
agh,70,46,3,8,3,6,4,0
stehen,68,17,5,23,10,6,7,0
freuen,68,18,1,25,11,8,5,0
in,67,25,2,26,9,2,3,0
aber,67,11,6,35,9,2,4,0
mit,66,18,4,27,6,2,9,0
für,64,24,9,21,3,2,5,0
arbeit,64,23,0,30,4,3,4,0
so,63,15,4,21,6,7,10,0
zeit,63,14,3,28,9,3,6,0
stadt,61,11,0,33,4,6,7,0
toll,59,15,1,31,7,1,4,0
bleiben,59,13,5,23,8,3,7,0
finden,58,16,1,24,5,6,6,0
ein,57,15,2,27,5,1,7,0
wahlkampf,57,15,5,26,4,5,2,0
pandemie,56,21,0,25,7,0,3,0
afd,55,4,39,5,1,1,1,4
was,54,20,5,16,3,6,4,0
sozial,54,18,0,25,4,3,3,1
cdu,52,18,4,10,3,1,16,0
auch,52,8,2,24,8,3,7,0
jetzt,51,20,5,18,3,1,4,0
frau,51,12,5,19,7,4,4,0
impfen,51,7,6,14,23,0,1,0
linke,50,28,6,5,2,2,7,0
viel,48,20,2,16,4,3,3,0
mahe,48,39,1,8,0,0,0,0
wahl,47,13,9,16,2,2,4,1
frage,46,13,1,18,5,4,5,0
spd,46,14,4,12,6,1,9,0
helfen,46,9,2,20,7,0,8,0
schaffen,45,9,0,24,5,6,1,0
klimaschutz,45,9,0,30,1,2,3,0
lieb,45,14,3,17,2,4,5,0
stellen,45,16,0,22,2,3,1,1
zeigen,45,8,4,18,6,2,7,0
eine,44,5,1,24,7,5,2,0
