,AFD,CDUCSU,FDP,GRUENE,LINKE,SPD,AFD - norm,CDUCSU - norm,FDP - norm,GRUENE - norm,LINKE - norm,SPD - norm
2021-01-01,,,,,,,,,,,,
2021-01-02,,,,,,,,,,,,
2021-01-03,,,,,,,,,,,,
2021-01-04,,,,,,,,,,,,
2021-01-05,,,,,,,,,,,,
2021-01-06,,,,,,,,,,,,
2021-01-07,,,,,,,,,,,,
2021-01-08,,,,,,,,,,,,
2021-01-09,,,,,,,,,,,,
2021-01-10,,,,,,,,,,,,
2021-01-11,,,,,,,,,,,,
2021-01-12,,,,,,,,,,,,
2021-01-13,,,,,,,,,,,,
2021-01-14,,,,,,,,,,,,
2021-01-15,,,,,,,,,,,,
2021-01-16,,,,,,,,,,,,
2021-01-17,,,,,,,,,,,,
2021-01-18,,,,,,,,,,,,
2021-01-19,,,,,,,,,,,,
2021-01-20,,,,,,,,,,,,
2021-01-21,,,,,,,,,,,,
2021-01-22,,,,,,,,,,,,
2021-01-23,,,,,,,,,,,,
2021-01-24,,,,,,,,,,,,
2021-01-25,,,,,,,,,,,,
2021-01-26,,,,,,,,,,,,
2021-01-27,,,,,,,,,,,,
2021-01-28,,,,,,,,,,,,
2021-01-29,,,,,,,,,,,,
2021-01-30,9.466666666666667,16.1,15.4,12.166666666666666,15.8,10.2,0.12190537984466461,0.10865558042115589,0.09586550360801653,0.09406903889812307,0.10871487806400519,0.087096384479482
2021-01-31,9.466666666666667,15.866666666666667,15.5,12.266666666666667,15.833333333333334,10.266666666666667,0.12228330879402213,0.10603915885252843,0.09633333986532648,0.09327109810018226,0.10961865265199029,0.08774745013883953
2021-02-01,9.033333333333333,15.7,15.733333333333333,12.7,16.033333333333335,10.466666666666667,0.11778068290585407,0.10500613106262592,0.09739403689480298,0.09608967555156264,0.10918174927945537,0.08846665900908227
2021-02-02,9.1,15.233333333333333,15.866666666666667,12.733333333333333,16.1,10.6,0.11933826368464445,0.10286617479895832,0.09633273260769225,0.09458891489205029,0.10775518027963624,0.08869457923700248
2021-02-03,9.1,15.266666666666667,16.0,13.066666666666666,15.933333333333334,10.833333333333334,0.12071120097837382,0.10325033555545951,0.09728636788488061,0.09666366306054847,0.10680859247661613,0.08925800880830607
2021-02-04,8.966666666666667,15.166666666666666,15.733333333333333,13.2,15.866666666666667,11.233333333333333,0.12188092487795986,0.10318089111101507,0.09758238000953724,0.09852988725723351,0.10676080275140705,0.09113452212549736
2021-02-05,9.166666666666666,14.8,14.566666666666666,12.833333333333334,15.8,10.933333333333334,0.1266895149806676,0.1026973582781213,0.09711398920493954,0.09985041546851801,0.10825689575693402,0.09052402151499675
2021-02-06,9.4,14.933333333333334,14.466666666666667,12.366666666666667,15.133333333333333,10.833333333333334,0.13071956962547635,0.10508494653527478,0.09846070941912963,0.09772701803262059,0.10410792577629203,0.0911942155185241
2021-02-07,9.133333333333333,14.566666666666666,14.4,12.633333333333333,14.966666666666667,10.666666666666666,0.12744204282948027,0.10311136456169281,0.09873706996334732,0.1002341405397431,0.10381722810187344,0.08994211596133979
2021-02-08,9.2,14.233333333333333,14.566666666666666,12.466666666666667,15.133333333333333,10.666666666666666,0.13102114758604508,0.10147792048638828,0.09843413544988648,0.09818559384833928,0.1051724964136635,0.08966958998620779
2021-02-09,9.0,14.4,14.833333333333334,12.4,15.433333333333334,10.8,0.1310007227494438,0.10406298162408101,0.0988016785655212,0.0950582943634239,0.10712444836561545,0.08998694726559038
2021-02-10,8.966666666666667,14.233333333333333,14.8,12.866666666666667,15.366666666666667,11.033333333333333,0.13208480086927168,0.10182027483591967,0.0975154348332343,0.09602125732638686,0.10613238487355196,0.0899264511978348
2021-02-11,8.9,14.5,14.9,13.033333333333333,15.766666666666667,10.9,0.13215987594434675,0.10402869443564362,0.0973099820040933,0.09652318094227517,0.10711087949720786,0.08887468297281428
2021-02-12,8.766666666666667,14.466666666666667,13.933333333333334,13.166666666666666,15.533333333333333,10.966666666666667,0.12918368546815628,0.10403842111592763,0.09350964167510863,0.09695527970770729,0.10649091170332703,0.089072996024131
2021-02-13,8.933333333333334,14.266666666666667,13.7,12.5,14.966666666666667,10.733333333333333,0.1324194327717002,0.10258640091390744,0.09442840918211143,0.09372310400717715,0.1049255039310227,0.08967735421275887
2021-02-14,8.566666666666666,13.133333333333333,13.466666666666667,12.133333333333333,14.633333333333333,10.666666666666666,0.12900479862535874,0.10018437815790239,0.09338635714116926,0.09227090762474822,0.10417393364728868,0.08888933214814106
2021-02-15,7.966666666666667,11.2,13.3,11.666666666666666,14.3,10.5,0.1269214652920254,0.09636001364563669,0.09146522468414196,0.08892269333903394,0.10484341920049516,0.08909131926463851
2021-02-16,7.7,11.0,13.133333333333333,11.766666666666667,14.533333333333333,10.533333333333333,0.12295321132377143,0.09696387837993622,0.0901642085255546,0.0894146432495885,0.10691522151728432,0.08958826116066296
2021-02-17,7.6,10.666666666666666,12.766666666666667,11.7,14.133333333333333,10.533333333333333,0.12275713289239888,0.09613645521208752,0.08845154546760803,0.08889122727162707,0.10450640048250909,0.0890620423062414
2021-02-18,7.7,10.1,12.733333333333333,11.733333333333333,14.133333333333333,10.6,0.12721706320598775,0.09384719547738492,0.08844502868689769,0.09016358806779738,0.10512600186211413,0.090017836810423
2021-02-19,7.766666666666667,10.033333333333333,12.566666666666666,11.533333333333333,13.8,10.533333333333333,0.1298212298726544,0.09356875202194728,0.08862624871589289,0.08932344171972385,0.10300272831026916,0.09030900590964164
2021-02-20,7.833333333333333,10.166666666666666,12.3,11.533333333333333,13.633333333333333,10.8,0.13275386634187625,0.09412430757750284,0.0878510549174433,0.08960524526239695,0.10360596214111494,0.0934886787156319
2021-02-21,7.633333333333334,9.733333333333333,12.233333333333333,11.466666666666667,13.066666666666666,10.633333333333333,0.13465862824663813,0.09074516759141273,0.08993656065258407,0.08973155696080347,0.10148035827638063,0.09214141545405881
2021-02-22,7.9,9.766666666666667,12.2,11.533333333333333,13.2,10.6,0.13921026708399123,0.09242332851095296,0.08816268151028386,0.09222869740990346,0.10249270395539298,0.09107123128282933
2021-02-23,7.9,9.966666666666667,12.666666666666666,11.566666666666666,13.133333333333333,10.7,0.14119439406811823,0.09336878873911361,0.08889832839977692,0.09460001030753215,0.10175445969283481,0.09095801116960923
2021-02-24,7.9,9.9,12.4,11.633333333333333,12.766666666666667,10.8,0.14255981478837765,0.09244602729003636,0.08754756587254381,0.09484246426852158,0.09928094116155105,0.09065498086657892
2021-02-25,7.866666666666666,9.633333333333333,12.033333333333333,11.533333333333333,12.933333333333334,10.933333333333334,0.14134769357625643,0.09101149923680327,0.08706275656420509,0.09421356929968133,0.10065275272430721,0.09046137817297623
