hashtag,total,CDUCSU,GRUENE,LINKE,AFD,SPD,FDP
ich,9721,1640,1658,2054,925,1800,1644
berlin,3333,528,341,454,1142,484,384
grün,2568,257,935,377,329,252,418
mein,2326,454,423,469,213,428,339
bundestag,2194,221,299,260,1015,227,172
wählen,1882,253,287,439,327,319,257
afd,1786,66,41,103,1464,63,49
arbeit,1689,294,295,405,102,382,211
jahr,1682,232,408,355,160,297,230
und,1661,214,363,366,190,320,208
mensch,1631,223,327,429,104,290,258
deutsch,1587,239,224,377,269,219,259
wahl,1564,278,237,323,164,286,276
cdu,1448,249,315,307,181,250,146
falsch,1441,253,194,347,117,252,278
antwort,1433,171,335,397,149,185,196
corona,1323,179,186,363,143,147,305
krise,1249,127,208,396,42,231,245
brauchen,1228,178,336,261,48,179,226
spd,1212,153,216,241,97,363,142
deutschland,1200,217,146,211,234,171,221
in,1149,144,203,280,162,181,179
welt,1129,198,172,264,125,192,178
digital,1112,253,213,151,19,196,280
kämpfen,1089,149,209,323,60,235,113
mal,1081,134,160,250,132,210,195
land,1065,198,162,183,116,218,188
stehen,1029,196,157,209,110,193,164
aber,991,109,167,271,86,196,162
wer,966,132,158,251,142,130,153
sorgen,922,140,191,175,75,166,175
erreichen,900,161,205,147,44,210,133
verlieren,898,106,132,188,92,211,169
versuchen,897,94,189,233,80,147,154
heute,896,195,179,170,128,120,104
grund,884,113,153,205,102,144,167
brandner,879,1,1,0,877,0,0
sicherheit,870,229,165,155,39,161,121
mit,856,187,168,144,66,161,130
innen,855,5,305,319,15,194,17
wenn,852,113,143,181,110,145,160
chance,849,154,224,100,40,128,203
frage,844,115,200,204,63,113,149
fdp,844,35,101,188,82,50,388
gut,834,168,172,128,44,180,142
frei,813,94,107,141,121,124,226
bundesregierung,808,31,213,243,158,24,139
wichtig,807,182,145,145,42,167,126
politik,788,101,165,195,93,91,143
ein,780,131,120,164,84,132,149
zeigen,764,122,151,114,71,164,142
gewalt,751,83,156,174,103,127,108
bleiben,747,130,150,135,78,151,103
was,744,85,116,181,84,156,122
zeit,727,99,164,149,59,126,130
bayer,723,93,190,136,53,110,141
partei,703,82,82,221,110,119,89
sich,700,119,125,141,53,151,111
sachsen,695,164,62,111,106,100,152
thüringen,692,49,33,84,423,39,64
egal,690,76,106,168,96,135,109
für,678,95,149,167,65,110,92
klimaschutz,673,66,370,113,10,75,39
gemeinsam,666,192,121,129,37,135,52
deutsche,666,164,101,89,115,95,102
bauen,665,113,128,112,32,100,180
grüne,662,97,143,90,106,89,137
so,657,114,130,117,115,91,90
finden,653,91,138,160,39,98,127
sein,652,88,111,133,68,139,113
danken,641,149,152,107,43,127,63
linke,638,62,34,352,66,33,91
stark,636,153,127,84,32,131,109
leben,631,99,100,161,58,126,87
union,620,92,110,193,29,118,78
kind,614,64,185,122,51,119,73
frau,610,75,156,118,79,121,61
klaren,605,114,120,122,42,100,107
wirholendasdirektmandat,603,0,0,0,603,0,0
gera,601,0,0,0,601,0,0
wie,601,61,137,128,81,99,95
viel,590,116,105,91,53,135,90
weg,588,90,95,119,53,107,124
tagen,585,116,98,96,32,152,91
geschichte,583,85,81,158,66,128,65
