hashtag,total,CDUCSU,GRUENE,LINKE,AFD,SPD,FDP
urban,24,2,7,5,5,1,4
fördern,5,3,0,0,0,0,2
raum,4,0,1,0,0,0,3
heute,3,0,1,1,0,0,1
einig,3,0,0,3,0,0,0
projekt,3,1,1,0,0,0,1
setzen,3,1,0,0,2,0,0
özdemir,3,0,0,0,3,0,0
csu,2,1,1,0,0,0,0
kommentar,2,0,0,2,0,0,0
unterlassungserklärung,2,0,0,0,2,0,0
grün,2,0,1,0,1,0,0
jörg,2,0,0,0,2,0,0
berliner,2,2,0,0,0,0,0
bund,2,1,0,0,0,0,1
privilegierten,2,0,0,0,0,0,2
bayreuth,2,0,0,0,0,0,2
bauen,2,0,0,0,0,2,0
sachsen,2,0,0,0,2,0,0
ort,2,0,2,0,0,0,0
lang,2,0,1,1,0,0,0
echt,2,0,0,2,0,0,0
ich,2,1,1,0,0,0,0
afd,2,0,0,0,2,0,0
zentrum,2,0,1,1,0,0,0
gardening,2,1,1,0,0,0,0
zukunft,2,0,1,0,0,0,1
corona,2,0,0,0,0,0,2
tag,2,0,0,1,0,0,1
of,2,0,2,0,0,0,0
konzept,2,0,0,0,0,0,2
ländlich,2,0,2,0,0,0,0
stadt,2,0,2,0,0,0,0
peter,1,0,0,1,0,0,0
partei,1,0,0,0,1,0,0
opfern,1,0,0,1,0,0,0
perfekt,1,0,0,0,0,0,1
platz,1,0,1,0,0,0,0
passgenaue,1,0,1,0,0,0,0
15,1,0,1,0,0,0,0
platzen,1,0,1,0,0,0,0
political,1,0,1,0,0,0,0
politische,1,0,0,0,0,0,1
prima,1,0,0,0,1,0,0
online,1,0,1,0,0,0,0
programm,1,0,0,0,0,0,1
prototyp,1,0,0,0,0,0,1
punkt,1,0,0,0,0,0,1
quartieren,1,0,0,0,0,1,0
quartiersplatzes,1,1,0,0,0,0,0
quellen,1,0,0,0,0,0,1
rahmen,1,1,0,0,0,0,0
raus,1,0,1,0,0,0,0
read,1,0,1,0,0,0,0
problematisch,1,0,1,0,0,0,0
notdienstvereinbarungen,1,0,0,1,0,0,0
one,1,0,1,0,0,0,0
logistik,1,0,0,0,0,0,1
million,1,0,0,0,0,0,1
mein,1,0,0,0,0,0,1
massiv,1,0,0,1,0,0,0
lösung,1,0,1,0,0,0,0
lust,1,0,0,0,0,0,1
lohnen,1,1,0,0,0,0,0
logisch,1,0,0,0,1,0,0
mining,1,0,1,0,0,0,0
lockdown,1,0,0,0,1,0,0
link,1,0,0,0,0,0,1
lines,1,0,1,0,0,0,0
lieferservice,1,0,0,0,0,0,1
lieben,1,0,0,0,0,1,0
lesen,1,0,1,0,0,0,0
mindestens,1,0,1,0,0,0,0
mit,1,0,0,0,0,0,1
on,1,0,1,0,0,0,0
nehmen,1,0,0,1,0,0,0
offensichtlich,1,0,0,0,1,0,0
ob,1,0,0,0,0,0,1
nuernberg,1,1,0,0,0,0,0
rein,1,0,1,0,0,0,0
north,1,0,1,0,0,0,0
neu,1,0,0,0,0,0,1
nachricht,1,0,0,0,0,0,1
mitte,1,0,0,0,0,0,1
måneskin,1,0,0,1,0,0,0
must,1,0,1,0,0,0,0
modernisierung,1,0,0,0,0,0,1
modellprojekten,1,0,0,0,0,0,1
mobilität,1,0,0,0,0,0,1
miv,1,0,0,0,0,0,1
reden,1,0,0,0,1,0,0
schulgärten,1,1,0,0,0,0,0
rente,1,0,0,1,0,0,0
transportation,1,0,0,0,0,0,1
warum,1,0,0,0,1,0,0
warten,1,0,1,0,0,0,0
vorbei,1,0,1,0,0,0,0
vivantes,1,0,0,1,0,0,0
veränderung,1,0,1,0,0,0,0
verstärken,1,0,0,1,0,0,0
verkehren,1,0,0,0,0,0,1
unterwegs,1,0,1,0,0,0,0
unterstützung,1,0,1,0,0,0,0
union,1,0,1,0,0,0,0
umsetzen,1,0,0,0,0,0,1
umgestaltung,1,1,0,0,0,0,0
umgang,1,0,1,0,0,0,0
uhr,1,0,1,0,0,0,0
typisch,1,0,0,1,0,0,0
waxing,1,0,0,1,0,0,0
wedge,1,0,1,0,0,0,0
weg,1,0,0,0,0,0,1
zeit,1,0,0,1,0,0,0
öpnv,1,0,0,0,0,0,1
zwingen,1,0,0,0,1,0,0
zivil,1,0,0,1,0,0,0
zielen,1,0,0,0,0,0,1
ziel,1,1,0,0,0,0,0
zeitgenossen,1,0,0,0,0,0,1
zahlen,1,0,0,1,0,0,0
weise,1,0,0,0,0,0,1
wunderbar,1,0,0,0,0,0,1
wrack,1,0,1,0,0,0,0
wochenend,1,0,0,0,1,0,0
with,1,0,1,0,0,0,0
wichtig,1,0,1,0,0,0,0
wertschätzung,1,0,1,0,0,0,0
tt,1,0,0,0,0,0,1
transitverkehr,1,0,0,0,0,1,0
revolutionieren,1,0,0,0,0,0,1
tk,1,0,1,0,0,0,0
south,1,0,1,0,0,0,0
sorry,1,0,0,1,0,0,0
so,1,0,0,1,0,0,0
sinnig,1,0,0,0,0,0,1
sicherheitslage,1,0,0,1,0,0,0
sich,1,0,0,0,0,1,0
sein,1,0,0,1,0,0,0
sehr,1,0,1,0,0,0,0
lebensweisen,1,0,1,0,0,0,0
schonen,1,0,1,0,0,0,0
schlecht,1,0,0,1,0,0,0
schick,1,0,0,1,0,0,0
räumen,1,1,0,0,0,0,0
roh,1,0,1,0,0,0,0
riester,1,0,1,0,0,0,0
sozialismus,1,0,0,0,1,0,0
spannend,1,0,0,0,0,0,1
spezlwirtschaft,1,0,1,0,0,0,0
tagdesgartens,1,1,0,0,0,0,0
tino,1,0,0,0,1,0,0
the,1,0,1,0,0,0,0
teuro,1,1,0,0,0,0,0
tegel,1,1,0,0,0,0,0
tarifverhandlungen,1,0,0,1,0,0,0
taliban,1,0,0,1,0,0,0
südring,1,0,0,0,0,1,0
st,1,1,0,0,0,0,0
süden,1,0,0,0,0,0,1
struggle,1,0,1,0,0,0,0
stolz,1,1,0,0,0,0,0
stand,1,0,0,1,0,0,0
stadtkind,1,1,0,0,0,0,0
stadtgärten,1,1,0,0,0,0,0
leonhard,1,1,0,0,0,0,0
kreislaufwirtschaft,1,0,1,0,0,0,0
lebendig,1,0,0,0,0,0,1
buchen,1,0,1,0,0,0,0
dresden,1,0,0,0,1,0,0
digitalisierung,1,0,0,0,0,0,1
denken,1,0,0,0,0,0,1
denke,1,0,0,0,0,0,1
demo,1,0,0,0,1,0,0
dem,1,0,0,0,0,0,1
decline,1,0,1,0,0,0,0
decken,1,0,0,0,0,0,1
climatecrisis,1,0,1,0,0,0,0
chrupalla,1,0,0,0,1,0,0
charité,1,0,0,1,0,0,0
bürger,1,0,1,0,0,0,0
by,1,0,1,0,0,0,0
but,1,0,1,0,0,0,0
bundessprecher,1,0,0,0,1,0,0
dringen,1,0,0,1,0,0,0
driving,1,0,1,0,0,0,0
drought,1,0,1,0,0,0,0
empfehlen,1,0,1,0,0,0,0
erklärung,1,0,0,0,1,0,0
erhalten,1,1,0,0,0,0,0
erfinden,1,0,0,0,1,0,0
entwickeln,1,0,1,0,0,0,0
entlasten,1,0,0,0,0,1,0
engagement,1,0,1,0,0,0,0
eltern,1,1,0,0,0,0,0
durchsetzen,1,0,0,0,1,0,0
einwirken,1,0,0,1,0,0,0
einsatz,1,1,0,0,0,0,0
eine,1,1,0,0,0,0,0
eignen,1,0,1,0,0,0,0
eigentlich,1,0,0,0,1,0,0
dünzel,1,0,0,0,1,0,0
bundesförderprogramms,1,1,0,0,0,0,0
bringen,1,0,0,0,0,0,1
euro,1,0,0,0,0,0,1
brauchen,1,0,1,0,0,0,0
anpassung,1,1,0,0,0,0,0
angriff,1,0,0,1,0,0,0
and,1,0,1,0,0,0,0
altersvorsorge,1,0,1,0,0,0,0
alles,1,0,0,0,0,0,1
akademisch,1,0,0,0,0,0,1
agricultural,1,0,1,0,0,0,0
afghanistan,1,0,0,1,0,0,0
abschiebestopp,1,0,0,1,0,0,0
abscheiden,1,0,1,0,0,0,0
aber,1,0,0,1,0,0,0
52,1,0,0,0,0,0,1
342,1,1,0,0,0,0,0
2009,1,0,0,1,0,0,0
2000,1,1,0,0,0,0,0
anschauen,1,0,0,0,0,0,1
anwendung,1,0,1,0,0,0,0
artificial,1,0,0,0,0,0,1
behaupten,1,0,0,0,1,0,0
blockieren,1,0,0,1,0,0,0
bitte,1,0,0,1,0,0,0
bisschen,1,0,0,1,0,0,0
biggest,1,0,1,0,0,0,0
bestellen,1,0,0,0,0,0,1
beschleunigen,1,0,0,0,0,0,1
beginnen,1,0,0,1,0,0,0
auf,1,0,1,0,0,0,0
befinden,1,0,0,1,0,0,0
bedarf,1,0,0,1,0,0,0
be,1,0,1,0,0,0,0
baustoffen,1,0,1,0,0,0,0
aufzeichnung,1,0,0,1,0,0,0
aufs,1,0,0,0,0,0,1
esc2021,1,0,0,1,0,0,0
europe,1,0,1,0,0,0,0
lastenrad,1,0,0,0,0,0,1
hipster,1,0,0,1,0,0,0
klassiker,1,0,0,0,1,0,0
kindheitserfahrungen,1,1,0,0,0,0,0
kapitalmarkt,1,0,1,0,0,0,0
jürgen,1,0,1,0,0,0,0
jeweils,1,0,1,0,0,0,0
jetzt,1,0,0,0,0,0,1
into,1,0,1,0,0,0,0
intelligence,1,0,0,0,0,0,1
innerstädtisches,1,0,1,0,0,0,0
innenstädte,1,0,0,0,0,0,1
innenring,1,0,0,0,0,1,0
innen,1,0,1,0,0,0,0
in,1,0,1,0,0,0,0
impact,1,0,1,0,0,0,0
illusion,1,0,1,0,0,0,0
kleingarten,1,1,0,0,0,0,0
klima,1,0,0,0,0,0,1
klimaanpassung,1,0,0,0,0,0,1
17,1,0,1,0,0,0,0
lanz,1,0,0,0,1,0,0
lane,1,0,0,0,0,0,1
landesvorsitzender,1,0,0,0,1,0,0
landesvorsitzende,1,0,0,0,1,0,0
land,1,0,1,0,0,0,0
kronawitter,1,0,1,0,0,0,0
krankenhäuser,1,0,0,1,0,0,0
klimawandel,1,1,0,0,0,0,0
krankenhaus,1,0,0,1,0,0,0
korrektheit,1,0,0,0,0,0,1
konferenz,1,0,1,0,0,0,0
kommt,1,0,1,0,0,0,0
klug,1,0,0,0,0,0,1
klingt,1,0,0,1,0,0,0
hoch,1,0,0,1,0,0,0
