hashtag,total,CDUCSU,GRUENE,LINKE,AFD,SPD,FDP
#pestizide,12,0,6,6,0,0,0
#landwirtschaft,12,2,0,2,8,0,0
#afd,8,0,0,0,8,0,0
#bundestag,8,3,2,1,2,0,0
#landschafftverbindung,7,0,0,0,7,0,0
#eu,6,0,1,4,1,0,0
#demolandwirte,6,0,0,0,6,0,0
#landwirte,5,3,0,0,1,0,1
#insektenschutzgesetz,5,3,0,0,1,1,0
#giftexportestoppen,3,0,1,2,0,0,0
#umwelt,2,0,0,2,0,0,0
#havelland,2,2,0,0,0,0,0
#savethebees,2,0,2,0,0,0,0
#giftexporte,2,0,0,2,0,0,0
#fürsieda,2,2,0,0,0,0,0
#steineke,2,2,0,0,0,0,0
#exportverbot,2,0,2,0,0,0,0
#basf,2,0,0,2,0,0,0
#bayer,2,0,0,2,0,0,0
#landwirten,2,0,0,0,2,0,0
#dielinke,2,0,0,2,0,0,0
#livedabei,2,2,0,0,0,0,0
#wernikow,2,2,0,0,0,0,0
#btw21,2,1,0,1,0,0,0
#weltbienentag,2,0,2,0,0,0,0
#deutschland,2,0,0,1,1,0,0
#bundesregierung,2,1,1,0,0,0,0
#röttgen,1,1,0,0,0,0,0
#neuruppin,1,1,0,0,0,0,0
#savebeesandfarmers,1,0,1,0,0,0,0
#sascharaabe,1,0,1,0,0,0,0
#ruhetag,1,1,0,0,0,0,0
#roettgang,1,1,0,0,0,0,0
#niedersächsischenweg,1,0,0,0,0,1,0
#rettetdiebienen,1,0,0,1,0,0,0
#personenbeförderungsrecht,1,1,0,0,0,0,0
#pestiziden,1,0,0,1,0,0,0
#pestizid,1,0,0,1,0,0,0
#schafe,1,0,0,0,1,0,0
#sofortprogramm,1,0,1,0,0,0,0
#schnee,1,0,0,0,1,0,0
#talentschulen,1,0,0,0,0,0,1
#worldbeeday,1,0,1,0,0,0,0
#wartburgkreis,1,1,0,0,0,0,0
#wahlkreis,1,0,0,0,1,0,0
#vogtland,1,1,0,0,0,0,0
#verbot,1,0,0,1,0,0,0
#transformation,1,0,1,0,0,0,0
#teamröttgen,1,1,0,0,0,0,0
#tagderbienen,1,0,0,1,0,0,0
#schweiz,1,0,0,1,0,0,0
#südafrika,1,0,0,1,0,0,0
#spd,1,0,0,0,0,1,0
#sommertour2021,1,1,0,0,0,0,0
#sommertour,1,1,0,0,0,0,0
#mpk,1,1,0,0,0,0,0
#sitzungswoche,1,1,0,0,0,0,0
#siemachenunssatt,1,0,0,0,0,0,1
#naturschutzgesetz,1,1,0,0,0,0,0
#berlin,1,0,0,0,1,0,0
#mittelmeer,1,0,0,0,1,0,0
#einlandfährthoch,1,0,0,0,0,0,1
#freihandelsabkommen,1,0,0,1,0,0,0
#frankreich,1,0,0,1,0,0,0
#flächenversiegelung,1,0,0,1,0,0,0
#fdpwählen,1,0,0,0,0,0,1
#exportstopp,1,0,0,1,0,0,0
#europa,1,0,0,1,0,0,0
#ernährung,1,0,0,0,0,0,1
#doppelstandard,1,0,1,0,0,0,0
#mercosur,1,0,0,1,0,0,0
#cduvorsitz,1,1,0,0,0,0,0
#bürokratieabbau,1,0,0,0,0,0,1
#bundestagsdebatte,1,0,1,0,0,0,0
#bayern,1,0,0,1,0,0,0
#bundesministerin,1,1,0,0,0,0,0
#brandner,1,0,0,0,1,0,0
#bm,1,1,0,0,0,0,0
#gap,1,1,0,0,0,0,0
#gesundheit,1,0,0,1,0,0,0
#glyphosat,1,0,1,0,0,0,0
#grünhagen,1,1,0,0,0,0,0
#menschenleben,1,0,0,1,0,0,0
#ländlichenraum,1,1,0,0,0,0,0
#lkr,1,0,0,0,1,0,0
#bienen,1,0,0,1,0,0,0
#afghanistan,1,1,0,0,0,0,0
#kühekraulen,1,1,0,0,0,0,0
#kühe,1,1,0,0,0,0,0
#kälber,1,0,0,0,1,0,0
#kälbchen,1,0,0,0,1,0,0
#koalition,1,0,1,0,0,0,0
#klimawandel,1,0,0,1,0,0,0
#jetztvoran,1,1,0,0,0,0,0
#jahnberge,1,1,0,0,0,0,0
#insektenschutz,1,1,0,0,0,0,0
#infrastruktur,1,0,0,0,0,0,1
#wulkow,1,1,0,0,0,0,0
