hashtag,total,CDUCSU,GRUENE,LINKE,AFD,SPD,FDP
#pflege,205,27,87,40,0,47,4
#rente,170,24,11,81,17,12,25
#corona,136,13,30,56,9,19,9
#mindestlohn,112,1,8,63,3,32,5
#bundestag,97,22,18,21,11,19,6
#btw21,81,1,16,53,3,4,4
#armut,79,0,17,36,1,15,10
#triell,73,5,24,7,1,22,14
#hartziv,68,0,14,36,0,0,18
#spd,65,4,0,19,2,28,12
#cdu,52,10,7,20,5,8,2
#afd,47,0,0,0,45,2,0
#fdp,47,0,1,17,1,2,26
#linke,42,1,0,40,0,0,1
#homeoffice,40,3,21,6,0,8,2
#bundesregierung,39,1,2,23,8,0,5
#scholz,39,5,7,17,0,5,5
#laschet,37,0,12,17,3,3,2
#aktienrente,37,0,0,1,0,0,36
#klimaschutz,33,2,11,9,0,8,3
#frauenquote,32,2,11,3,6,8,2
#grundsicherung,30,2,7,8,1,7,5
#renten,27,2,2,14,6,3,0
#gesundheit,26,3,9,11,0,3,0
#tarifvertrag,26,0,4,10,0,12,0
#kindergrundsicherung,26,0,15,7,0,4,0
#groko,25,1,2,16,0,4,2
#scholzpacktdasan,25,0,0,0,0,25,0
#coronakrise,25,1,4,20,0,0,0
#afghanistan,25,1,6,8,3,5,2
#altersarmut,25,0,0,18,3,2,2
#pandemie,24,6,5,7,0,5,1
#grundeinkommen,24,0,9,12,0,1,2
#lockdown,24,4,4,6,5,2,3
#bildung,24,4,3,12,1,3,1
#pflegewoche,23,0,23,0,0,0,0
#wirecard,22,5,3,12,0,1,1
#1mai,22,1,3,10,0,7,1
#allesistdrin,21,0,21,0,0,0,0
#rentemit68,20,2,0,10,1,3,4
#cdurausausderregierung,20,0,0,20,0,0,0
#baerbock,19,2,5,2,8,1,1
#spahn,19,0,1,13,0,5,0
#digitalisierung,19,6,6,3,0,2,2
#arbeit,19,0,1,12,1,4,1
#löhne,18,0,1,14,0,3,0
#machtdaslandgerecht,18,0,0,18,0,0,0
#berlin,17,3,2,4,6,0,2
#dbdk21,17,1,15,0,1,0,0
#kinderbonus,17,5,0,2,0,10,0
#doppelbesteuerung,17,3,0,4,4,1,5
#arbeitsschutz,17,1,1,12,0,3,0
#arbeitsmarkt,17,0,3,1,3,4,6
#respekt,16,0,0,0,0,16,0
#linksrutsch,15,0,0,15,0,0,0
#hartz4,15,0,3,7,0,0,5
#deutschland,15,2,1,2,6,3,1
#fdpbt,15,0,0,0,0,0,15
#merz,15,0,2,11,0,2,0
#merkel,15,0,3,9,2,0,1
#dielinke,15,0,0,15,0,0,0
#vielzutun,15,0,0,0,0,0,15
#pflegenotstand,15,0,2,10,0,3,0
#ausbildung,14,5,2,3,0,2,2
#covid19,14,1,1,10,0,2,0
#assange,14,0,2,12,0,0,0
#btw2021,14,0,3,11,0,0,0
#mietendeckel,14,1,0,12,0,0,1
#tagderarbeit,14,2,3,6,0,3,0
#tarifbindung,14,0,5,4,0,5,0
#nrw,14,2,2,2,1,5,2
#frauen,13,1,6,2,0,2,2
#mindestlohnbetrug,13,0,0,13,0,0,0
#gema1nsam,13,0,0,0,0,13,0
#solidarität,13,0,2,4,0,7,0
#tagderpflege,13,2,3,5,0,3,0
#wegenmorgen,13,9,1,3,0,0,0
#mitbestimmung,13,5,2,2,0,4,0
#bafög,13,0,9,2,0,1,1
#lieferkettengesetz,12,0,2,2,0,8,0
#bge,12,0,0,8,0,1,3
#gerechtigkeit,12,0,4,7,0,1,0
#kinder,12,4,1,2,0,2,3
#garantiesicherung,12,0,10,0,0,0,2
#thewsdirekt,12,0,0,0,0,12,0
#pflegestärken,12,0,12,0,0,0,0
#grüne,12,1,6,3,1,1,0
#usa,12,2,2,4,0,2,2
#gewerkschaften,12,0,3,7,0,2,0
#union,11,2,0,3,0,6,0
#zukunft,11,6,3,0,0,2,0
#afdimbundestag,11,0,0,0,11,0,0
#cducsu,11,3,3,2,0,3,0
#koalitionsausschuss,11,6,1,2,0,2,0
#equalpayday,11,1,2,5,0,3,0
#ungleichheit,11,0,2,5,0,4,0
#riester,11,0,2,7,1,1,0
#amazon,11,0,0,9,0,2,0
#allesdichtmachen,11,0,0,6,2,0,3
#kinderarmut,11,0,5,5,0,1,0
#infektionsschutzgesetz,10,3,2,4,1,0,0
#wohnen,10,1,2,5,0,2,0
#vermögensabgabe,10,0,0,10,0,0,0
#bundestagswahl,10,1,3,6,0,0,0
#tagderpflegenden,10,0,7,2,0,1,0
#karliczek,9,0,8,1,0,0,0
#altenpflege,9,1,2,1,0,5,0
#csu,9,1,4,1,0,3,0
#bundeswehr,9,1,0,7,0,1,0
#bonn,9,1,8,0,0,0,0
#bayern,9,0,1,7,0,1,0
#bpt21,8,0,0,0,0,0,8
#bahnstreik,8,0,0,7,0,0,1
#impfen,8,1,1,0,1,3,2
#gleichstellung,8,0,5,1,0,2,0
#olafscholz,8,1,0,1,0,6,0
#gleichberechtigung,8,0,4,1,0,3,0
#pflegepersonal,8,0,6,1,0,1,0
#weltfrauentag,8,1,1,3,0,1,2
#mieten,8,0,0,8,0,0,0
#dresden,8,0,1,7,0,0,0
#gastronomie,8,4,0,0,0,0,4
#grundrente,7,0,0,0,0,6,1
#rlp,7,0,0,6,0,0,1
#klimagerechtigkeit,7,0,0,7,0,0,0
#coronazuschlag,7,0,0,2,0,5,0
#bezos,7,0,0,6,0,1,0
#frauentag,7,0,2,2,0,3,0
#bahn,7,0,1,4,0,1,1
#impfung,7,1,0,1,4,0,1
#dvpmg,7,6,1,0,0,0,0
#leipzig,7,1,0,5,0,1,0
#enqueteberuflichebildung,7,7,0,0,0,0,0
#biden,7,0,1,3,0,3,0
#familien,7,2,0,2,1,2,0
#vivantes,7,2,0,3,1,0,1
#gruene,7,0,3,3,0,0,1
#eu,7,1,2,1,1,1,1
#sozialepolitikfürdich,7,0,0,0,0,7,0
#verdi,6,0,0,4,0,2,0
#r2g,6,0,0,3,1,0,2
#ganztagsbetreuung,6,2,0,0,0,4,0
#freitagumeins,6,0,0,6,0,0,0
#freiheit,6,0,0,1,2,0,3
#ltwbw21,6,2,1,2,0,0,1
#jetzt,6,0,0,6,0,0,0
#coronavirus,6,1,0,3,2,0,0
#heil,6,1,0,4,0,1,0
#einzelhandel,6,1,0,4,0,0,1
#rentenniveau,6,0,2,1,1,2,0
#zusammenhalt,6,0,2,0,1,3,0
#tarifverträge,6,0,0,4,0,2,0
#hartz,6,0,1,2,0,2,1
#kretschmann,6,2,1,2,0,1,0
#kurzarbeit,6,0,1,2,0,2,1
#testpflicht,6,0,1,0,0,2,3
#mpk,6,0,2,3,0,0,1
#grünen,6,1,1,0,1,1,2
#annewill,6,1,0,4,0,1,0
#inklusion,6,0,0,4,0,2,0
#sozialismus,6,1,0,2,2,0,1
#arbeitsplätze,6,0,0,5,1,0,0
#nichtselbstverstaendlich,6,0,2,1,0,3,0
#sozialwende,6,0,0,0,0,6,0
#neuelinkemehrheiten,6,0,0,6,0,0,0
#linkebpt,6,0,0,6,0,0,0
#klimakrise,5,0,1,3,0,1,0
#tariflöhne,5,0,0,0,0,5,0
#söder,5,0,1,2,1,0,1
#klima,5,2,1,1,0,1,0
#julianassange,5,0,0,5,0,0,0
#ffp2masken,5,0,2,2,0,1,0
#taliban,5,0,1,3,1,0,0
