,AFD,CDUCSU,FDP,GRUENE,LINKE,SPD,AFD - norm,CDUCSU - norm,FDP - norm,GRUENE - norm,LINKE - norm,SPD - norm
2021-01-01,,,,,,,,,,,,
2021-01-02,,,,,,,,,,,,
2021-01-03,,,,,,,,,,,,
2021-01-04,,,,,,,,,,,,
2021-01-05,,,,,,,,,,,,
2021-01-06,,,,,,,,,,,,
2021-01-07,,,,,,,,,,,,
2021-01-08,,,,,,,,,,,,
2021-01-09,,,,,,,,,,,,
2021-01-10,,,,,,,,,,,,
2021-01-11,,,,,,,,,,,,
2021-01-12,,,,,,,,,,,,
2021-01-13,,,,,,,,,,,,
2021-01-14,,,,,,,,,,,,
2021-01-15,,,,,,,,,,,,
2021-01-16,,,,,,,,,,,,
2021-01-17,,,,,,,,,,,,
2021-01-18,,,,,,,,,,,,
2021-01-19,,,,,,,,,,,,
2021-01-20,,,,,,,,,,,,
2021-01-21,,,,,,,,,,,,
2021-01-22,,,,,,,,,,,,
2021-01-23,,,,,,,,,,,,
2021-01-24,,,,,,,,,,,,
2021-01-25,,,,,,,,,,,,
2021-01-26,,,,,,,,,,,,
2021-01-27,,,,,,,,,,,,
2021-01-28,,,,,,,,,,,,
2021-01-29,,,,,,,,,,,,
2021-01-30,1.5,2.2333333333333334,2.6,3.3,4.366666666666666,3.466666666666667,0.01900488725130903,0.015923544934021535,0.014873916477890188,0.024282610021316497,0.030175281760057075,0.027164742221653857
2021-01-31,1.4666666666666666,2.3,2.6,3.2666666666666666,4.366666666666666,3.6333333333333333,0.018387603300691745,0.0169652116006882,0.014659491526623132,0.023381709120415595,0.030241735773879508,0.029222355390378135
2021-02-01,1.4333333333333333,2.3666666666666667,2.6333333333333333,3.3666666666666667,4.433333333333334,3.6333333333333333,0.018225416090311766,0.017809093457228288,0.0146737866348371,0.02361630724363061,0.030714549012650194,0.02898927844168836
2021-02-02,1.3,2.4,2.7,3.3666666666666667,4.566666666666666,3.6666666666666665,0.016656788639331375,0.01827992846414577,0.015106687067737535,0.023172246555336545,0.03159174199510633,0.02901776847017839
2021-02-03,1.2666666666666666,2.4,2.7,3.3333333333333335,4.6,3.6333333333333333,0.016326755636031046,0.01828731617100156,0.015179856014836386,0.02248829509013508,0.03178890111147502,0.028573324025733943
2021-02-04,1.2333333333333334,2.4,2.7666666666666666,3.3333333333333335,4.666666666666667,3.6666666666666665,0.016315362221424688,0.01842620505989045,0.01571267783921831,0.022759486369194473,0.03225925261748017,0.028687663546853127
2021-02-05,1.2,1.8333333333333333,2.1666666666666665,2.7,4.333333333333333,3.0,0.016016576040285564,0.01565011795635356,0.014620723816229806,0.02043055479656542,0.031068095765945967,0.025726735585925163
2021-02-06,1.2,1.7,2.033333333333333,2.5,3.7,2.6333333333333333,0.016016576040285564,0.014683934381474332,0.014061152196417221,0.01962927274528337,0.026673539122104413,0.024139433998623578
2021-02-07,1.2,1.6,1.8666666666666667,2.3666666666666667,3.566666666666667,2.6,0.01617602328982051,0.014068993766533719,0.01275906886308389,0.018660611776622402,0.02578206625388736,0.023856948122917367
2021-02-08,1.0333333333333334,1.6666666666666667,1.8,2.4,3.4,2.433333333333333,0.014821009739685009,0.01484418756498333,0.011602649285611681,0.01888479235794584,0.02423878384103973,0.022048056962978683
2021-02-09,1.0,1.7333333333333334,1.8,2.533333333333333,3.3333333333333335,2.5,0.014688248301776513,0.015601763322559086,0.011602649285611681,0.01976779456545136,0.02288743248968838,0.022480816889409498
2021-02-10,0.8666666666666667,1.7666666666666666,1.6333333333333333,2.566666666666667,3.2,2.4,0.013124196663246225,0.01563001789626821,0.010403608518225589,0.019360387158043953,0.02179616264841854,0.021556091282288244
2021-02-11,0.8,1.6333333333333333,1.6,2.533333333333333,3.2,2.6333333333333333,0.012223295762345324,0.014764217030467342,0.010173723460754324,0.018975663980383372,0.021285409960246495,0.023143392869589833
2021-02-12,0.7333333333333333,1.6,1.5666666666666667,2.5,3.2666666666666666,2.7,0.011032819571869135,0.014557177692993221,0.010134648651401578,0.018728750400136458,0.021993944581824593,0.02349623557128322
2021-02-13,0.8333333333333334,1.6,1.5333333333333334,2.433333333333333,3.3,2.7333333333333334,0.012851001390050954,0.01457296052127605,0.010121203273250317,0.01850966568738086,0.02277117501422744,0.02425806737244086
2021-02-14,0.7333333333333333,1.6,1.5333333333333334,2.3666666666666667,3.3333333333333335,2.7,0.01151766805671762,0.014754567087206258,0.010121203273250317,0.018065221242936413,0.023557399835539984,0.023887697002070492
2021-02-15,0.6666666666666666,1.6333333333333333,1.5,2.466666666666667,3.2666666666666666,2.7333333333333334,0.010996834723384287,0.015627900151407675,0.009831348200786549,0.018958078385793557,0.0235433054028409,0.0242752939012953
2021-02-16,0.6333333333333333,1.6,1.5333333333333334,2.566666666666667,3.3333333333333335,2.8333333333333335,0.010401596628146192,0.015627900151407675,0.010061233258257814,0.01985253276862003,0.024154260246623982,0.02523683236283376
2021-02-17,0.6,1.5333333333333334,1.4666666666666666,2.466666666666667,3.466666666666667,2.8666666666666667,0.010009439765401093,0.015155086912636988,0.009712193118641759,0.019026086487628293,0.025236533359431445,0.025455213187418706
2021-02-18,0.5666666666666667,1.5666666666666667,1.5333333333333334,2.566666666666667,3.3,2.8333333333333335,0.009533249289210618,0.016023721914776485,0.010168367768364795,0.020139717125068457,0.024258295713306243,0.025161958055453897
2021-02-19,0.5333333333333333,1.5333333333333334,1.3666666666666667,2.2,3.1666666666666665,2.4,0.009012415955877285,0.015788642604038155,0.009627495681825261,0.017970091878520132,0.023454337766491154,0.022311080862471442
2021-02-20,0.5,1.4666666666666666,1.4,2.1333333333333333,2.966666666666667,2.3333333333333335,0.00841717786063919,0.014763951246013462,0.010144291547458335,0.017409168636437475,0.02196180045305832,0.021736184663174087
2021-02-21,0.5,1.4666666666666666,1.4333333333333333,2.066666666666667,2.6666666666666665,2.2333333333333334,0.00841717786063919,0.01481191632743419,0.010959183603226305,0.017137112670638794,0.020098446415791237,0.02076531087676632
2021-02-22,0.4666666666666667,1.5,1.3666666666666667,2.1,2.7,2.3666666666666667,0.007736905751795652,0.015248697936629592,0.010218442862485565,0.017591028750345013,0.02038239703307519,0.0221258550944534
2021-02-23,0.43333333333333335,1.6333333333333333,1.4,2.1333333333333333,2.7666666666666666,2.4,0.007604630619520519,0.01648326583786416,0.010415681521262684,0.01801837917769544,0.02085984848549053,0.022382265350863653
2021-02-24,0.4,1.8333333333333333,1.3666666666666667,2.1333333333333333,2.8,2.3666666666666667,0.007246207680452419,0.019080668435266755,0.010241389582264861,0.01799386136141561,0.020995415223387173,0.02199265496125326
2021-02-25,0.4,1.7,1.3333333333333333,2.1,2.7333333333333334,2.4,0.007246207680452419,0.018181927968180966,0.010090560019670593,0.017748763322199924,0.02072619619964768,0.022072621291219594
