hashtag,total,CDUCSU,GRUENE,LINKE,AFD,SPD,FDP
#corona,94,21,14,39,2,12,6
#solidarität,72,6,17,22,1,23,3
#cdu,65,23,16,15,4,7,0
#bundestag,55,11,15,9,11,8,1
#linke,47,2,1,42,0,1,1
#spd,47,8,10,3,3,21,2
#klimaschutz,45,4,18,17,0,6,0
#btw21,43,10,11,12,3,6,1
#afd,38,1,2,0,33,1,1
#afghanistan,37,8,12,5,2,7,3
#pandemie,35,20,3,5,1,5,1
#literaturschneeball,28,6,12,3,0,3,4
#wirecard,27,5,3,15,0,2,2
#berlin,27,6,8,7,3,3,0
#eu,27,7,5,2,1,6,6
#merkel,26,2,4,10,6,0,4
#bundesregierung,24,0,8,6,7,1,2
#noafd,23,6,0,15,0,1,1
#laschet,22,3,6,5,3,4,1
#wegenmorgen,22,21,0,1,0,0,0
#usa,22,9,4,7,0,1,1
#bundeswehr,22,11,2,2,0,1,6
#covid19,20,4,9,5,0,0,2
#linkebpt,19,0,0,19,0,0,0
#europa,17,4,4,3,0,4,2
#csu,17,2,6,3,0,3,3
#habeck,16,1,9,5,1,0,0
#danke,15,4,1,3,3,2,2
#lockdown,15,2,4,4,4,0,1
#belarus,14,1,6,0,0,5,2
#cdurausausderregierung,14,0,0,14,0,0,0
#cdupt21,14,13,0,0,0,0,1
#demokratie,13,1,2,3,1,3,3
#scholz,13,2,4,4,1,1,1
#freiheit,13,1,4,0,0,0,8
#menschenrechte,13,1,3,3,0,6,0
#bonn,12,0,12,0,0,0,0
#israel,12,2,2,0,2,2,4
#allesistdrin,12,0,12,0,0,0,0
#lieferkettengesetz,12,3,2,2,0,4,1
#kinder,12,1,4,0,1,6,0
#vertrauen,12,7,0,0,0,3,2
#fdp,12,0,4,2,0,0,6
#antifa,11,0,0,7,4,0,0
#machtdaslandgerecht,11,0,0,11,0,0,0
#unteilbar,11,0,1,9,0,1,0
#biden,10,2,0,4,1,3,0
#impfstoff,10,2,2,5,0,1,0
#verfassungsschutz,10,0,0,7,3,0,0
#deutschland,10,4,1,0,2,1,2
#klimagerechtigkeit,10,0,0,10,0,0,0
#gesundheit,9,1,1,6,0,0,1
#impfen,9,1,3,1,0,2,2
#dielinke,9,0,0,7,0,0,2
#dwenteignen,9,0,1,8,0,0,0
#grundgesetz,9,1,2,3,0,2,1
#thw,9,5,1,0,0,3,0
#astrazeneca,9,2,1,0,0,2,4
#trump,9,0,1,3,0,5,0
#kretschmann,9,0,6,1,0,2,0
#union,9,3,3,3,0,0,0
#klima,9,1,6,1,0,1,0
#spahn,9,0,1,4,2,0,2
#btw2021,9,0,2,5,1,1,0
#türkei,8,0,2,3,0,3,0
#klimakrise,8,0,7,1,0,0,0
#wahlkampf,8,1,2,4,0,0,1
#coronakrise,8,2,2,2,0,1,1
#transparenz,8,2,3,0,0,3,0
#pflege,8,1,3,2,0,2,0
#groko,8,0,1,3,1,3,0
#leipzig,8,1,0,7,0,0,0
#flutkatastrophe,8,1,3,1,1,2,0
#kiel,8,0,0,6,0,2,0
#rassismus,8,0,0,6,0,2,0
#impfung,8,1,3,3,0,0,1
#mietenwahnsinn,8,0,1,7,0,0,0
#zerocovid,8,0,0,8,0,0,0
#1mai,8,2,0,5,0,1,0
#klimapolitik,7,0,4,3,0,0,0
#lanz,7,3,0,3,0,0,1
#nato,7,0,0,4,0,2,1
#hanau,7,2,1,2,0,1,1
#ltwbw21,7,0,4,1,0,1,1
#frauen,7,3,3,1,0,0,0
#digitalisierung,7,1,4,0,0,2,0
#triell,7,1,6,0,0,0,0
#pressefreiheit,7,1,1,2,0,2,1
#mietendeckel,7,0,0,4,0,0,3
#bundestagswahl,7,2,1,1,0,2,1
#politik,6,1,3,0,0,2,0
#landesvater,6,6,0,0,0,0,0
#merz,6,1,1,4,0,0,0
#grüne,6,1,2,1,1,1,0
#hartziv,6,0,1,3,0,2,0
#china,6,4,2,0,0,0,0
#kinderrechte,6,0,5,0,0,1,0
#istanbulkonvention,6,1,2,2,0,1,0
#leavenoonebehind,6,0,1,5,0,0,0
