,AFD,CDUCSU,FDP,GRUENE,LINKE,SPD,AFD - norm,CDUCSU - norm,FDP - norm,GRUENE - norm,LINKE - norm,SPD - norm
2021-01-01,,,,,,,,,,,,
2021-01-02,,,,,,,,,,,,
2021-01-03,,,,,,,,,,,,
2021-01-04,,,,,,,,,,,,
2021-01-05,,,,,,,,,,,,
2021-01-06,,,,,,,,,,,,
2021-01-07,,,,,,,,,,,,
2021-01-08,,,,,,,,,,,,
2021-01-09,,,,,,,,,,,,
2021-01-10,,,,,,,,,,,,
2021-01-11,,,,,,,,,,,,
2021-01-12,,,,,,,,,,,,
2021-01-13,,,,,,,,,,,,
2021-01-14,,,,,,,,,,,,
2021-01-15,,,,,,,,,,,,
2021-01-16,,,,,,,,,,,,
2021-01-17,,,,,,,,,,,,
2021-01-18,,,,,,,,,,,,
2021-01-19,,,,,,,,,,,,
2021-01-20,,,,,,,,,,,,
2021-01-21,,,,,,,,,,,,
2021-01-22,,,,,,,,,,,,
2021-01-23,,,,,,,,,,,,
2021-01-24,,,,,,,,,,,,
2021-01-25,,,,,,,,,,,,
2021-01-26,,,,,,,,,,,,
2021-01-27,,,,,,,,,,,,
2021-01-28,,,,,,,,,,,,
2021-01-29,,,,,,,,,,,,
2021-01-30,1.1666666666666667,1.6,3.2,3.066666666666667,2.9,2.066666666666667,0.014349638140409592,0.01222352636800675,0.020596647942532315,0.025080189647576957,0.019660834530727027,0.01734906771778057
2021-01-31,1.2,1.5666666666666667,3.3,3.1,2.8666666666666667,2.033333333333333,0.015029910249253129,0.011831369505261652,0.021707759053643427,0.024814209381596692,0.019222238039498955,0.016851555279969625
2021-02-01,1.1333333333333333,1.6666666666666667,3.3,3.2,2.8666666666666667,2.1333333333333333,0.014226697397847507,0.013097192290071778,0.021707759053643427,0.025589403180046308,0.018851169421729555,0.01732769818943588
2021-02-02,1.1333333333333333,1.6333333333333333,3.3,3.066666666666667,2.7666666666666666,2.066666666666667,0.014226697397847507,0.01288074207362156,0.02106539066933956,0.023377323084655493,0.017695897220608197,0.016472997334735024
2021-02-03,1.0333333333333334,1.6333333333333333,3.3333333333333335,3.1333333333333333,2.7333333333333334,2.2666666666666666,0.013236598387946516,0.012888129780477353,0.021349530080573432,0.023474621619454027,0.017504339215499983,0.01786582323149793
2021-02-04,1.0,1.5,3.2,3.1666666666666665,2.5,2.3,0.012982145461737864,0.011777018669366241,0.02135189817757068,0.024025924943331348,0.016220304756592856,0.0178960895753236
2021-02-05,0.8666666666666667,1.4333333333333333,2.8,3.1,2.2666666666666666,2.2,0.01125478785202731,0.011418595730298142,0.020759944154582176,0.024266020981746718,0.015310260922020723,0.0173008514800855
2021-02-06,0.8333333333333334,1.3333333333333333,2.8,3.033333333333333,2.3,2.2666666666666666,0.010733954518693977,0.010693958049138723,0.021003585386175215,0.02412579662277236,0.01571186734772353,0.018359052538286562
2021-02-07,0.7666666666666667,1.3666666666666667,2.7333333333333334,2.933333333333333,2.1666666666666665,2.2,0.009794987382543743,0.011095778450959125,0.020562471440596985,0.02341354591052165,0.014600756236612422,0.017794080786874132
2021-02-08,0.7,1.3333333333333333,2.8,3.066666666666667,2.3,2.2666666666666666,0.009556691896140602,0.011156686535123023,0.02044129763521265,0.024696786479476502,0.015760176526467495,0.018441329977812646
2021-02-09,0.7333333333333333,1.3,2.9,3.2,2.466666666666667,2.3333333333333335,0.010077525229473935,0.010864288874304311,0.019953596193312734,0.024753389185085833,0.017111527877818847,0.018874089904243458
2021-02-10,0.7666666666666667,1.3333333333333333,2.8666666666666667,3.1666666666666665,2.5,2.3333333333333335,0.010706456047083998,0.01089254344801343,0.019344457835549746,0.024049685481382126,0.017276871793162767,0.01870124399637033
2021-02-11,0.8,1.3,2.9,3.1333333333333333,2.6,2.4,0.011400900491528441,0.010701188908832803,0.019092361661414595,0.02374394520774458,0.017776871793162768,0.019145109485828524
2021-02-12,0.7333333333333333,1.2666666666666666,2.8666666666666667,3.1666666666666665,2.566666666666667,2.3,0.010210424301052252,0.010527498189475319,0.019285214752736205,0.02390855426124252,0.01770440802504682,0.01846904226543061
2021-02-13,0.7333333333333333,1.3,2.7666666666666666,3.066666666666667,2.466666666666667,2.1333333333333333,0.010210424301052252,0.010787914856141985,0.018991657329767018,0.023267528620216877,0.017518310597570086,0.01772423463860051
2021-02-14,0.7333333333333333,1.3666666666666667,2.7333333333333334,2.966666666666667,2.3333333333333335,2.066666666666667,0.010210424301052252,0.011377885357616913,0.018870392891077496,0.02293161130755538,0.016695265330080374,0.016983493897859768
2021-02-15,0.7,1.3,2.7333333333333334,3.1666666666666665,2.3333333333333335,2.066666666666667,0.010384035412163362,0.011192184336261294,0.018870392891077496,0.024717325593269668,0.016991248416761136,0.017289204128234266
2021-02-16,0.7,1.4,2.7333333333333334,3.066666666666667,2.3333333333333335,2.0,0.010384035412163362,0.012279140858000423,0.018858732054828953,0.02355453489559525,0.016954954069605708,0.016751095447923754
2021-02-17,0.6333333333333333,1.3,2.7666666666666666,3.1333333333333333,2.3333333333333335,2.033333333333333,0.00969776090235944,0.011569920999844396,0.01906085981929588,0.024112386135264674,0.017019415477578567,0.016916854387066544
2021-02-18,0.6666666666666666,1.1666666666666667,2.7333333333333334,3.0,2.2,2.1,0.010847586686331566,0.01133029755097833,0.018884906740116995,0.023311176762626732,0.016201419567558117,0.017633700265202744
2021-02-19,0.7333333333333333,1.1666666666666667,2.7333333333333334,2.966666666666667,2.1,2.0,0.012236475575220455,0.011357685431841048,0.01909121877312692,0.023228366638712677,0.015572683224536059,0.017158246925972318
2021-02-20,0.7,1.1333333333333333,2.566666666666667,2.966666666666667,2.1666666666666665,2.033333333333333,0.01164123747998236,0.010913240987396605,0.01805762704186077,0.023247153541557552,0.01674183745339178,0.017601839672343727
2021-02-21,0.5333333333333333,1.2,2.533333333333333,3.033333333333333,2.1,2.1,0.00980973564848053,0.011503211488871531,0.01838590109276256,0.024448734057168384,0.01702479121460641,0.018365171598613603
2021-02-22,0.5666666666666667,1.2666666666666666,2.6666666666666665,3.2,2.2,2.1666666666666665,0.010415796254541136,0.012376774707262336,0.018814750995296673,0.02624152196879321,0.01787664306645826,0.01897907569683826
2021-02-23,0.6,1.2,2.7333333333333334,3.2,2.2666666666666666,2.1666666666666665,0.011341722180467062,0.01153289285072225,0.019209228312850914,0.02694841741253076,0.0183540945188736,0.01880258552034808
2021-02-24,0.6333333333333333,1.2333333333333334,2.933333333333333,3.1666666666666665,2.433333333333333,2.2666666666666666,0.011870822709567592,0.011965793283622683,0.020407485393460933,0.026704601350636896,0.01927319104698647,0.019451936169698727
2021-02-25,0.6333333333333333,1.2666666666666666,3.033333333333333,2.8666666666666667,2.433333333333333,2.2333333333333334,0.011870822709567592,0.012266093583922983,0.021593921506367634,0.02449871899769572,0.019362394962315073,0.019115235832998394
