hashtag,total,CDUCSU,GRUENE,LINKE,AFD,SPD,FDP
#bildung,302,43,98,74,10,17,60
#schulen,144,10,75,12,7,12,28
#corona,136,9,26,41,10,15,35
#homeschooling,67,8,15,33,0,4,7
#digitalisierung,66,7,26,10,1,4,18
#karliczek,64,1,41,18,2,1,1
#schule,48,1,9,23,2,5,8
#lockdown,40,0,6,15,3,1,15
#hochschule,36,0,2,32,0,1,1
#kinder,30,4,9,5,5,4,3
#bundestag,30,9,5,5,4,2,5
#btw21,29,3,5,16,1,1,3
#triell,28,2,16,2,1,3,4
#fdp,28,0,4,4,2,1,17
#luftfilter,27,1,11,8,0,0,7
#cdu,27,1,7,10,2,2,5
#bildungsgerechtigkeit,26,0,4,22,0,0,0
#kitas,24,2,10,1,1,4,6
#bafög,24,1,9,11,0,2,1
#pandemie,24,8,7,4,0,4,1
#bundesregierung,23,2,4,13,1,0,3
#covid19,23,2,7,7,3,0,4
#linke,22,0,0,22,0,0,0
#coronakrise,21,0,1,19,0,0,1
#twlz,20,0,4,2,0,0,14
#spd,20,2,1,5,5,5,2
#präsenzunterricht,20,3,4,0,0,0,13
#schüler,20,1,7,1,3,3,5
#homeoffice,17,1,8,7,0,0,1
#bildungspolitik,17,4,4,8,0,1,0
#kretschmann,16,0,3,4,3,2,4
#digitalpakt,16,0,7,1,0,0,8
#digitalebildung,16,1,12,1,0,0,2
#afd,15,1,0,1,13,0,0
#groko,15,0,5,6,0,1,3
#infektionsschutzgesetz,14,0,3,8,0,1,2
#studium,14,0,0,13,0,0,1
#vielzutun,14,0,0,0,0,0,14
#bildungabersicher,14,0,0,14,0,0,0
#wissenschaft,14,1,5,8,0,0,0
#berlin,14,5,1,3,1,2,2
#bayern,14,1,0,12,0,0,1
#familien,13,2,0,2,0,1,8
#hochschulen,13,0,12,0,0,0,1
#klimaschutz,13,1,3,6,0,2,1
#schnelltests,13,0,7,1,1,1,3
#laschet,13,1,6,4,1,0,1
#wisszeitvg,13,1,5,7,0,0,0
#ichbinhanna,13,1,4,8,0,0,0
