,klima,corona,wahlen,wirtschaft
2021-01-01,,,,
2021-01-02,,,,
2021-01-03,,,,
2021-01-04,,,,
2021-01-05,,,,
2021-01-06,,,,
2021-01-07,,,,
2021-01-08,,,,
2021-01-09,,,,
2021-01-10,,,,
2021-01-11,,,,
2021-01-12,,,,
2021-01-13,,,,
2021-01-14,,,,
2021-01-15,,,,
2021-01-16,,,,
2021-01-17,,,,
2021-01-18,,,,
2021-01-19,,,,
2021-01-20,,,,
2021-01-21,,,,
2021-01-22,,,,
2021-01-23,,,,
2021-01-24,,,,
2021-01-25,,,,
2021-01-26,,,,
2021-01-27,,,,
2021-01-28,,,,
2021-01-29,,,,
2021-01-30,7.233333333333333,64.4,4.5,38.766666666666666
2021-01-31,7.166666666666667,64.46666666666667,4.733333333333333,39.1
2021-02-01,7.2,64.63333333333334,4.866666666666666,38.93333333333333
2021-02-02,7.2,64.46666666666667,5.066666666666666,39.5
2021-02-03,7.233333333333333,63.4,5.1,39.86666666666667
2021-02-04,7.166666666666667,61.233333333333334,5.1,40.4
2021-02-05,6.866666666666666,58.06666666666667,4.966666666666667,39.46666666666667
2021-02-06,6.6,58.06666666666667,5.233333333333333,38.96666666666667
2021-02-07,6.333333333333333,57.733333333333334,5.333333333333333,38.43333333333333
2021-02-08,6.433333333333334,57.766666666666666,5.566666666666666,38.333333333333336
2021-02-09,6.933333333333334,59.666666666666664,5.5,39.0
2021-02-10,7.0,60.333333333333336,5.433333333333334,39.43333333333333
2021-02-11,6.966666666666667,60.4,5.3,39.833333333333336
2021-02-12,6.733333333333333,59.0,5.266666666666667,39.8
2021-02-13,6.366666666666666,57.63333333333333,5.066666666666666,37.7
2021-02-14,6.433333333333334,57.0,4.9,37.06666666666667
2021-02-15,6.433333333333334,57.9,4.433333333333334,36.9
2021-02-16,6.466666666666667,57.93333333333333,4.433333333333334,37.6
2021-02-17,6.666666666666667,58.0,4.5,37.766666666666666
2021-02-18,6.533333333333333,57.36666666666667,4.4,38.2
2021-02-19,6.566666666666666,56.86666666666667,4.366666666666666,38.13333333333333
2021-02-20,6.366666666666666,56.0,4.633333333333334,38.166666666666664
2021-02-21,6.2,55.03333333333333,4.7,37.63333333333333
2021-02-22,6.3,55.233333333333334,4.566666666666666,37.4
2021-02-23,6.4,55.733333333333334,4.366666666666666,37.733333333333334
2021-02-24,6.5,55.3,4.266666666666667,37.93333333333333
2021-02-25,6.333333333333333,55.166666666666664,4.133333333333334,36.56666666666667
2021-02-26,6.4,54.0,4.433333333333334,36.7
2021-02-27,6.433333333333334,52.266666666666666,4.533333333333333,34.86666666666667
2021-02-28,6.433333333333334,52.0,4.366666666666666,32.9
2021-03-01,6.733333333333333,53.233333333333334,4.633333333333334,33.06666666666667
2021-03-02,6.9,53.63333333333333,4.666666666666667,33.733333333333334
2021-03-03,7.033333333333333,54.63333333333333,4.533333333333333,34.43333333333333
2021-03-04,6.866666666666666,55.266666666666666,4.3,34.9
2021-03-05,7.066666666666666,55.6,4.333333333333333,35.4
2021-03-06,7.0,54.3,4.233333333333333,34.46666666666667
2021-03-07,6.966666666666667,54.0,4.433333333333334,34.43333333333333
2021-03-08,6.9,53.46666666666667,4.266666666666667,34.7
2021-03-09,7.0,53.666666666666664,4.366666666666666,35.13333333333333
2021-03-10,7.033333333333333,53.5,4.333333333333333,35.666666666666664
2021-03-11,6.8,52.56666666666667,4.4,35.63333333333333
2021-03-12,6.933333333333334,51.53333333333333,4.5,35.4
2021-03-13,6.733333333333333,50.03333333333333,4.933333333333334,33.2
2021-03-14,6.733333333333333,49.833333333333336,5.966666666666667,32.2
2021-03-15,6.633333333333334,51.53333333333333,6.133333333333334,32.4
2021-03-16,6.833333333333333,52.86666666666667,6.2,32.56666666666667
2021-03-17,6.933333333333334,53.43333333333333,6.166666666666667,33.43333333333333
2021-03-18,6.933333333333334,54.2,6.133333333333334,34.63333333333333
2021-03-19,7.233333333333333,54.36666666666667,6.866666666666666,35.36666666666667
2021-03-20,7.1,53.93333333333333,7.2,34.766666666666666
2021-03-21,6.866666666666666,54.0,7.733333333333333,34.86666666666667
2021-03-22,6.866666666666666,54.733333333333334,7.5,35.766666666666666
2021-03-23,6.833333333333333,57.46666666666667,7.433333333333334,36.56666666666667
2021-03-24,6.7,58.833333333333336,7.6,37.266666666666666
2021-03-25,6.733333333333333,59.46666666666667,7.633333333333334,38.93333333333333
2021-03-26,6.466666666666667,58.63333333333333,7.666666666666667,39.53333333333333
2021-03-27,6.4,58.3,7.866666666666666,38.166666666666664
2021-03-28,6.4,57.733333333333334,7.6,36.43333333333333
2021-03-29,6.466666666666667,58.43333333333333,7.7,36.13333333333333
2021-03-30,6.666666666666667,58.5,7.8,36.733333333333334
2021-03-31,6.533333333333333,57.46666666666667,7.433333333333334,36.4
2021-04-01,6.533333333333333,57.2,7.333333333333333,35.63333333333333
2021-04-02,6.266666666666667,54.9,7.366666666666666,34.13333333333333
2021-04-03,6.233333333333333,53.36666666666667,7.433333333333334,32.833333333333336
2021-04-04,5.866666666666666,51.833333333333336,7.366666666666666,30.8
2021-04-05,5.9,51.666666666666664,7.4,30.366666666666667
2021-04-06,5.9,52.166666666666664,7.433333333333334,29.733333333333334
2021-04-07,5.9,53.93333333333333,7.4,29.5
2021-04-08,5.833333333333333,54.06666666666667,7.466666666666667,29.333333333333332
2021-04-09,5.666666666666667,54.43333333333333,7.5,28.933333333333334
2021-04-10,5.433333333333334,53.93333333333333,8.2,28.233333333333334
2021-04-11,5.2,53.1,8.466666666666667,28.166666666666668
2021-04-12,5.3,53.06666666666667,8.566666666666666,28.533333333333335
2021-04-13,5.433333333333334,54.233333333333334,7.9,29.0
2021-04-14,5.466666666666667,53.8,7.766666666666667,29.866666666666667
2021-04-15,5.166666666666667,53.1,8.033333333333333,29.866666666666667
2021-04-16,5.233333333333333,52.766666666666666,8.266666666666667,29.933333333333334
2021-04-17,5.233333333333333,51.733333333333334,8.5,28.1
2021-04-18,4.633333333333334,50.833333333333336,7.9,26.9
2021-04-19,4.8,50.733333333333334,8.4,27.633333333333333
2021-04-20,5.266666666666667,50.766666666666666,8.3,29.066666666666666
2021-04-21,5.4,50.7,8.5,29.433333333333334
2021-04-22,5.966666666666667,48.06666666666667,8.666666666666666,29.733333333333334
2021-04-23,6.2,46.53333333333333,8.9,30.566666666666666
2021-04-24,6.166666666666667,45.1,9.433333333333334,28.733333333333334
2021-04-25,6.1,44.3,9.366666666666667,27.233333333333334
2021-04-26,6.233333333333333,44.03333333333333,9.5,27.533333333333335
2021-04-27,6.2,44.0,9.466666666666667,28.2
2021-04-28,6.233333333333333,43.96666666666667,9.433333333333334,28.533333333333335
2021-04-29,7.733333333333333,43.46666666666667,9.6,28.466666666666665
2021-04-30,7.833333333333333,43.86666666666667,9.8,28.3
