hashtag,total,CDUCSU,GRUENE,LINKE,AFD,SPD,FDP
corona,5150,689,760,1158,650,691,1202
ich,4325,597,605,835,298,987,1003
impfen,2520,615,359,288,136,449,673
pandemie,2489,436,519,522,48,435,529
impfstoff,1926,256,226,511,88,452,393
lockdown,1492,130,126,208,330,270,428
impfung,1172,184,103,114,123,457,191
mensch,1047,132,166,266,69,217,197
brauchen,864,94,196,158,22,154,240
kind,852,53,189,96,70,314,130
mein,820,126,98,191,94,139,172
maske,809,80,127,224,102,150,126
covid19,764,82,189,162,120,89,122
land,693,129,77,133,62,136,156
in,686,111,79,139,44,203,110
und,684,78,129,134,66,140,137
covid,682,72,56,70,32,399,53
bundesregierung,656,19,105,200,91,18,223
deutschland,640,96,55,119,86,105,179
woche,589,84,70,79,17,236,103
wenn,587,55,61,96,53,174,148
inzidenz,587,76,84,45,32,184,166
wichtig,586,109,112,75,12,176,102
jahr,584,63,103,120,44,95,159
zeigen,583,66,76,72,35,228,106
krise,575,47,91,216,21,89,111
bundestag,554,79,82,128,75,67,123
lassen,542,90,87,95,54,95,121
aber,509,41,73,132,41,121,101
zeit,494,63,96,96,29,100,110
mal,480,47,69,126,37,92,109
eu,467,81,63,72,60,95,96
politik,458,42,44,99,75,57,141
was,449,33,83,108,55,81,89
astrazeneca,440,101,54,58,19,122,86
bleiben,440,67,58,81,32,109,93
biontech,423,61,24,69,21,185,63
fordern,401,17,81,131,42,29,101
schule,398,24,98,78,17,93,88
sein,397,45,62,71,39,103,77
auch,396,56,52,54,27,142,65
innen,389,6,130,127,1,108,17
gut,387,91,66,56,7,80,87
stehen,383,67,43,85,32,72,84
mio,378,302,8,21,4,33,10
mit,376,80,51,50,27,85,83
frage,370,47,65,71,25,69,93
ein,368,58,39,75,26,64,106
wie,361,38,71,65,44,63,80
monat,358,35,57,56,27,98,85
schützen,357,53,61,50,28,118,47
tagen,354,58,49,81,17,87,62
spahn,352,9,55,144,39,46,59
merkel,346,18,40,59,134,18,77
variante,336,9,19,25,2,269,12
schnellen,335,53,55,42,5,96,84
hoch,334,35,49,60,13,124,53
weg,333,58,42,65,27,66,75
leben,333,49,35,82,35,67,65
testen,332,53,59,41,13,83,83
stark,332,54,37,41,10,146,44
so,332,50,48,47,43,68,76
impfungen,329,85,30,42,18,99,55
wer,327,49,40,77,59,40,62
geben,326,46,40,60,25,77,78
afd,324,19,14,19,250,12,10
test,321,33,52,52,26,69,89
million,320,108,23,79,29,31,50
schwer,318,35,41,42,11,148,41
für,311,39,30,62,29,92,59
tb,309,1,0,0,0,0,308
regierung,308,10,29,71,85,14,99
maßnahme,302,38,51,31,32,46,104
klaren,302,34,40,39,20,99,70
jetzt,301,46,41,37,31,79,67
enden,294,51,39,38,35,63,68
sehen,293,24,32,52,31,88,66
liegen,290,48,34,42,12,93,61
eine,286,41,45,57,22,50,71
im,285,56,38,68,21,64,38
cdu,285,50,45,82,35,44,29
heute,283,57,51,50,18,48,59
thema,276,61,38,42,18,64,53
voll,274,145,13,28,8,58,22
studie,273,7,20,23,12,182,29
sprechen,267,40,46,27,15,62,77
bekommen,267,33,37,70,18,56,53
helfen,264,58,34,42,12,70,48
finden,259,30,33,75,18,47,56
einfach,258,34,38,54,16,49,67
problem,254,28,29,50,12,73,62
000,253,53,18,65,21,61,35
geimpfte,249,30,16,24,34,107,38
bringen,248,31,36,33,20,76,52
welle,246,29,31,30,6,126,24
viel,245,51,33,32,15,61,53
delta,244,26,24,17,8,156,13
bürgern,243,80,3,12,80,24,44
schutz,242,41,34,36,10,78,43
deutlich,240,40,32,47,4,78,39
spd,238,45,40,42,22,58,31
bei,238,40,32,39,19,59,49
sich,238,29,44,56,13,45,51
halten,237,34,32,48,23,48,52
da,234,35,34,55,9,64,37
stellen,234,22,31,60,23,43,55
schnell,233,44,29,25,3,67,65
gemeinsam,233,76,42,29,6,59,21
100,232,36,21,54,8,77,36
19,228,47,52,51,16,33,29
hier,224,46,27,24,13,84,30
freiheit,223,51,13,8,62,24,65
gelten,222,44,28,42,14,58,36
jed,220,48,23,24,26,41,58
tragen,219,29,20,49,31,52,38
diese,218,15,18,55,25,62,43
nächst,214,33,26,27,14,74,40
10,213,38,30,42,21,55,27
lage,212,42,43,25,14,49,39
danken,212,70,29,37,9,42,25
berlin,212,46,24,40,34,34,34
schnelltests,212,22,37,35,2,31,85
unternehmen,211,37,33,52,8,28,53
schaffen,210,22,41,41,12,37,57
50,209,46,17,31,13,75,27
aktuell,209,46,30,40,16,34,43
nehmen,209,34,32,57,16,38,32
b117,207,3,23,19,0,161,1
laufen,206,33,25,47,14,41,46
virus,206,35,29,43,14,37,48
sichern,206,30,31,41,14,49,41
risiko,206,18,26,24,9,103,26
folge,204,13,33,39,20,49,50
steigen,202,20,28,36,3,91,24
nicht,202,23,31,39,24,31,54
mutation,201,15,14,50,5,110,7
nutzen,200,34,25,40,12,43,46
bund,200,48,36,30,7,28,51
warum,199,15,30,56,26,22,50
mindestens,199,149,8,15,2,17,8
fdp,198,15,7,29,11,3,133
mpk,198,21,29,26,5,14,103
12,198,40,19,28,8,76,27
recht,197,13,42,52,21,34,35
uhr,196,29,37,32,12,41,45
euro,195,32,17,69,21,34,22
handeln,192,38,40,37,11,28,38
können,191,18,19,50,13,50,41
erhalten,190,67,22,28,10,28,35
eigentlich,189,17,19,38,21,32,62
reden,189,32,27,39,14,24,53
beginnen,187,24,35,32,6,48,42
wirtschaft,187,35,21,41,29,15,46
zahlen,187,17,26,52,8,58,26
kein,186,26,24,38,26,28,44
letzt,185,37,34,28,19,28,39
nach,185,29,34,32,18,32,40
uk,185,4,7,10,0,163,1
fast,183,29,12,44,14,61,23
arbeit,183,35,21,41,17,43,26
deshalb,182,34,30,34,4,42,38
haben,181,21,28,45,18,33,36
staat,180,11,23,51,17,18,60
strategie,179,12,28,14,11,52,62
2020,179,16,26,53,21,25,38
gestern,175,66,23,27,5,26,28
setzen,175,20,34,36,12,36,37
genau,175,18,22,32,21,41,41
falsch,174,21,18,23,19,56,37
öffnen,173,26,24,23,14,37,49
treffen,173,11,27,42,10,58,25
all,171,26,21,40,13,44,27
familie,171,23,41,31,11,34,31
global,170,18,48,77,1,21,5
trotzen,168,18,29,44,18,32,27
via,168,20,16,23,33,6,70
mehr,167,49,29,21,8,27,33
diskutieren,166,21,28,25,3,25,64
fahren,165,29,21,38,20,29,28
bekämpfung,165,32,29,33,4,25,42
infektion,165,9,21,21,7,97,10
sozial,165,8,25,73,8,22,29
debatte,164,18,29,32,8,26,51
verhindern,162,11,14,21,15,74,27
2021,162,25,23,36,21,15,42
jugendliche,162,18,46,9,9,43,37
beispiel,162,28,26,24,9,27,48
querdenker,162,13,24,25,35,44,21
nur,161,20,16,40,12,40,33
homeoffice,160,14,69,34,3,28,12
erreichen,160,25,28,19,2,57,29
wirken,157,19,8,20,5,86,19
bevölkerung,157,14,18,44,15,41,25
hart,156,22,16,23,9,64,22
kampf,156,29,16,26,5,37,43
luftfilter,155,5,47,36,0,7,60
hilfe,155,35,26,39,7,24,24
entscheidung,155,27,20,21,15,27,45
hören,154,17,29,43,16,20,29
20,154,19,10,33,10,56,26
europa,154,47,22,10,8,46,21
vertrauen,152,35,23,18,6,24,46
lässt,152,19,21,39,11,33,29
vorschlag,151,14,30,29,1,24,53
herbst,150,32,24,11,3,57,23
fällen,149,8,7,35,10,77,12
nachricht,148,35,21,13,3,48,28
frau,148,8,28,32,23,43,14
neu,147,24,17,30,12,32,32
perspektive,146,16,22,8,4,22,74
milliarde,146,14,9,71,12,24,16
usa,146,14,20,39,5,29,39
grundrechte,145,4,4,16,48,7,66
30,145,26,31,35,8,26,19
zum,145,23,28,26,9,22,37
dringen,145,15,41,25,5,25,34
geld,144,5,16,43,10,38,32
lang,143,12,26,25,12,37,31
digital,143,31,20,15,4,28,45
klar,141,24,24,12,12,31,38
grund,140,15,23,35,12,23,32
demokratie,140,11,21,29,19,16,44
lösung,140,17,11,23,6,40,43
impfschutz,139,115,3,4,0,15,2
man,139,13,15,33,19,24,35
versagen,139,9,4,41,35,11,39
entscheiden,139,27,18,21,12,29,32
unterstützen,139,33,24,36,4,27,15
sterben,139,5,5,31,17,73,8
patent,138,0,6,122,0,5,5
gesundheit,138,23,22,52,3,20,18
fall,137,15,16,21,10,54,21
weil,137,6,12,20,4,70,25
kosten,137,8,13,44,12,36,24
leute,136,9,18,58,9,26,16
wissen,136,10,16,26,9,33,42
verantwortung,135,22,17,21,13,23,39
eltern,135,9,12,17,4,61,32
gerade,135,23,27,27,2,37,19
dass,135,18,27,33,4,23,30
auf,134,19,25,30,12,28,20
fehlen,133,7,22,17,8,37,42
sorgen,132,19,22,39,5,16,31
lockerungen,132,15,15,19,8,48,27
bildung,132,11,42,18,3,17,41
laschet,131,6,40,34,12,29,10
csu,131,2,37,40,9,20,23
lernen,131,15,31,22,3,28,32
zahl,131,28,14,22,16,25,26
datum,131,7,11,16,2,70,25
sommer,131,33,19,25,11,19,24
arm,131,3,13,56,6,52,1
leisten,130,29,19,25,5,33,19
völlig,130,10,18,24,23,19,36
stimmen,130,8,9,35,14,29,35
sagen,130,12,18,37,20,17,26
arbeiten,130,21,20,24,8,40,17
meine,130,16,9,35,21,25,24
impfdosen,129,37,15,22,0,25,30
