,AFD,CDUCSU,FDP,GRUENE,LINKE,SPD,AFD - norm,CDUCSU - norm,FDP - norm,GRUENE - norm,LINKE - norm,SPD - norm
2021-01-01,,,,,,,,,,,,
2021-01-02,,,,,,,,,,,,
2021-01-03,,,,,,,,,,,,
2021-01-04,,,,,,,,,,,,
2021-01-05,,,,,,,,,,,,
2021-01-06,,,,,,,,,,,,
2021-01-07,,,,,,,,,,,,
2021-01-08,,,,,,,,,,,,
2021-01-09,,,,,,,,,,,,
2021-01-10,,,,,,,,,,,,
2021-01-11,,,,,,,,,,,,
2021-01-12,,,,,,,,,,,,
2021-01-13,,,,,,,,,,,,
2021-01-14,,,,,,,,,,,,
2021-01-15,,,,,,,,,,,,
2021-01-16,,,,,,,,,,,,
2021-01-17,,,,,,,,,,,,
2021-01-18,,,,,,,,,,,,
2021-01-19,,,,,,,,,,,,
2021-01-20,,,,,,,,,,,,
2021-01-21,,,,,,,,,,,,
2021-01-22,,,,,,,,,,,,
2021-01-23,,,,,,,,,,,,
2021-01-24,,,,,,,,,,,,
2021-01-25,,,,,,,,,,,,
2021-01-26,,,,,,,,,,,,
2021-01-27,,,,,,,,,,,,
2021-01-28,,,,,,,,,,,,
2021-01-29,,,,,,,,,,,,
2021-01-30,3.6666666666666665,5.7,10.533333333333333,6.966666666666667,8.333333333333334,5.633333333333334,0.04881585922147676,0.04299259345585164,0.06612632277775923,0.05674680736340611,0.05612429000276364,0.0496399437238967
2021-01-31,3.566666666666667,5.733333333333333,10.666666666666666,7.2,8.5,5.666666666666667,0.04702699552785116,0.04364210325977321,0.06739337930797365,0.05780214841874716,0.05884890456948347,0.04996547655357546
2021-02-01,3.566666666666667,5.533333333333333,10.633333333333333,7.3,8.666666666666666,5.833333333333333,0.04798467238914248,0.04245630375446257,0.06617829510978628,0.057315952308316036,0.05965986904864078,0.0509144327018124
2021-02-02,3.5,5.3,11.0,7.333333333333333,8.833333333333334,5.9,0.04735501207431232,0.04157711421547922,0.06759569491428286,0.05559316130465665,0.060010294080292084,0.05074349253087223
2021-02-03,3.4,5.3,10.933333333333334,7.333333333333333,8.733333333333333,6.1,0.047051381711276014,0.04162144045661397,0.06737496859053466,0.054957859106854454,0.059451303176496766,0.05159038666910496
2021-02-04,3.2333333333333334,5.4,10.433333333333334,7.2,8.733333333333333,6.166666666666667,0.04626523610343735,0.042801996012169524,0.06653429415650984,0.05437979348570154,0.05969276705123738,0.051314626647582226
2021-02-05,3.1,5.333333333333333,10.233333333333333,7.1,8.533333333333333,6.133333333333334,0.04436047419867544,0.04311984276945634,0.0680745240415673,0.05473993754332459,0.059321126113558706,0.0522914276243832
2021-02-06,3.066666666666667,5.433333333333334,9.933333333333334,6.666666666666667,8.566666666666666,6.033333333333333,0.04386525561944047,0.04439724893816686,0.06699821882068377,0.05135452087665792,0.060369925628163894,0.05183287383249607
2021-02-07,3.1666666666666665,5.5,9.733333333333333,6.733333333333333,8.433333333333334,5.966666666666667,0.04591149532180561,0.04545396999488791,0.06567487698394908,0.05200979153192858,0.059478452759946836,0.0513213453548659
2021-02-08,3.1333333333333333,5.433333333333334,9.9,6.633333333333334,8.566666666666666,5.966666666666667,0.04655162241273169,0.04542628450208614,0.06562746114705957,0.050796124246832726,0.06062742782196538,0.051157829769786695
2021-02-09,3.2,5.5,10.3,6.966666666666667,8.533333333333333,5.833333333333333,0.04778732502711078,0.04635664069560022,0.06805536615130045,0.05259043001464843,0.059426226620764175,0.049058944126597254
2021-02-10,3.1333333333333333,5.466666666666667,10.633333333333333,7.3,8.233333333333333,6.033333333333333,0.047290800697418624,0.045710317322004125,0.06909923693702483,0.05370154112575953,0.05691299910753666,0.04943920512391815
2021-02-11,3.1666666666666665,5.566666666666666,10.666666666666666,7.266666666666667,8.4,5.866666666666666,0.04847323312985106,0.0465604333895115,0.06836515953128325,0.05315885214005289,0.05692912813979472,0.04821857502790811
2021-02-12,3.1333333333333333,5.533333333333333,10.366666666666667,7.366666666666666,8.133333333333333,5.766666666666667,0.047877995034612965,0.04652013714262056,0.0681294501974457,0.05361152703717224,0.05561672878391711,0.047496148912397194
2021-02-13,3.1,5.433333333333334,10.266666666666667,7.3,8.1,5.6,0.04735411213784871,0.045786235627469044,0.06872216728428045,0.05464203661198561,0.05683183551626522,0.04713438520793686
2021-02-14,3.033333333333333,5.366666666666666,9.9,7.133333333333334,8.033333333333333,5.633333333333334,0.04720235062023354,0.046285904521575355,0.06671205506329142,0.053696300177877083,0.05743612401529056,0.047441713813137804
2021-02-15,3.0,5.033333333333333,9.966666666666667,7.2,8.033333333333333,5.5,0.04867804506467798,0.04574764069155908,0.06716593664963004,0.05455195493978184,0.058028090188652084,0.046655601792174824
2021-02-16,3.1,4.966666666666667,9.8,7.233333333333333,8.033333333333333,5.533333333333333,0.05105899744563036,0.04538532185097936,0.06591156383603684,0.05453704736673473,0.0579675996100597,0.04707903157340276
2021-02-17,3.066666666666667,4.933333333333334,9.6,7.1,8.166666666666666,5.3,0.05076487979857154,0.04573993178005738,0.06498867804315371,0.05344659741264842,0.059178795538812876,0.04465579374879151
2021-02-18,3.0,4.733333333333333,9.266666666666667,6.966666666666667,8.033333333333333,5.233333333333333,0.050822951807863066,0.045380496606758275,0.06304667739147565,0.05292505546253504,0.058670600318594945,0.04413445129196518
2021-02-19,2.933333333333333,4.566666666666666,9.066666666666666,6.833333333333333,8.066666666666666,5.2,0.050128507363418624,0.044095548529615745,0.06264520532724012,0.05242217216458421,0.05896950776035954,0.04403678064475893
2021-02-20,3.0,4.6,8.566666666666666,6.8,8.033333333333333,5.133333333333334,0.051972293658424436,0.04399678309751698,0.05889843530140033,0.052207464703499934,0.05956030378026003,0.04340510457392604
2021-02-21,2.8666666666666667,4.566666666666666,8.333333333333334,6.5,7.8,4.966666666666667,0.05050709219322296,0.043821710550331336,0.05805264686437102,0.04978810986479026,0.0591565770721855,0.04190306433191113
2021-02-22,2.7,4.566666666666666,8.5,6.733333333333333,8.1,5.0,0.04703152014622235,0.04423550365377961,0.05779923555832813,0.05232979910685877,0.06193435484996328,0.041977728343857365
2021-02-23,2.6666666666666665,4.6,8.666666666666666,6.566666666666666,8.133333333333333,5.033333333333333,0.04729607041077261,0.04431754772316545,0.057772581685520415,0.05160683785758173,0.06200256220030833,0.04188115824728726
2021-02-24,2.5,4.466666666666667,8.5,6.566666666666666,7.733333333333333,5.266666666666667,0.045674633305464535,0.042546073583270255,0.05694469497528076,0.05145973095990275,0.059514108350442754,0.043223149589278614
2021-02-25,2.3666666666666667,4.433333333333334,8.5,6.633333333333334,7.366666666666666,5.266666666666667,0.04255342118425242,0.04272971045755461,0.058559379310553335,0.05208292597434263,0.058048271039096974,0.04206784655897558
