,AFD,CDUCSU,FDP,GRUENE,LINKE,SPD,AFD - norm,CDUCSU - norm,FDP - norm,GRUENE - norm,LINKE - norm,SPD - norm
2021-01-01,,,,,,,,,,,,
2021-01-02,,,,,,,,,,,,
2021-01-03,,,,,,,,,,,,
2021-01-04,,,,,,,,,,,,
2021-01-05,,,,,,,,,,,,
2021-01-06,,,,,,,,,,,,
2021-01-07,,,,,,,,,,,,
2021-01-08,,,,,,,,,,,,
2021-01-09,,,,,,,,,,,,
2021-01-10,,,,,,,,,,,,
2021-01-11,,,,,,,,,,,,
2021-01-12,,,,,,,,,,,,
2021-01-13,,,,,,,,,,,,
2021-01-14,,,,,,,,,,,,
2021-01-15,,,,,,,,,,,,
2021-01-16,,,,,,,,,,,,
2021-01-17,,,,,,,,,,,,
2021-01-18,,,,,,,,,,,,
2021-01-19,,,,,,,,,,,,
2021-01-20,,,,,,,,,,,,
2021-01-21,,,,,,,,,,,,
2021-01-22,,,,,,,,,,,,
2021-01-23,,,,,,,,,,,,
2021-01-24,,,,,,,,,,,,
2021-01-25,,,,,,,,,,,,
2021-01-26,,,,,,,,,,,,
2021-01-27,,,,,,,,,,,,
2021-01-28,,,,,,,,,,,,
2021-01-29,,,,,,,,,,,,
2021-01-30,0.23333333333333334,0.8333333333333334,1.2,1.1666666666666667,0.5333333333333333,0.7,0.0026148600847332106,0.006206244476224554,0.005972326265742743,0.009000214581773715,0.0036766232944414274,0.00562893059601847
2021-01-31,0.23333333333333334,0.8333333333333334,1.2,1.2333333333333334,0.5,0.7,0.0026148600847332106,0.006206244476224554,0.005972326265742743,0.00963513521669435,0.003238026803213357,0.00562893059601847
2021-02-01,0.2,0.8,1.3333333333333333,1.2,0.4666666666666667,0.7333333333333333,0.0022132536590303994,0.005918888154385474,0.006990137970577348,0.00919653872546628,0.002816085874943315,0.005865337215403813
2021-02-02,0.2,0.7333333333333333,1.4,1.2,0.4666666666666667,0.7333333333333333,0.0022132536590303994,0.0054859877214850404,0.007423038403477781,0.008974508381319248,0.002816085874943315,0.005751377101443699
2021-02-03,0.2,0.7,1.5,1.2,0.43333333333333335,0.7333333333333333,0.0022132536590303994,0.005138765499262819,0.008074242032657558,0.008974508381319248,0.002623407647583007,0.005751377101443699
2021-02-04,0.2,0.6666666666666666,1.5,1.2333333333333334,0.4666666666666667,0.8,0.0022132536590303994,0.004860987721485041,0.008268425986432303,0.009254620426137176,0.002858583400585585,0.0061482024982690954
2021-02-05,0.2,0.6333333333333333,1.3,1.2333333333333334,0.4666666666666667,0.8,0.0022132536590303994,0.004681776251950991,0.007972448974938049,0.009510722867113568,0.002858583400585585,0.0061482024982690954
2021-02-06,0.2,0.6333333333333333,1.3333333333333333,1.2333333333333334,0.43333333333333335,0.8,0.0022132536590303994,0.004681776251950991,0.008416893419382492,0.010271940815831515,0.002618775247108367,0.0061482024982690954
2021-02-07,0.2,0.5666666666666667,1.3333333333333333,1.2,0.4666666666666667,0.8,0.0022132536590303994,0.004215575785750525,0.008416893419382492,0.01001553055942126,0.0030063721463331732,0.0061482024982690954
2021-02-08,0.2,0.5666666666666667,1.3333333333333333,1.1666666666666667,0.5,0.8333333333333334,0.0022132536590303994,0.004215575785750525,0.008416893419382492,0.009636742680633381,0.0032962272187969416,0.006471827093738351
2021-02-09,0.2,0.5666666666666667,1.4333333333333333,1.1333333333333333,0.5,0.9333333333333333,0.0022132536590303994,0.004215575785750525,0.009180252198008446,0.009002792377808905,0.0032962272187969416,0.007326527948439205
2021-02-10,0.16666666666666666,0.6,1.4333333333333333,1.2,0.5,0.9666666666666667,0.0017746571678023293,0.004367444119437041,0.008995587095865563,0.009299088674105201,0.0032962272187969416,0.007404308606982114
2021-02-11,0.16666666666666666,0.5666666666666667,1.4666666666666666,1.1333333333333333,0.5333333333333333,0.9333333333333333,0.0017746571678023293,0.004150993902986825,0.009087763230020706,0.008845573934876175,0.003462893885463608,0.007167901987596771
2021-02-12,0.16666666666666666,0.6,1.5,1.1333333333333333,0.5666666666666667,0.9333333333333333,0.0017746571678023293,0.004374707549519263,0.009358765940047807,0.008824997803188931,0.0037608004877180364,0.007167901987596771
2021-02-13,0.16666666666666666,0.6333333333333333,1.3666666666666667,1.0666666666666667,0.4666666666666667,0.8,0.0017746571678023293,0.004635124216185929,0.008798541850411953,0.008397647375838504,0.003268189650279613,0.006418838317184786
2021-02-14,0.16666666666666666,0.5666666666666667,1.2666666666666666,1.0666666666666667,0.4666666666666667,0.8,0.0017746571678023293,0.004408366846571417,0.008144947079170123,0.00856302205284109,0.003268189650279613,0.006418838317184786
2021-02-15,0.1,0.5333333333333333,1.3,1.1,0.4666666666666667,0.7333333333333333,0.001253823834468996,0.004315516335893607,0.008403345011986661,0.008860641100460137,0.0034161811936199936,0.006102209864296915
2021-02-16,0.1,0.5,1.2666666666666666,1.1,0.4666666666666667,0.7,0.001253823834468996,0.0040739704421738,0.008161799118266854,0.008860641100460137,0.0034161811936199936,0.005811101889702702
2021-02-17,0.1,0.5,1.3333333333333333,1.1,0.4666666666666667,0.7333333333333333,0.001253823834468996,0.0040739704421738,0.008552250799871255,0.008862936784574005,0.003448411897606423,0.006082104599729802
2021-02-18,0.1,0.4666666666666667,1.4,1.1,0.43333333333333335,0.6666666666666666,0.001253823834468996,0.003898531845682572,0.008982358326752975,0.009049381732923715,0.00324391292010131,0.005408703926329129
2021-02-19,0.1,0.43333333333333335,1.5,0.9666666666666667,0.5,0.6666666666666666,0.001253823834468996,0.0036908404158069587,0.009802030457900516,0.008260427097815234,0.003697427659330335,0.005408703926329129
2021-02-20,0.1,0.4666666666666667,1.4666666666666666,1.0,0.5,0.7,0.001253823834468996,0.0039994823911156,0.009543632525083978,0.008569069073123875,0.003865338107091529,0.0057955168011649995
2021-02-21,0.16666666666666666,0.43333333333333335,1.5,0.9666666666666667,0.4666666666666667,0.7333333333333333,0.0037446663253114867,0.0037524622217988625,0.010072733054184508,0.008433041090224535,0.0036582987696174092,0.006196529886855164
2021-02-22,0.2,0.4666666666666667,1.5,0.9333333333333333,0.5,0.7333333333333333,0.004350726931372092,0.004085795555132196,0.010072733054184508,0.008296986668455828,0.003966940744926051,0.006130161876236283
2021-02-23,0.2,0.5,1.5333333333333334,0.9333333333333333,0.4666666666666667,0.8,0.004350726931372092,0.004394437530440837,0.010269971712961627,0.008296986668455828,0.0036981235406249756,0.006642982389056795
2021-02-24,0.16666666666666666,0.4666666666666667,1.6,0.9,0.43333333333333335,0.8,0.0039923039923039924,0.0039558410392127675,0.010673021821894089,0.008077688422841794,0.003493624563119863,0.006642982389056795
2021-02-25,0.16666666666666666,0.5333333333333333,1.4333333333333333,0.8666666666666667,0.43333333333333335,0.8,0.0039923039923039924,0.004556441639813368,0.009918874008922747,0.007845890277226958,0.003493624563119863,0.006514615385689791
