hashtag,total,CDUCSU,GRUENE,LINKE,AFD,SPD,FDP
#digitalisierung,360,60,135,28,4,35,98
#bildung,47,6,17,5,1,3,15
#digitalebildung,40,2,23,8,0,4,3
#corona,31,6,8,4,2,2,9
#triell,31,4,15,0,0,3,9
#vielzutun,30,0,0,0,0,0,30
#cdu,28,4,17,1,0,0,6
#btw21,27,2,10,7,0,6,2
#cwa,27,5,9,2,0,5,6
#bundestag,27,8,7,5,0,3,4
#klimaschutz,24,1,18,2,0,3,0
#groko,17,0,12,0,0,0,5
#deutschland,16,0,3,1,1,1,10
#künstlicheintelligenz,16,0,16,0,0,0,0
#fdp,15,0,2,0,0,0,13
#schulen,15,1,12,0,0,0,2
#lucaapp,14,0,3,6,0,3,2
#bundesregierung,13,1,3,2,0,0,7
#5g,12,3,2,2,0,3,2
#coronawarnapp,12,0,1,11,0,0,0
#spd,12,2,3,0,0,5,2
#ki,11,1,9,0,0,1,0
#infrastruktur,11,0,3,1,0,0,7
#pandemie,11,4,3,1,0,2,1
#datenschutz,11,1,3,0,0,7,0
#pflege,11,4,5,1,0,1,0
#laschet,11,0,11,0,0,0,0
#scheuer,11,0,7,4,0,0,0
#digitalpakt,10,0,7,0,0,1,2
#mobilität,10,3,2,0,0,4,1
#breitband,10,1,6,2,0,0,1
#merkel,10,0,4,0,1,0,5
#scholz,9,1,7,0,0,0,1
#bpt21,8,0,0,0,0,0,8
#lockdown,8,1,1,2,1,0,3
#schule,8,1,3,3,0,0,1
#afd,8,1,0,0,6,1,0
#berlin,8,0,1,2,1,0,4
#eu,8,2,3,0,0,1,2
#allesistdrin,8,0,8,0,0,0,0
#shetransformsit,7,0,5,1,0,1,0
#ltwbw21,7,0,6,0,0,0,1
#gesundheit,7,2,3,1,0,1,0
#bahn,7,0,4,2,0,0,1
#wegenmorgen,7,5,0,1,0,0,1
#baerbock,7,0,4,3,0,0,0
#btw2021,7,0,2,3,0,1,1
#opendata,7,0,5,0,0,2,0
#nachhaltigkeit,7,3,2,2,0,0,0
#bereitweilihresseid,7,0,7,0,0,0,0
#karliczek,7,0,6,1,0,0,0
#homeschooling,7,0,4,2,0,0,1
#innovation,7,4,1,0,0,1,1
#wirtschaft,7,0,2,1,0,2,2
#techtaskforce,6,0,6,0,0,0,0
#internet,6,1,3,1,0,0,1
#clubhouse,6,1,0,2,0,1,2
#csu,6,0,6,0,0,0,0
#cducsu,6,2,2,1,0,1,0
#zukunft,6,3,2,0,0,1,0
#digitalministerium,6,0,5,0,0,0,1
#homeoffice,5,1,4,0,0,0,0
#bildungsgerechtigkeit,5,0,3,2,0,0,0
#3k21,5,0,0,0,0,0,5
#schuldenbremse,5,0,4,1,0,0,0
#bundestagswahl,5,0,0,2,1,1,1
#nrw,5,1,0,0,1,3,0
#klimakrise,5,0,3,2,0,0,0
#eisenmann,5,0,4,0,0,0,1
#digitalpolitik,5,1,2,1,0,1,0
#cdigitallyunited,4,4,0,0,0,0,0
#dvpmg,4,3,1,0,0,0,0
#kretschmann,4,1,3,0,0,0,0
#bundestagswahl21,4,0,1,1,1,0,1
#thüringen,4,1,0,0,1,0,2
#bürokratie,4,1,0,0,0,0,3
#modernisierung,4,3,1,0,0,0,0
#verwaltung,4,1,1,0,0,0,2
#mittelstand,4,1,1,0,0,0,2
#klimawandel,4,2,0,1,0,1,0
#karlsruhe,4,0,0,0,0,0,4
#usa,4,2,1,0,0,0,1
#ozg,4,1,0,1,0,1,1
#neustaat,4,4,0,0,0,0,0
#huawei,4,1,1,0,0,1,1
#coronakrise,4,1,0,2,0,0,1
#außenpolitik,4,1,0,2,0,0,1
#wissenschaft,4,1,1,0,0,1,1
#laschetvssoeder,4,0,0,1,0,0,3
#söder,4,0,4,0,0,0,0
#niegabesmehrzutun,4,0,0,0,0,0,4
#afghanistan,4,1,3,0,0,0,0
#grüne,4,0,3,1,0,0,0
#wirecard,4,2,0,0,0,0,2
#dialogdigital,4,0,0,4,0,0,0
#luca,4,2,1,0,0,1,0
#impfung,4,2,1,0,0,0,1
#habeck,4,0,3,1,0,0,0
#datenstrategie,3,2,0,0,0,0,1
#demokratie,3,0,2,0,0,1,0
#jetztvoran,3,3,0,0,0,0,0
#db,3,0,3,0,0,0,0
#bundeswehr,3,2,0,0,0,0,1
#neuland,3,0,0,0,0,0,3
#verkehr,3,0,0,0,0,1,2
#union,3,1,1,0,0,0,1
#daten,3,1,1,0,0,0,1
#dielinke,3,0,0,3,0,0,0
#modernisierungsjahrzehnt,3,3,0,0,0,0,0
#daseinsvorsorge,3,0,3,0,0,0,0
#netzausbau,3,1,1,0,1,0,0
#kinder,3,0,2,0,0,0,1
#tkg,3,1,2,0,0,0,0
#china,3,2,0,0,0,1,0
#klima,3,0,2,0,0,0,1
#mpk,3,1,0,0,0,0,2
#verbraucherschutz,3,1,2,0,0,0,0
#cduvorsitz,3,2,0,1,0,0,0
#verwaltungskultur,3,0,3,0,0,0,0
#mitbestimmung,3,2,1,0,0,0,0
#thueringen,3,3,0,0,0,0,0
#wahladventure,3,0,0,3,0,0,0
#egovernment,3,0,2,0,0,0,1
#opengovernment,3,0,3,0,0,0,0
#frauen,3,0,3,0,0,0,0
#machen,3,2,0,0,0,1,0
#startups,3,1,2,0,0,0,0
#opensource,3,0,2,0,0,1,0
#gesundheitswesen,3,1,0,0,0,0,2
#rostock,3,3,0,0,0,0,0
#schiene,3,0,2,0,0,1,0
#steuern,3,0,0,2,0,0,1
#ilmenau,3,3,0,0,0,0,0
#energiewende,3,0,2,0,0,1,0
#forschung,3,2,0,0,0,1,0
#maut,3,0,2,0,0,0,1
#impfen,3,1,1,0,0,1,0
#stufenplan,3,0,2,0,0,0,1
#kulturhatzukunft,3,0,0,0,0,3,0
#bildungabersicher,3,0,0,3,0,0,0
#sachsen,3,0,0,3,0,0,0
#itsig20,3,1,0,1,0,0,1
#breg,3,0,1,2,0,0,0
#bonn,3,0,2,0,0,1,0
#frauenquote,3,0,3,0,0,0,0
#thewsdirekt,3,0,0,0,0,3,0
#mobilfunk,3,0,3,0,0,0,0
